M,m,k_star,s_min,analytic_s_min,s_min_abs_error,F_min_tau0_3,plane_concave_L_over_R,P_noise_at_boundary,ER_sum_dB_at_boundary,eta_sort_at_boundary
19,2,0.10526315789473684,0.05263157894736825,0.05263157894736842,1.6653345369377348e-16,57.0,0.10542974530180318,0.08945940286480192,10.483740050386913,0.9178864282326052
19,3,0.15789473684210525,0.05263157894736814,0.05263157894736842,2.7755575615628914e-16,57.0,0.22652592093878654,0.08945940286480192,10.483740050386913,0.9178864282326052
19,4,0.21052631578947367,0.05263157894736814,0.05263157894736842,2.7755575615628914e-16,57.0,0.37725725642960045,0.08945940286480192,10.483740050386913,0.9178864282326052
19,5,0.2631578947368421,0.05263157894736814,0.05263157894736842,2.7755575615628914e-16,57.0,0.5412896727361661,0.08945940286480192,10.483740050386913,0.9178864282326052
19,6,0.3157894736842105,0.05263157894736814,0.05263157894736842,2.7755575615628914e-16,57.0,0.7008477123264847,0.08945940286480192,10.483740050386913,0.9178864282326052
19,7,0.3684210526315789,0.052631578947367696,0.05263157894736842,7.216449660063518e-16,57.0,0.8386407858128705,0.08945940286480192,10.483740050386913,0.9178864282326052
19,8,0.42105263157894735,0.052631578947367696,0.05263157894736842,7.216449660063518e-16,57.0,0.9397368756032445,0.08945940286480192,10.483740050386913,0.9178864282326052
19,9,0.47368421052631576,0.05263157894736742,0.05263157894736842,9.992007221626409e-16,57.0,0.9931806517013612,0.08945940286480192,10.483740050386913,0.9178864282326052
20,1,0.05,0.04999999999999993,0.05,6.938893903907228e-17,60.0,0.024471741852423214,0.08948844485068186,10.482330391150112,0.9178619605617326
20,3,0.15,0.04999999999999982,0.05,1.8041124150158794e-16,60.0,0.2061073738537634,0.08948844485068186,10.482330391150112,0.9178619605617326
20,7,0.35,0.04999999999999938,0.05,6.245004513516506e-16,60.0,0.7938926261462365,0.08948844485068186,10.482330391150112,0.9178619605617326
20,9,0.45,0.04999999999999938,0.05,6.245004513516506e-16,60.0,0.9755282581475768,0.08948844485068186,10.482330391150112,0.9178619605617326
21,1,0.047619047619047616,0.04761904761904756,0.047619047619047616,5.551115123125783e-17,63.0,0.022213597106929623,0.08951344016417861,10.481117518247153,0.9178409032286101
21,2,0.09523809523809523,0.04761904761904745,0.047619047619047616,1.6653345369377348e-16,63.0,0.08688061284200253,0.08951344016417861,10.481117518247153,0.9178409032286101
21,4,0.19047619047619047,0.04761904761904723,0.047619047619047616,3.885780586188048e-16,63.0,0.3173294878168024,0.08951344016417861,10.481117518247153,0.9178409032286101
21,5,0.23809523809523808,0.04761904761904745,0.047619047619047616,1.6653345369377348e-16,63.0,0.4626349532067878,0.08951344016417861,10.481117518247153,0.9178409032286101
21,8,0.38095238095238093,0.047619047619047006,0.047619047619047616,6.106226635438361e-16,63.0,0.8665259359149129,0.08951344016417861,10.481117518247153,0.9178409032286101
21,10,0.47619047619047616,0.04761904761904745,0.047619047619047616,1.6653345369377348e-16,63.0,0.9944154131125642,0.08951344016417861,10.481117518247153,0.9178409032286101
22,1,0.045454545454545456,0.045454545454545414,0.045454545454545456,4.163336342344337e-17,66.0,0.020253513192751305,0.0895351070337782,10.480066428796789,0.9178226507289569
22,3,0.13636363636363635,0.04545454545454508,0.045454545454545456,3.7470027081099033e-16,66.0,0.17256963302735742,0.0895351070337782,10.480066428796789,0.9178226507289569
22,5,0.22727272727272727,0.04545454545454497,0.045454545454545456,4.85722573273506e-16,66.0,0.42884258086335736,0.0895351070337782,10.480066428796789,0.9178226507289569
22,7,0.3181818181818182,0.04545454545454497,0.045454545454545456,4.85722573273506e-16,66.0,0.707707506500943,0.0895351070337782,10.480066428796789,0.9178226507289569
22,9,0.4090909090909091,0.04545454545454475,0.045454545454545456,7.077671781985373e-16,66.0,0.9206267664155905,0.0895351070337782,10.480066428796789,0.9178226507289569
23,1,0.043478260869565216,0.04347826086956519,0.043478260869565216,2.7755575615628914e-17,69.0,0.018541356326100353,0.08955401115487471,10.479149571805033,0.9178067262035484
23,2,0.08695652173913043,0.04347826086956508,0.043478260869565216,1.3877787807814457e-16,69.0,0.07279029772675573,0.08955401115487471,10.479149571805033,0.9178067262035484
23,3,0.13043478260869565,0.043478260869564966,0.043478260869565216,2.498001805406602e-16,69.0,0.15872342839067297,0.08955401115487471,10.479149571805033,0.9178067262035484
23,4,0.17391304347826086,0.043478260869564966,0.043478260869565216,2.498001805406602e-16,69.0,0.2699674811344239,0.08955401115487471,10.479149571805033,0.9178067262035484
23,5,0.21739130434782608,0.043478260869564966,0.043478260869565216,2.498001805406602e-16,69.0,0.3982719934736831,0.08955401115487471,10.479149571805033,0.9178067262035484
23,6,0.2608695652173913,0.04347826086956452,0.043478260869565216,6.938893903907228e-16,69.0,0.5341212066823354,0.08955401115487471,10.479149571805033,0.9178067262035484
23,7,0.30434782608695654,0.04347826086956452,0.043478260869565216,6.938893903907228e-16,69.0,0.667439806085493,0.08955401115487471,10.479149571805033,0.9178067262035484
23,8,0.34782608695652173,0.04347826086956452,0.043478260869565216,6.938893903907228e-16,69.0,0.7883401610574335,0.08955401115487471,10.479149571805033,0.9178067262035484
23,9,0.391304347826087,0.04347826086956452,0.043478260869565216,6.938893903907228e-16,69.0,0.88785564535221,0.08955401115487471,10.479149571805033,0.9178067262035484
23,10,0.43478260869565216,0.04347826086956452,0.043478260869565216,6.938893903907228e-16,69.0,0.9586056507527264,0.08955401115487471,10.479149571805033,0.9178067262035484
