tau_0,M,F_min,finite_noise,finite_ER_sum_dB,finite_eta_sort,large_M_noise,large_M_ER_sum_dB,large_M_eta_sort
4.0,59,236.0,0.050867093540120756,12.935630765134935,0.9515951219209257,0.0508833552996264,12.934242586004522,0.9515803965844348
4.0,60,240.0,0.050867631064596575,12.935584872463648,0.9515946351748751,0.0508833552996264,12.934242586004522,0.9515803965844348
5.0,2,10.0,0.024079864169266774,16.183459671942916,0.9764863415327472,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,3,15.0,0.028821849700046753,15.402781509076725,0.9719855777669868,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,4,20.0,0.030504002853373624,15.156431671100624,0.9703989477295472,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,5,25.0,0.031286609201251814,15.046415025291706,0.9696625468399286,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,6,30.0,0.03171279946625649,14.987654186766806,0.9692619889152653,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,7,35.0,0.031970144303947734,14.952554034447092,0.9690202817587216,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,8,40.0,0.0321373184638043,14.929903635701095,0.9688633305967114,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,9,45.0,0.032251999674272724,14.914433532588177,0.9687556917453782,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,10,50.0,0.0323340640122034,14.903397062405574,0.9686786815049617,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,11,55.0,0.03239480035876707,14.89524692161099,0.96862169361226,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,12,60.0,0.03244100559565766,14.88905692134237,0.9685783445060465,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,13,65.0,0.032476970273318306,14.884244922064722,0.9685446056344279,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,14,70.0,0.03250551096812182,14.880430027089009,0.9685178329579633,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,15,75.0,0.03252853861080629,14.877354475548913,0.9684962328938906,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,16,80.0,0.032547386688321245,14.874838762940758,0.9684785540035018,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,17,85.0,0.032563008632244816,14.872754756496198,0.9684639016117975,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,18,90.0,0.03257610075399442,14.871009004562408,0.9684516223741697,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,19,95.0,0.032587181172399005,14.86953204868345,0.9684412301773885,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,20,100.0,0.032596641857569164,14.868271391298753,0.9684323572862584,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,21,105.0,0.03260478376817355,14.867186756466896,0.9684247213641676,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,22,110.0,0.032611841079360104,14.86624682701654,0.9684181027352234,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,23,115.0,0.032617998207084886,14.865426954813133,0.9684123284082604,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,24,120.0,0.032623401976546784,14.864707525966558,0.9684072606585302,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,25,125.0,0.03262817045543742,14.86407277526377,0.968402788739487,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,26,130.0,0.03263239945717289,14.863509914068196,0.9683988227811495,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,27,135.0,0.03263616739092767,14.86300848040151,0.9683952892397846,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,28,140.0,0.03263953892188298,14.862559848782347,0.968392127463994,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,29,145.0,0.03264256776390906,14.86215685646295,0.9683892870748168,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,30,150.0,0.032645298831997405,14.86179351550451,0.9683867259465357,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,31,155.0,0.03264776991680174,14.861464788882861,0.968384408635839,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,32,160.0,0.03265001299890491,14.861166414838063,0.9683823051489764,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,33,165.0,0.0326520552886187,14.860894767958662,0.9683803899664029,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,34,170.0,0.03265392005504886,14.860646748457656,0.9683786412651122,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,35,175.0,0.03265562729177307,14.860419693296834,0.968377040294241,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,36,180.0,0.032657194254936295,14.860211304365183,0.9683755708703521,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,37,185.0,0.03265863590100415,14.860019590065377,0.9683742189668426,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,38,190.0,0.03265996524495263,14.85984281752851,0.9683729723779836,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,39,195.0,0.032661193655017406,14.85967947330079,0.9683718204424668,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,40,200.0,0.03266233109653505,14.859528230826804,0.968370753814703,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,41,205.0,0.03266338633468724,14.85938792341813,0.9683697642746666,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,42,210.0,0.03266436710382803,14.8592575216812,0.9683688445690856,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,43,215.0,0.03266528024965032,14.859136114568848,0.9683679882781056,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,44,220.0,0.03266613184892986,14.859022893422683,0.9683671897029846,0.03268423149301736,14.856617221793444,0.9683502173304577
5.0,45,225.0,0.03266692731087728,14.858917138468364,0.9683664437710388,0.03268423149301736,14.856617221793444,0.9683502173304577
