scenario,N,tau0,finesse_nominal,finesse_nominal_ceiling,finesse_actual,finesse_actual_ceiling,finesse_scale,finesse_relative_error,rho_nominal,rho_actual,reflectivity_nominal,reflectivity_actual,reflectivity_abs_error,rho_crosses_1p00,rho_crosses_1p05,rho_crosses_1p10,math_optimal_branches,geometry_engineering_branches,geometry_warning_branches,w0_experimental_ok_branches,w0_high_risk_branches,final_engineering_branches,geometry_warning_branch_list,w0_experimental_ok_branch_list,w0_high_risk_branch_list,final_branch_list,max_final_platform_width_L_mm,mean_final_platform_width_L_mm
CURRENT_PLATFORM,12,3.000000000000,39.600000000000,40,41.580000000000,42,1.050000000000,0.050000000000,1.100000000000,1.155000000000,0.923751338026,0.927245033413,0.003493695386,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.151090698,0.151090698
CURRENT_PLATFORM,12,3.000000000000,39.600000000000,40,43.560000000000,44,1.100000000000,0.100000000000,1.100000000000,1.210000000000,0.923751338026,0.930432802515,0.006681464488,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.195593940,0.195593940
CURRENT_PLATFORM,12,3.000000000000,41.400000000000,42,37.260000000000,38,0.900000000000,-0.100000000000,1.150000000000,1.035000000000,0.926940699914,0.919164229974,-0.007776469940,yes,no,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,41.400000000000,42,39.330000000000,40,0.950000000000,-0.050000000000,1.150000000000,1.092500000000,0.926940699914,0.923248778309,-0.003691921605,yes,yes,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,41.400000000000,42,40.572000000000,41,0.980000000000,-0.020000000000,1.150000000000,1.127000000000,0.926940699914,0.925507355310,-0.001433344604,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.126803103,0.126803103
CURRENT_PLATFORM,12,3.000000000000,41.400000000000,42,41.400000000000,42,1.000000000000,0.000000000000,1.150000000000,1.150000000000,0.926940699914,0.926940699914,0.000000000000,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.146838468,0.146838468
CURRENT_PLATFORM,12,3.000000000000,41.400000000000,42,42.228000000000,43,1.020000000000,0.020000000000,1.150000000000,1.173000000000,0.926940699914,0.928319965560,0.001379265646,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.166105000,0.166105000
CURRENT_PLATFORM,12,3.000000000000,41.400000000000,42,43.470000000000,44,1.050000000000,0.050000000000,1.150000000000,1.207500000000,0.926940699914,0.930293972071,0.003353272157,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.193657194,0.193657194
CURRENT_PLATFORM,12,3.000000000000,41.400000000000,42,45.540000000000,46,1.100000000000,0.100000000000,1.150000000000,1.265000000000,0.926940699914,0.933353117779,0.006412417865,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.236303680,0.236303680
CURRENT_PLATFORM,12,3.000000000000,43.200000000000,44,38.880000000000,39,0.900000000000,-0.100000000000,1.200000000000,1.080000000000,0.929874138355,0.922396306098,-0.007477832258,yes,yes,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,43.200000000000,44,41.040000000000,42,0.950000000000,-0.050000000000,1.200000000000,1.140000000000,0.929874138355,0.926324336182,-0.003549802173,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.138224579,0.138224579
CURRENT_PLATFORM,12,3.000000000000,43.200000000000,44,42.336000000000,43,0.980000000000,-0.020000000000,1.200000000000,1.176000000000,0.929874138355,0.928496042579,-0.001378095777,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.168563652,0.168563652
CURRENT_PLATFORM,12,3.000000000000,43.200000000000,44,43.200000000000,44,1.000000000000,0.000000000000,1.200000000000,1.200000000000,0.929874138355,0.929874138355,0.000000000000,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.187799546,0.187799546
CURRENT_PLATFORM,12,3.000000000000,43.200000000000,44,44.064000000000,45,1.020000000000,0.020000000000,1.200000000000,1.224000000000,0.929874138355,0.931200152845,0.001326014490,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.206296485,0.206296485
CURRENT_PLATFORM,12,3.000000000000,43.200000000000,44,45.360000000000,46,1.050000000000,0.050000000000,1.200000000000,1.260000000000,0.929874138355,0.933097798471,0.003223660115,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.232746764,0.232746764
CURRENT_PLATFORM,12,3.000000000000,43.200000000000,44,47.520000000000,48,1.100000000000,0.100000000000,1.200000000000,1.320000000000,0.929874138355,0.936038264079,0.006164125724,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.273684551,0.273684551
CURRENT_PLATFORM,30,3.000000000000,94.500000000000,95,85.050000000000,86,0.900000000000,-0.100000000000,1.050000000000,0.945000000000,0.967303634912,0.963737730130,-0.003565904782,no,no,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,94.500000000000,95,89.775000000000,90,0.950000000000,-0.050000000000,1.050000000000,0.997500000000,0.967303634912,0.965612866018,-0.001690768894,no,no,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,94.500000000000,95,92.610000000000,93,0.980000000000,-0.020000000000,1.050000000000,1.029000000000,0.967303634912,0.966647676529,-0.000655958383,yes,no,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,94.500000000000,95,94.500000000000,95,1.000000000000,0.000000000000,1.050000000000,1.050000000000,0.967303634912,0.967303634912,0.000000000000,yes,yes,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,94.500000000000,95,96.390000000000,97,1.020000000000,0.020000000000,1.050000000000,1.071000000000,0.967303634912,0.967934292207,0.000630657295,yes,yes,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,94.500000000000,95,99.225000000000,100,1.050000000000,0.050000000000,1.050000000000,1.102500000000,0.967303634912,0.968835950324,0.001532315411,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,94.500000000000,95,103.950000000000,104,1.100000000000,0.100000000000,1.050000000000,1.155000000000,0.967303634912,0.970231087337,0.002927452424,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,99.000000000000,99,89.100000000000,90,0.900000000000,-0.100000000000,1.100000000000,0.990000000000,0.968766246569,0.965356949074,-0.003409297495,no,no,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,99.000000000000,99,94.050000000000,95,0.950000000000,-0.050000000000,1.100000000000,1.045000000000,0.968766246569,0.967149805356,-0.001616441212,yes,no,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,99.000000000000,99,97.020000000000,98,0.980000000000,-0.020000000000,1.100000000000,1.078000000000,0.968766246569,0.968139140200,-0.000627106369,yes,yes,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,99.000000000000,99,99.000000000000,99,1.000000000000,0.000000000000,1.100000000000,1.100000000000,0.968766246569,0.968766246569,0.000000000000,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,99.000000000000,99,100.980000000000,101,1.020000000000,0.020000000000,1.100000000000,1.122000000000,0.968766246569,0.969369146188,0.000602899619,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,99.000000000000,99,103.950000000000,104,1.050000000000,0.050000000000,1.100000000000,1.155000000000,0.968766246569,0.970231087337,0.001464840768,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,99.000000000000,99,108.900000000000,109,1.100000000000,0.100000000000,1.100000000000,1.210000000000,0.968766246569,0.971564697292,0.002798450723,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,103.500000000000,104,93.150000000000,94,0.900000000000,-0.100000000000,1.150000000000,1.035000000000,0.970103621323,0.966837763214,-0.003265858109,yes,no,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,103.500000000000,104,98.325000000000,99,0.950000000000,-0.050000000000,1.150000000000,1.092500000000,0.970103621323,0.968555252056,-0.001548369267,yes,yes,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,103.500000000000,104,101.430000000000,102,0.980000000000,-0.020000000000,1.150000000000,1.127000000000,0.970103621323,0.969502937357,-0.000600683965,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,103.500000000000,104,103.500000000000,104,1.000000000000,0.000000000000,1.150000000000,1.150000000000,0.970103621323,0.970103621323,0.000000000000,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,103.500000000000,104,105.570000000000,106,1.020000000000,0.020000000000,1.150000000000,1.173000000000,0.970103621323,0.970681102279,0.000577480956,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,103.500000000000,104,108.675000000000,109,1.050000000000,0.050000000000,1.150000000000,1.207500000000,0.970103621323,0.971506675872,0.001403054549,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,103.500000000000,104,113.850000000000,114,1.100000000000,0.100000000000,1.150000000000,1.265000000000,0.970103621323,0.972783953592,0.002680332269,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,108.000000000000,108,97.200000000000,98,0.900000000000,-0.100000000000,1.200000000000,1.080000000000,0.971331182323,0.968197188410,-0.003133993913,yes,yes,no,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,108.000000000000,108,102.600000000000,103,0.950000000000,-0.050000000000,1.200000000000,1.140000000000,0.971331182323,0.969845386660,-0.001485795663,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,108.000000000000,108,105.840000000000,106,0.980000000000,-0.020000000000,1.200000000000,1.176000000000,0.971331182323,0.970754785465,-0.000576396858,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,108.000000000000,108,108.000000000000,108,1.000000000000,0.000000000000,1.200000000000,1.200000000000,0.971331182323,0.971331182323,0.000000000000,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
CURRENT_PLATFORM,30,3.000000000000,108.000000000000,108,110.160000000000,111,1.020000000000,0.020000000000,1.200000000000,1.224000000000,0.971331182323,0.971885300100,0.000554117777,yes,yes,yes,4,3,3,0,4,0,"7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000
