tau0,M,noise_direct,noise_closed_form,abs_diff_direct_vs_closed,limit_noise,limit_minus_direct,ER_direct_dB,ER_limit_dB
3.0,1000,0.089757313383528,0.089757313383579,5.074e-14,0.089757421028761,0.000000107645233,10.469301552,10.469296344
4.0,4,0.047370300506381,0.047370300506381,7.633e-17,0.050883355299626,0.003513054793245,13.244938602,12.934242586
4.0,5,0.048629267220272,0.048629267220273,1.735e-16,0.050883355299626,0.002254088079354,13.131022746,12.934242586
4.0,6,0.049315844130928,0.049315844130928,8.327e-16,0.050883355299626,0.001567511168699,13.070135287,12.934242586
4.0,7,0.049730749746842,0.049730749746842,2.498e-16,0.050883355299626,0.001152605552785,13.033749932,12.934242586
4.0,8,0.050000411553769,0.050000411553769,2.637e-16,0.050883355299626,0.000882943745857,13.010264210,12.934242586
4.0,9,0.050185460383563,0.050185460383563,2.498e-16,0.050883355299626,0.000697894916063,12.994220874,12.934242586
4.0,10,0.050317909464654,0.050317909464654,2.082e-16,0.050883355299626,0.000565445834972,12.982774106,12.934242586
4.0,15,0.050631886981261,0.050631886981261,1.110e-16,0.050883355299626,0.000251468318365,12.955758867,12.934242586
4.0,30,0.050820464334149,0.050820464334150,1.013e-15,0.050883355299626,0.000062890965477,12.939613712,12.934242586
4.0,50,0.050860712716669,0.050860712716667,2.047e-15,0.050883355299626,0.000022642582957,12.936175583,12.934242586
4.0,100,0.050877694460286,0.050877694460291,4.712e-15,0.050883355299626,0.000005660839340,12.934725771,12.934242586
4.0,300,0.050882726311104,0.050882726311097,6.377e-15,0.050883355299626,0.000000628988523,12.934296271,12.934242586
4.0,1000,0.050883298690590,0.050883298690549,4.118e-14,0.050883355299626,0.000000056609036,12.934247418,12.934242586
5.0,4,0.030504002853374,0.030504002853374,2.637e-16,0.032684231493017,0.002180228639643,15.156431671,14.856617222
5.0,5,0.031286609201251,0.031286609201252,6.453e-16,0.032684231493017,0.001397622291766,15.046415025,14.856617222
5.0,6,0.031712799466257,0.031712799466256,1.804e-16,0.032684231493017,0.000971432026761,14.987654187,14.856617222
5.0,7,0.031970144303948,0.031970144303948,2.498e-16,0.032684231493017,0.000714087189069,14.952554034,14.856617222
5.0,8,0.032137318463805,0.032137318463804,3.123e-16,0.032684231493017,0.000546913029213,14.929903636,14.856617222
5.0,9,0.032251999674273,0.032251999674273,1.874e-16,0.032684231493017,0.000432231818744,14.914433533,14.856617222
5.0,10,0.032334064012204,0.032334064012203,3.678e-16,0.032684231493017,0.000350167480814,14.903397062,14.856617222
5.0,15,0.032528538610806,0.032528538610806,3.192e-16,0.032684231493017,0.000155692882211,14.877354476,14.856617222
5.0,30,0.032645298831996,0.032645298831997,1.728e-15,0.032684231493017,0.000038932661022,14.861793516,14.856617222
5.0,50,0.032670215009782,0.032670215009786,4.115e-15,0.032684231493017,0.000014016483236,14.858480073,14.856617222
5.0,100,0.032680727295709,0.032680727295717,8.202e-15,0.032684231493017,0.000003504197308,14.857082870,14.856617222
5.0,300,0.032683842135242,0.032683842135226,1.596e-14,0.032684231493017,0.000000389357775,14.856668958,14.856617222
5.0,1000,0.032684196450789,0.032684196450849,5.998e-14,0.032684231493017,0.000000035042228,14.856621878,14.856617222
6.0,4,0.021254588180794,0.021254588180794,4.163e-16,0.022742592514061,0.001488004333268,16.725473053,16.431600300
6.0,5,0.021789191446792,0.021789191446792,2.220e-16,0.022742592514061,0.000953401067269,16.617588853,16.431600300
6.0,6,0.022080100875541,0.022080100875541,2.880e-16,0.022742592514061,0.000662491638520,16.559989468,16.431600300
6.0,7,0.022255683213059,0.022255683213059,3.261e-16,0.022742592514061,0.000486909301003,16.525590690,16.431600300
6.0,8,0.022369712700156,0.022369712700156,6.245e-17,0.022742592514061,0.000372879813906,16.503395936,16.431600300
6.0,9,0.022447922715551,0.022447922715550,7.702e-16,0.022742592514061,0.000294669798511,16.488238415,16.431600300
6.0,10,0.022503881745693,0.022503881745693,2.359e-16,0.022742592514061,0.000238710768368,16.477425630,16.431600300
6.0,15,0.022636469108460,0.022636469108461,1.003e-15,0.022742592514061,0.000106123405602,16.451913145,16.431600300
6.0,30,0.022716057200795,0.022716057200797,2.168e-15,0.022742592514061,0.000026535313266,16.436670464,16.431600300
6.0,50,0.022733039458536,0.022733039458532,3.671e-15,0.022742592514061,0.000009553055526,16.433424942,16.431600300
