dataset,detector_l,lock_l,theory_pct,experiment_pct,abs_error_pp
run_3,4,8,1.776912,1.737652,0.039260
run_3,5,0,2.093259,1.855798,0.237460
run_3,5,1,1.776233,1.737154,0.039079
run_3,5,2,0.211860,0.121172,0.090688
run_3,5,3,0.122645,0.000000,0.122645
run_3,5,4,0.490229,0.384904,0.105324
run_3,5,5,94.484614,91.889578,2.595037
run_3,5,6,0.488619,0.876560,0.387941
run_3,5,7,0.122637,1.786125,1.663488
run_3,5,8,0.211951,0.697737,0.485785
run_3,6,0,0.224069,0.476031,0.251962
run_3,6,1,2.092458,1.422596,0.669862
run_3,6,2,1.776145,1.647222,0.128923
run_3,6,3,0.211885,0.048519,0.163366
run_3,6,4,0.123034,0.000000,0.123034
run_3,6,5,0.488678,1.073790,0.585112
run_3,6,6,94.473170,91.546532,2.926638
run_3,6,7,0.488643,0.024870,0.463774
run_3,6,8,0.122683,1.864862,1.742178
run_3,7,0,0.117719,0.674101,0.556382
run_3,7,1,0.223983,0.387942,0.163959
run_3,7,2,2.092355,1.673369,0.418986
run_3,7,3,1.776360,1.741761,0.034599
run_3,7,4,0.212558,0.063810,0.148747
run_3,7,5,0.122645,0.000000,0.122645
run_3,7,6,0.488619,0.707966,0.219347
run_3,7,7,94.477858,90.977370,3.500488
run_3,7,8,0.488830,0.000000,0.488830
run_3,8,0,0.450581,0.993949,0.543367
run_3,8,1,0.117674,0.618913,0.501239
run_3,8,2,0.223972,0.441701,0.217729
run_3,8,3,2.092608,2.186622,0.094014
run_3,8,4,1.781995,2.183467,0.401471
run_3,8,5,0.211885,0.045537,0.166348
run_3,8,6,0.122630,0.000000,0.122630
run_3,8,7,0.488643,1.900025,1.411382
run_3,8,8,94.513995,92.033685,2.480310
