dataset_key,l,scan_direction,primary_label,reference_label,final_lambda_center_nm,raw_lambda_center_nm,delta_lambda_nm,final_nu_center_ghz,raw_nu_center_ghz,delta_nu_ghz,final_fwhm_ghz,raw_fwhm_ghz,delta_fwhm_ghz,final_peak_power_uw,raw_peak_power_uw,delta_peak_power_uw,final_r_squared,raw_r_squared
0p98mm_final,5,Rising,final,raw,794.9721641974351,794.9721641974351,0.0,377110.6354430105,377110.6354430105,0.0,0.30676112824826074,0.3067611282430717,-5.189015883644288e-12,3.7500104246334276,3.224667183588333,-0.5253432410450944,0.9997879422450222,0.9997879422435375
0p98mm_final,5,Falling,final,raw,794.9721735465137,794.9721735465137,0.0,377110.63100809173,377110.63100809173,0.0,0.3111265547695594,0.31112655476765,-1.9094170689015755e-12,3.6850014565581093,3.1687653960291353,-0.516236060528974,0.9965263382077383,0.9965263382064347
0p98mm_final,6,Rising,final,raw,794.9884215307204,794.9884215307204,0.0,377102.92361586954,377102.92361586954,0.0,0.3023384525095362,0.30233845250950925,-2.6978419498391304e-14,3.4362452834297326,3.4362452834323354,2.602806858931217e-12,0.9995115586429388,0.9995115586429388
0p98mm_final,6,Falling,final,raw,794.9884152831164,794.9884152831164,0.0,377102.92657942185,377102.92657942185,0.0,0.3076085403820005,0.3076085403819963,-4.163336342344337e-15,3.437374138329043,3.4373741383290652,2.220446049250313e-14,0.9995950009819587,0.9995950009819587
0p98mm_final,7,Rising,final,raw,794.983794416025,794.983794416025,0.0,377105.1185014657,377105.1185014657,0.0,0.29863250385033135,0.29863250385033135,0.0,3.0898233349482815,3.0898233349482815,0.0,0.9995119795782487,0.9995119795782487
0p98mm_final,7,Falling,final,raw,794.9838077194321,794.9838077194321,0.0,377105.1121909184,377105.1121909184,0.0,0.303720265109846,0.3037202651097909,-5.512257317263902e-14,3.0566064046661032,3.056606404667,8.966161146872764e-13,0.999474020383733,0.999474020383733
0p98mm_final,8,Rising,final,raw,794.9791674163937,794.9791674163937,0.0,377107.31335803034,377107.31335803034,0.0,0.30618210419137415,0.3061821041939946,2.620459405022757e-12,3.3885818223699005,2.957865275959134,-0.4307165464107663,0.9990437749040889,0.9990437749012495
0p98mm_final,8,Falling,final,raw,794.9792201286224,794.9792201286224,0.0,377107.28835339315,377107.28835339315,0.0,0.30301785924390295,0.30301785923747515,-6.4278027345210376e-12,3.22577577498836,2.815753212787247,-0.4100225622011133,0.9967896679372623,0.9967896679384061
0p98mm_final,9,Rising,final,raw,794.974510606262,794.974510606262,0.0,377109.5223812557,377109.5223812557,0.0,0.3073681351935983,0.3073681351831886,-1.0409673123490393e-11,3.0323398620319026,2.6041395742721694,-0.4282002877597333,0.9982214983238672,0.998221498315741
0p98mm_final,9,Falling,final,raw,794.9745074831485,794.9745074831485,0.0,377109.52386275714,377109.52386275714,0.0,0.2984586164066976,0.298458616400463,-6.234568417085029e-12,3.0217565544139853,2.5950507480001095,-0.4267058064138758,0.999317939220654,0.999317939221788
