scenario,l,eta,target_overlap_power,p1_leakage_power,ring_peak_over_w_cav,rms_radius_over_w_cav,z_offset_over_zR
custom_eta_scan::same_w0,1,0.85,0.9487652360020724,0.04924887027446243,0.7071067811865476,1.0,
custom_eta_scan::same_w0,1,1.0,1.0,0.0,0.7071067811865476,1.0,
custom_eta_scan::same_w0,1,1.15,0.9618081513429839,0.03709082059021201,0.7071067811865476,1.0,
custom_eta_scan::same_w0,1,1.3,0.8727387753304934,0.11484388854074654,0.7071067811865476,1.0,
custom_eta_scan::same_w0,2,0.4,0.10759497440753497,0.16926058399663338,1.0,1.224744871391589,
custom_eta_scan::same_w0,2,0.55,0.3628187469752118,0.3121360525856167,1.0,1.224744871391589,
custom_eta_scan::same_w0,2,0.7,0.688098488078597,0.24184642594825873,1.0,1.224744871391589,
custom_eta_scan::same_w0,2,0.85,0.9241408008648412,0.07195598345631883,1.0,1.224744871391589,
custom_eta_scan::same_w0,2,1.0,1.0,0.0,1.0,1.224744871391589,
custom_eta_scan::same_w0,2,1.15,0.9432627410478779,0.05456346317420975,1.0,1.224744871391589,
custom_eta_scan::same_w0,2,1.3,0.81531683106012,0.16093158328425114,1.0,1.224744871391589,
custom_eta_scan::same_w0,4,0.4,0.02433996658358643,0.06381644032914158,1.4142135623730951,1.5811388300841898,
custom_eta_scan::same_w0,4,0.55,0.1845650785531389,0.2646381769823809,1.4142135623730951,1.5811388300841898,
custom_eta_scan::same_w0,4,0.7,0.5363121954031445,0.3141633305354667,1.4142135623730951,1.5811388300841898,
custom_eta_scan::same_w0,4,0.85,0.8767926650316753,0.11378222604282597,1.4142135623730951,1.5811388300841898,
custom_eta_scan::same_w0,4,1.0,1.0,0.0,1.4142135623730951,1.5811388300841898,
custom_eta_scan::same_w0,4,1.15,0.9072377931979753,0.08746597274409613,1.4142135623730951,1.5811388300841898,
custom_eta_scan::same_w0,4,1.3,0.7115586126457478,0.2340853881791577,1.4142135623730951,1.5811388300841898,
custom_eta_scan::same_w0,8,0.4,0.0012455924288424433,0.005878426099971052,2.0,2.1213203435596424,
custom_eta_scan::same_w0,8,0.55,0.04776053218112106,0.12326637563815264,2.0,2.1213203435596424,
custom_eta_scan::same_w0,8,0.7,0.32580054824477855,0.34352799575974147,2.0,2.1213203435596424,
custom_eta_scan::same_w0,8,0.85,0.7892497161549106,0.18435904831406644,2.0,2.1213203435596424,
custom_eta_scan::same_w0,8,1.0,1.0,0.0,2.0,2.1213203435596424,
custom_eta_scan::same_w0,8,1.15,0.839262928954347,0.1456426399285358,2.0,2.1213203435596424,
custom_eta_scan::same_w0,8,1.3,0.5419749617983246,0.32093372311184765,2.0,2.1213203435596424,
zoffset_scan,0,1.0,1.0,,0.0,0.7071067811865476,0.0
zoffset_scan,0,1.0,0.9846153846153843,,0.0,0.7288689868556626,0.25
zoffset_scan,0,1.0,0.9411764705882353,,0.0,0.7905694150420949,0.5
zoffset_scan,0,1.0,0.7999999999999997,,0.0,1.0000000000000002,1.0
zoffset_scan,4,1.0,1.0,,1.4142135623730951,1.5811388300841898,0.0
zoffset_scan,4,1.0,0.9254076529317813,,1.4577379737113252,1.6298006013006623,0.25
zoffset_scan,4,1.0,0.7385081737104511,,1.5811388300841898,1.767766952966369,0.5
zoffset_scan,4,1.0,0.32768000000102504,,2.0000000000000004,2.23606797749979,1.0
zoffset_scan,8,1.0,1.0,,2.0,2.1213203435596424,0.0
zoffset_scan,8,1.0,0.8697602510438444,,2.0615528128088303,2.1866069605669876,0.25
zoffset_scan,8,1.0,0.5794814678019673,,2.23606797749979,2.3717082451262845,0.5
zoffset_scan,8,1.0,0.13421772851439898,,2.8284271247461903,3.0,1.0
