model,strategy,l,shift_w0,w_input_over_w_cav,analysis_basis_over_w_cav,retained_power,target_overlap_power,p0_modal_weight,p1_modal_weight,leakage_modal_weight,dominant_p
bolduc,same_w0,4,0.08,1.0,1.0,0.9993430169287958,0.9672213534375579,0.9678572192459455,1.5307550190040284e-05,0.03214278075405452,0
bolduc,same_w0,5,0.08,1.0,1.0,0.9978313390904844,0.9582398127166918,0.9603224264234074,1.39350015930467e-06,0.03967757357659263,0
bolduc,same_w0,6,0.08,1.0,1.0,0.9939921198595836,0.9450231593932081,0.9507350616891275,0.00016651803081539485,0.04926493831087253,0
bolduc,same_w0,7,0.08,1.0,1.0,0.9856222050812092,0.9235757747963693,0.9370484654617462,0.0012263072414081993,0.06295153453825375,0
bolduc,same_w0,8,0.08,1.0,1.0,0.9696317026189946,0.8885196128178205,0.9163475270227975,0.005034403951706241,0.08365247297720246,0
bolduc,same_w0,0,0.16,1.0,1.0,0.9999996378189155,0.974724462106845,0.9747248151337355,0.00015961177473037327,0.025275184866264455,0
bolduc,same_w0,1,0.16,1.0,1.0,0.9999944399325258,0.9499246483945604,0.9499299300690676,0.0003140130953638775,0.05007006993093244,0
bolduc,same_w0,2,0.16,1.0,1.0,0.9999570332646692,0.9255575488295943,0.9255973187246104,0.00045713200183639997,0.07440268127538963,0
bolduc,same_w0,3,0.16,1.0,1.0,0.9997770015896488,0.9014649953240814,0.9016660654233383,0.0005661974204623626,0.09833393457666173,0
bolduc,same_w0,4,0.16,1.0,1.0,0.9991249164236385,0.8771741776689637,0.8779424506885516,0.0005840513948944466,0.12205754931144841,0
bolduc,same_w0,5,0.16,1.0,1.0,0.9972283156101548,0.8515591816094039,0.8539259949597168,0.00042647021600385356,0.14607400504028323,0
bolduc,same_w0,6,0.16,1.0,1.0,0.9926126985178909,0.8224520642820533,0.8285729827052275,0.00010727705139325106,0.1714270172947725,0
bolduc,same_w0,7,0.16,1.0,1.0,0.9829423776626339,0.7864597027621475,0.8001076366574937,0.00010262108987901821,0.19989236334250626,0
bolduc,same_w0,8,0.16,1.0,1.0,0.9651306692378498,0.7393487180003109,0.7660607434474799,0.0019075149996581914,0.23393925655252013,0
bolduc,scaled_w0,0,0.0,1.0,1.0,0.9999998132176442,0.9999996264353233,0.9999998132176445,8.374303737973295e-12,1.867823554713155e-07,0
bolduc,scaled_w0,1,0.0,0.7071067811865475,1.0,0.9999999999988838,0.7901234536975564,0.7901234536984383,0.175583005022851,0.20987654630156172,0
bolduc,scaled_w0,2,0.0,0.5773502691896258,1.0,1.0000000000000002,0.4218749999849213,0.4218749999849213,0.31640625009820056,0.5781250000150787,0
bolduc,scaled_w0,3,0.0,0.5,1.0,1.0000000000000004,0.16777215999994705,0.16777215999994693,0.2415919104003796,0.8322278400000531,1
