family,l,eta,p,power,small_parameter_s_abs
axisymmetric_size_mismatch,4,0.98,6,9.672505267684064e-19,0.020199959192001675
axisymmetric_size_mismatch,4,0.98,partial_sum_0_to_pmax,1.0000000000000002,0.020199959192001675
axisymmetric_size_mismatch,4,0.95,0,0.9869368278387314,0.051248357424441546
axisymmetric_size_mismatch,4,0.95,1,0.012960425499530423,0.051248357424441546
axisymmetric_size_mismatch,4,0.95,2,0.00010211755670120298,0.051248357424441546
axisymmetric_size_mismatch,4,0.95,3,6.258022222170664e-07,0.051248357424441546
axisymmetric_size_mismatch,4,0.95,4,3.2872065768368224e-09,0.051248357424441546
axisymmetric_size_mismatch,4,0.95,5,1.5540300155000183e-11,0.051248357424441546
axisymmetric_size_mismatch,4,0.95,6,6.80249220679711e-14,0.051248357424441546
axisymmetric_size_mismatch,4,0.95,partial_sum_0_to_pmax,1.0000000000000002,0.051248357424441546
axisymmetric_size_mismatch,4,0.9,0,0.9461049230589035,0.1049723756906077
axisymmetric_size_mismatch,4,0.9,1,0.05212659522362931,0.1049723756906077
axisymmetric_size_mismatch,4,0.9,2,0.0017231800808031044,0.1049723756906077
axisymmetric_size_mismatch,4,0.9,3,4.430548583365834e-05,0.1049723756906077
axisymmetric_size_mismatch,4,0.9,4,9.764219887030708e-07,0.1049723756906077
axisymmetric_size_mismatch,4,0.9,5,1.936689991939364e-08,0.1049723756906077
axisymmetric_size_mismatch,4,0.9,6,3.556795616180367e-10,0.1049723756906077
axisymmetric_size_mismatch,4,0.9,partial_sum_0_to_pmax,0.9999999999937378,0.1049723756906077
axisymmetric_size_mismatch,8,0.98,0,0.9963336429652643,0.020199959192001675
axisymmetric_size_mismatch,8,0.98,1,0.0036588810337072892,0.020199959192001675
axisymmetric_size_mismatch,8,0.98,2,7.464818924054635e-06,0.020199959192001675
axisymmetric_size_mismatch,8,0.98,3,1.1168418825524516e-08,0.020199959192001675
axisymmetric_size_mismatch,8,0.98,4,1.367142961454588e-11,0.020199959192001675
axisymmetric_size_mismatch,8,0.98,5,1.4504015761647165e-14,0.020199959192001675
axisymmetric_size_mismatch,8,0.98,6,1.38091209187416e-17,0.020199959192001675
axisymmetric_size_mismatch,8,0.98,partial_sum_0_to_pmax,1.0000000000000004,0.020199959192001675
axisymmetric_size_mismatch,8,0.95,0,0.976609262988494,0.051248357424441546
axisymmetric_size_mismatch,8,0.95,1,0.02308464759704709,0.051248357424441546
axisymmetric_size_mismatch,8,0.95,2,0.00030314691571457997,0.051248357424441546
axisymmetric_size_mismatch,8,0.95,3,2.91933870286212e-06,0.051248357424441546
axisymmetric_size_mismatch,8,0.95,4,2.3002002174260413e-08,0.051248357424441546
axisymmetric_size_mismatch,8,0.95,5,1.5707204159118786e-10,0.051248357424441546
axisymmetric_size_mismatch,8,0.95,6,9.62577208574937e-13,0.051248357424441546
axisymmetric_size_mismatch,8,0.95,partial_sum_0_to_pmax,0.9999999999999953,0.051248357424441546
axisymmetric_size_mismatch,8,0.9,0,0.9050878693771116,0.1049723756906077
axisymmetric_size_mismatch,8,0.9,1,0.08976009546736162,0.1049723756906077
axisymmetric_size_mismatch,8,0.9,2,0.004945422066438375,0.1049723756906077
axisymmetric_size_mismatch,8,0.9,3,0.00019981350819395805,0.1049723756906077
axisymmetric_size_mismatch,8,0.9,4,6.6053548235419076e-06,0.1049723756906077
axisymmetric_size_mismatch,8,0.9,5,1.8924288139484238e-07,0.1049723756906077
axisymmetric_size_mismatch,8,0.9,6,4.865711885929066e-09,0.1049723756906077
axisymmetric_size_mismatch,8,0.9,partial_sum_0_to_pmax,0.9999999998825223,0.1049723756906077
