scenario,finesse,tau0,vacuum_wavelength_nm,refractive_index,medium_wavelength_nm,w0_experimental_min_um,w0_comfortable_min_um,N,m,k_star,lr_star,L_mm,zR_mm,w0_um,w_curved_um,g2,lr_edge_margin,hemispherical_gap_mm,delta,tau_eff,tau_margin,rho,peak_headroom_ratio,platform_height_margin,platform_exists,platform_width_k,platform_width_lr,platform_width_L_mm,pairwise_er_db,conservative_er_db,w0_band,geometry_warning,geometry_warning_reasons,geometry_screen_status,geometry_pass,geometry_fail_reasons,quality_pass,quality_fail_reasons,final_engineering_pass
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,14,5,0.357142857143,0.811744900929,20.293622523,9.772893531,41.250761,95.073305,0.188255099071,0.188255099071,4.706377477,0.100671140940,2.128571428571,-0.871428571429,0.709523809524,-0.409395973154,-0.029242569511,no,0.000000000000,0.000000000000,0.000000000,12.815621,7.973792,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,15,1,0.066666666667,0.043227271179,1.080681779,5.084208038,29.753087,30.417789,0.956772728821,0.043227271179,23.919318221,0.100671140940,1.986666666667,-1.013333333333,0.662222222222,-0.510067114094,-0.034004474273,no,0.000000000000,0.000000000000,0.000000000,12.249829,7.367718,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,15,2,0.133333333333,0.165434696821,4.135867421,9.289310318,40.217227,44.023235,0.834565303179,0.165434696821,20.864132579,0.100671140940,1.986666666667,-1.013333333333,0.662222222222,-0.510067114094,-0.034004474273,no,0.000000000000,0.000000000000,0.000000000,12.249829,7.367718,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,15,4,0.266666666667,0.552264231634,13.806605791,12.431523692,46.524591,69.529910,0.447735768366,0.447735768366,11.193394209,0.100671140940,1.986666666667,-1.013333333333,0.662222222222,-0.510067114094,-0.034004474273,no,0.000000000000,0.000000000000,0.000000000,12.249829,7.367718,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,15,7,0.466666666667,0.989073800367,24.726845009,2.598896135,21.272319,203.507434,0.010926199633,0.010926199633,0.273154991,0.100671140940,1.986666666667,-1.013333333333,0.662222222222,-0.510067114094,-0.034004474273,no,0.000000000000,0.000000000000,0.000000000,12.249829,7.367718,high_risk,no,w0_high_risk,hard_fail,no,large_curved_mirror_spot,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,16,1,0.062500000000,0.038060233744,0.951505844,4.783542905,28.859926,29.425326,0.961939766256,0.038060233744,24.048494156,0.100671140940,1.862500000000,-1.137500000000,0.620833333333,-0.610738255034,-0.038171140940,no,0.000000000000,0.000000000000,0.000000000,11.724752,6.808775,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,16,3,0.187500000000,0.308658283817,7.716457095,11.548494156,44.841803,53.930777,0.691341716183,0.308658283817,17.283542905,0.100671140940,1.862500000000,-1.137500000000,0.620833333333,-0.610738255034,-0.038171140940,no,0.000000000000,0.000000000000,0.000000000,11.724752,6.808775,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,16,5,0.312500000000,0.691341716183,17.283542905,11.548494156,44.841803,80.713112,0.308658283817,0.308658283817,7.716457095,0.100671140940,1.862500000000,-1.137500000000,0.620833333333,-0.610738255034,-0.038171140940,no,0.000000000000,0.000000000000,0.000000000,11.724752,6.808775,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,16,7,0.437500000000,0.961939766256,24.048494156,4.783542905,28.859926,147.931103,0.038060233744,0.038060233744,0.951505844,0.100671140940,1.862500000000,-1.137500000000,0.620833333333,-0.610738255034,-0.038171140940,no,0.000000000000,0.000000000000,0.000000000,11.724752,6.808775,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,17,1,0.058823529412,0.033763885298,0.844097132,4.515520827,28.039761,28.525461,0.966236114702,0.033763885298,24.155902868,0.100671140940,1.752941176471,-1.247058823529,0.584313725490,-0.711409395973,-0.041847611528,no,0.000000000000,0.000000000000,0.000000000,11.235646,6.285036,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
