q,m,k_fraction,shell1_projection,shell1_hits_D,shell1_hits_complement,shell2_projection,shell2_hits_D,shell2_hits_complement,shell3_projection,shell3_hits_D,exact_rho,predicted_ge_2_by_shell1_complement,predicted_ge_3_by_shell12_complement,limiting_diffs
81,19,19/81,17,17,,34,34,,30,30,1,False,False,17
81,20,20/81,4,4,,8,8,,12,12,1,False,False,4
81,22,22/81,11,11,,22,22,,33,33,1,False,False,11
81,23,23/81,7,7,,14,14,,21,21,1,False,False,7
82,17,17/82,29,,29,24,24,,5,5,2,True,False,24
82,19,19/82,13,13,,26,26,,"39,43",39,1,False,False,13
82,21,21/82,"39,43",39,43,4,4,,35,,1,False,False,39
82,23,23/82,25,25,,32,,32,7,7,1,False,False,25
83,17,17/83,"39,44",39,44,5,5,,34,34,1,False,False,39
83,18,18/83,23,23,,37,,37,14,14,1,False,False,23
83,19,19/83,35,,35,13,13,,22,22,2,True,False,13
83,20,20/83,29,,29,25,25,,4,4,2,True,False,25
83,21,21/83,4,4,,8,8,,12,12,1,False,False,4
83,22,22/83,34,34,,15,15,,19,19,1,False,False,34
83,23,23/83,18,18,,36,36,,29,,1,False,False,18
83,24,24/83,"38,45",45,38,7,7,,31,31,1,False,False,45
84,17,17/84,5,5,,10,10,,15,15,1,False,False,5
84,19,19/84,31,31,,22,22,,9,9,1,False,False,31
84,23,23/84,11,11,,22,22,,33,33,1,False,False,11
84,25,25/84,37,,37,10,10,,27,27,2,True,False,10
85,18,18/85,33,33,,19,19,,14,14,1,False,False,33
85,19,19/85,9,9,,18,18,,27,27,1,False,False,9
85,21,21/85,4,4,,8,8,,12,12,1,False,False,4
85,22,22/85,27,27,,31,31,,4,4,1,False,False,27
85,23,23/85,37,,37,11,11,,26,26,2,True,False,11
85,24,24/85,39,39,,7,7,,32,,1,False,False,39
86,19,19/86,9,9,,18,18,,27,27,1,False,False,9
86,21,21/86,"41,45",45,41,4,4,,37,,1,False,False,45
86,23,23/86,15,15,,30,30,,"41,45",45,1,False,False,15
86,25,25/86,31,31,,24,24,,7,7,1,False,False,31
87,19,19/87,32,,32,23,23,,9,9,2,True,False,23
87,20,20/87,13,13,,26,26,,39,39,1,False,False,13
87,22,22/87,4,4,,8,8,,12,12,1,False,False,4
87,23,23/87,34,34,,19,19,,15,15,1,False,False,34
87,25,25/87,7,7,,14,14,,21,21,1,False,False,7
87,26,26/87,10,10,,20,,20,30,30,1,False,False,10
88,19,19/88,37,,37,14,14,,23,23,2,True,False,14
88,21,21/88,21,21,,42,42,,25,25,1,False,False,21
88,23,23/88,23,23,,42,42,,19,19,1,False,False,23
88,25,25/88,7,7,,14,14,,21,21,1,False,False,7
89,18,18/89,5,5,,10,10,,15,15,1,False,False,5
89,19,19/89,14,14,,28,28,,42,42,1,False,False,14
89,20,20/89,40,40,,9,9,,31,31,1,False,False,40
89,21,21/89,17,17,,34,34,,38,,1,False,False,17
89,22,22/89,4,4,,8,8,,12,12,1,False,False,4
89,23,23/89,31,31,,27,27,,4,4,1,False,False,31
89,24,24/89,26,26,,37,,37,11,11,1,False,False,26
89,25,25/89,32,,32,25,25,,7,7,2,True,False,25
89,26,26/89,24,24,,41,,41,17,17,1,False,False,24
90,19,19/90,19,19,,38,,38,33,33,1,False,False,19
90,23,23/90,43,,43,4,4,,39,39,2,True,False,4
