detuning_from_l0_peak_mhz,T_l0_exp_rising_smooth,T_l9_exp_rising_smooth,T_overlap_min_exp_rising_smooth
24.70964677268057,0.9059032496416131,0.8029027780429201,0.8029027780429201
25.160533047674107,0.9048474814664382,0.802307199887833,0.802307199887833
25.611419322667643,0.9037917132912634,0.801711621732746,0.801711621732746
26.06230559766118,0.9027359451160886,0.8011160435776591,0.8011160435776591
26.513191872654716,0.9016801769409136,0.8005204654225719,0.8005204654225719
26.96407814764825,0.900624408765739,0.799924887267485,0.799924887267485
27.414964422641788,0.8995686405905641,0.799329309112398,0.799329309112398
27.865850697635324,0.8985128724153892,0.798733730957311,0.798733730957311
28.31673697262886,0.8974571042402144,0.798138152802224,0.798138152802224
28.767623247622396,0.8964013360650396,0.797542574647137,0.797542574647137
29.218509522615932,0.8953455678898647,0.7969469964920499,0.7969469964920499
29.669395797609468,0.89428979971469,0.796351418336963,0.796351418336963
30.120282072603004,0.8932340315395151,0.7957558401818762,0.7957558401818762
30.57116834759654,0.8921782633643403,0.7951602620267889,0.7951602620267889
31.022054622590076,0.8911224951891654,0.7945646838717021,0.7945646838717021
31.472940897583612,0.8900667270139905,0.7939691057166152,0.7939691057166152
31.92382717257715,0.8890109588388158,0.7933735275615281,0.7933735275615281
32.374713447570684,0.8879551906636408,0.7927779494064411,0.7927779494064411
32.82559972256422,0.8868994224884661,0.792182371251354,0.792182371251354
33.27648599755776,0.8858436543132913,0.791586793096267,0.791586793096267
33.72737227255129,0.8847878861381163,0.7909912149411801,0.7909912149411801
34.17825854754483,0.8837321179629416,0.7903956367860931,0.7903956367860931
34.629144822538365,0.8826763497877669,0.789800058631006,0.789800058631006
35.0800310975319,0.8816205816125919,0.7892044804759191,0.7892044804759191
35.53091737252544,0.8805648134374172,0.7886089023208321,0.7886089023208321
35.98180364751897,0.8795090452622423,0.7880133241657451,0.7880133241657451
36.43268992251251,0.8784532770870674,0.7874177460106581,0.7874177460106581
36.883576197506045,0.8773975089118926,0.786822167855571,0.786822167855571
37.33446247249958,0.8763417407367179,0.7862265897004841,0.7862265897004841
37.78534874749312,0.875285972561543,0.785631011545397,0.785631011545397
38.23623502248665,0.8742302043863682,0.78503543339031,0.78503543339031
38.68712129748019,0.8731744362111933,0.784439855235223,0.784439855235223
39.138007572473725,0.8721186680360185,0.783844277080136,0.783844277080136
39.58889384746726,0.8710628998608437,0.7832486989250491,0.7832486989250491
40.0397801224608,0.8700071316856689,0.7826531207699622,0.7826531207699622
40.49066639745433,0.8689513635104941,0.7820575426148751,0.7820575426148751
40.94155267244787,0.8678955953353191,0.7814619644597881,0.7814619644597881
41.392438947441406,0.8668398271601443,0.7808663863047011,0.7808663863047011
41.84332522243494,0.8657840589849697,0.780270808149614,0.780270808149614
42.29421149742848,0.8647282908097946,0.7796752299945272,0.7796752299945272
42.745097772422014,0.8636725226346197,0.7790796518394402,0.7790796518394402
43.19598404741555,0.8626167544594451,0.7784840736843531,0.7784840736843531
43.646870322409086,0.8615609862842701,0.7778884955292661,0.7778884955292661
44.09775659740262,0.8605052181090953,0.7772929173741792,0.7772929173741792
44.54864287239616,0.8594494499339205,0.7766973392190921,0.7766973392190921
44.999529147389694,0.8583936817587456,0.7761017610640051,0.7761017610640051
45.45041542238323,0.8573379135835708,0.7755061829089182,0.7755061829089182
45.901301697376766,0.856282145408396,0.7748965219409802,0.7748965219409802
46.3521879723703,0.8551997724236194,0.7742596885556382,0.7742596885556382
46.80307424736384,0.8540815193542408,0.7735616693973755,0.7735616693973755
47.253960522357374,0.8529178843702487,0.7728022196771845,0.7728022196771845
47.70484679735091,0.8516918498700256,0.7719929464827672,0.7719929464827672
48.15573307234445,0.8504220198563542,0.7711338498141228,0.7711338498141228
48.60661934733798,0.849108394329235,0.7702174520739945,0.7702174520739945
49.05750562233152,0.8477509732886679,0.7692357390705016,0.7692357390705016
49.508391897325055,0.8463313946350892,0.7682042025927815,0.7682042025927815
49.95927817231859,0.8448661921636773,0.767122842640835,0.767122842640835
50.41016444731213,0.8433571941788176,0.7659880663188412,0.7659880663188412
50.86105072230566,0.8418044006805098,0.7647840900320458,0.7647840900320458
51.3119369972992,0.8401928642747418,0.763549119738189,0.763549119738189
51.762823272292735,0.83856591946621,0.7622984058375054,0.7622984058375054
52.21370954728627,0.8369342780344663,0.7610476919368218,0.7610476919368218
52.66459582227981,0.8353026366027227,0.7597969780361381,0.7597969780361381
53.11548209727334,0.8336709951709791,0.7585462641354545,0.7585462641354545
53.56636837226688,0.8320393537392354,0.7572955502347709,0.7572955502347709
54.017254647260415,0.8304077123074919,0.756044836334087,0.756044836334087
54.46814092225395,0.8287760708757483,0.7547941224334034,0.7547941224334034
54.91902719724749,0.8271444294440045,0.7535434085327197,0.7535434085327197
55.369913472241024,0.8255127880122608,0.752292694632036,0.752292694632036
55.82079974723456,0.8238811465805173,0.7510419807313524,0.7510419807313524
56.271686022228096,0.8222495051487736,0.7497912668306688,0.7497912668306688
56.72257229722163,0.82061786371703,0.7485405529299851,0.7485405529299851
57.17345857221517,0.8189862222852864,0.7472898390293016,0.7472898390293016
57.624344847208704,0.8173545808535427,0.7460391251286178,0.7460391251286178
58.07523112220224,0.8157229394217991,0.7447884112279342,0.7447884112279342
58.526117397195776,0.8140912979900555,0.7435376973272504,0.7435376973272504
58.97700367218931,0.8124596565583119,0.7422869834265666,0.7422869834265666
59.42788994718285,0.8108280151265682,0.7410362695258831,0.7410362695258831
59.878776222176384,0.8091963736948246,0.7397855556251995,0.7397855556251995
60.32966249716992,0.8075647322630809,0.738534841724516,0.738534841724516
60.780548772163456,0.8059330908313371,0.7372841278238323,0.7372841278238323
61.23143504715699,0.8043014493995936,0.7360334139231486,0.7360334139231486
61.68232132215053,0.80266980796785,0.7347827000224648,0.7347827000224648
62.133207597144064,0.8010381665361065,0.7335319861217812,0.7335319861217812
62.5840938721376,0.7994065251043627,0.7322812722210974,0.7322812722210974
63.03498014713114,0.7977748836726191,0.7310305583204137,0.7310305583204137
63.48586642212467,0.7961432422408755,0.7297798444197301,0.7297798444197301
63.93675269711821,0.7945116008091319,0.7285291305190466,0.7285291305190466
64.38763897211174,0.7928799593773881,0.727278416618363,0.727278416618363
64.83852524710528,0.7912483179456445,0.7260277027176794,0.7260277027176794
65.28941152209882,0.7896166765139009,0.7247769888169956,0.7247769888169956
65.74029779709235,0.7879850350821571,0.7235262749163119,0.7235262749163119
66.19118407208589,0.7863533936504135,0.7222755610156282,0.7222755610156282
66.64207034707943,0.78472175221867,0.7210248471149446,0.7210248471149446
67.09295662207296,0.7830901107869264,0.719774133214261,0.719774133214261
67.5438428970665,0.7814584693551827,0.7185234193135774,0.7185234193135774
67.99472917206003,0.779826827923439,0.7172727054128937,0.7172727054128937
68.44561544705357,0.7781951864916954,0.71602199151221,0.71602199151221
68.8965017220471,0.7765635450599518,0.7147712776115265,0.7147712776115265
69.34738799704064,0.7749319036282081,0.7135205637108428,0.7135205637108428
69.79827427203418,0.7733002621964645,0.7122698498101588,0.7122698498101588
70.24916054702771,0.7716686207647209,0.7110191359094753,0.7110191359094753
70.70004682202125,0.7700369793329772,0.7097684220087916,0.7097684220087916
71.15093309701479,0.7684053379012336,0.7085177081081079,0.7085177081081079
71.60181937200832,0.7667736964694898,0.7072669942074243,0.7072669942074243
72.05270564700186,0.7651420550377463,0.7060162803067407,0.7060162803067407
72.5035919219954,0.7635104136060028,0.704765566406057,0.704765566406057
72.95447819698893,0.761878772174259,0.7035148525053735,0.7035148525053735
73.40536447198247,0.7602471307425154,0.7022641386046897,0.7022641386046897
73.856250746976,0.7586154893107716,0.7010134247040061,0.7010134247040061
74.30713702196954,0.7569838478790281,0.6997627108033224,0.6997627108033224
74.75802329696307,0.7553522064472844,0.6985119969026385,0.6985119969026385
75.20890957195661,0.7537205650155409,0.6972612830019551,0.6972612830019551
75.65979584695015,0.7520889235837973,0.6960105691012715,0.6960105691012715
76.11068212194368,0.7504572821520535,0.6947598552005878,0.6947598552005878
76.56156839693722,0.7488256407203099,0.6935091412999043,0.6935091412999043
77.01245467193075,0.7471939992885662,0.6922584273992205,0.6922584273992205
77.46334094692429,0.7455623578568228,0.6910077134985367,0.6910077134985367
77.91422722191783,0.7439307164250791,0.689756999597853,0.689756999597853
78.36511349691136,0.7422990749933355,0.6885062856971693,0.6885062856971693
78.8159997719049,0.7406674335615917,0.6872555717964857,0.6872555717964857
79.26688604689843,0.7390357921298479,0.6860048578958021,0.6860048578958021
79.71777232189197,0.7374041506981044,0.6847515991302907,0.6847515991302907
80.1686585968855,0.7357691227644898,0.6834887950317082,0.6834887950317082
80.61954487187904,0.7341279595531999,0.6821931713329915,0.6821931713329915
81.07043114687258,0.7324775279410004,0.6808634856409396,0.6808634856409396
81.52131742186612,0.730813910316522,0.6795066235261654,0.6795066235261654
81.97220369685965,0.7291411686476966,0.6781225849886691,0.6781225849886691
82.42308997185319,0.7274593029345247,0.6767078457777101,0.6767078457777101
82.87397624684672,0.7257683131770062,0.6752569256467442,0.6752569256467442
83.32486252184026,0.7240645600894389,0.6737788290930565,0.6737788290930565
83.7757487968338,0.7223511159187318,0.6722735561166466,0.6722735561166466
84.22663507182733,0.7206285477036781,0.6707397013934452,0.6707397013934452
84.67752134682087,0.7188968554442778,0.6691675468235658,0.6691675468235658
85.1284076218144,0.7171531112501845,0.6675715939542842,0.6675715939542842
85.57929389680794,0.7154032251928552,0.6659635335168732,0.6659635335168732
86.03018017180148,0.7136516104415338,0.6643554730794621,0.6643554730794621
86.48106644679501,0.7118999956902123,0.6627474126420513,0.6627474126420513
86.93195272178855,0.710148380938891,0.6611393522046404,0.6611393522046404
87.38283899678208,0.7083967661875695,0.6595312917672294,0.6595312917672294
87.83372527177562,0.7066451514362483,0.6579232313298184,0.6579232313298184
88.28461154676916,0.7048935366849268,0.6563151708924074,0.6563151708924074
88.73549782176269,0.7031419219336055,0.6547071104549964,0.6547071104549964
89.18638409675623,0.7013903071822841,0.6530990500175856,0.6530990500175856
