detuning_from_l0_peak_mhz,T_l0_exp_rising_raw,T_l9_exp_rising_raw,T_overlap_min_exp_rising_raw
58.97700367218931,0.8120420404555428,0.74131281527942,0.74131281527942
59.42788994718285,0.8104112377112717,0.7400637428000065,0.7400637428000065
59.878776222176384,0.8087804349670005,0.738814670320593,0.738814670320593
60.32966249716992,0.8071496322227293,0.7375655978411797,0.7375655978411797
60.780548772163456,0.8055188294784581,0.7363165253617664,0.7363165253617664
61.23143504715699,0.803888026734187,0.735067452882353,0.735067452882353
61.68232132215053,0.8022572239899158,0.7338183804029396,0.7338183804029396
62.133207597144064,0.8006264212456446,0.7325693079235261,0.7325693079235261
62.5840938721376,0.7989956185013734,0.7313202354441126,0.7313202354441126
63.03498014713114,0.7973648157571023,0.7300711629646993,0.7300711629646993
63.48586642212467,0.7957340130128311,0.728822090485286,0.728822090485286
63.93675269711821,0.7941032102685599,0.7275730180058726,0.7275730180058726
64.38763897211174,0.7924724075242887,0.7263239455264592,0.7263239455264592
64.83852524710528,0.7908416047800175,0.7250748730470459,0.7250748730470459
65.28941152209882,0.7892108020357465,0.7238258005676323,0.7238258005676323
65.74029779709235,0.7875799992914753,0.7225767280882189,0.7225767280882189
66.19118407208589,0.7859491965472041,0.7213276556088056,0.7213276556088056
66.64207034707943,0.7843183938029329,0.7200785831293923,0.7200785831293923
67.09295662207296,0.7826875910586617,0.7188295106499789,0.7188295106499789
67.5438428970665,0.7810567883143906,0.7175804381705655,0.7175804381705655
67.99472917206003,0.7794259855701193,0.716331365691152,0.716331365691152
68.44561544705357,0.7777951828258483,0.7150822932117387,0.7150822932117387
68.8965017220471,0.7761643800815771,0.7138332207323254,0.7138332207323254
69.34738799704064,0.7745335773373059,0.7125841482529119,0.7125841482529119
69.79827427203418,0.7729027745930347,0.7113350757734985,0.7113350757734985
70.24916054702771,0.7712719718487635,0.7100860032940852,0.7100860032940852
70.70004682202125,0.7696411691044924,0.7088369308146717,0.7088369308146717
71.15093309701479,0.7680103663602211,0.7075878583352583,0.7075878583352583
71.60181937200832,0.76637956361595,0.7063387858558449,0.7063387858558449
72.05270564700186,0.7647487608716788,0.7050897133764316,0.7050897133764316
72.5035919219954,0.7631179581274077,0.7038406408970183,0.7038406408970183
72.95447819698893,0.7614871553831365,0.7025915684176048,0.7025915684176048
73.40536447198247,0.7598563526388653,0.7013424959381913,0.7013424959381913
73.856250746976,0.7582255498945942,0.700093423458778,0.700093423458778
74.30713702196954,0.7565947471503229,0.6988443509793647,0.6988443509793647
74.75802329696307,0.7549639444060517,0.6975952784999512,0.6975952784999512
75.20890957195661,0.7533331416617806,0.6963462060205379,0.6963462060205379
75.65979584695015,0.7517023389175095,0.6950971335411245,0.6950971335411245
76.11068212194368,0.7500715361732383,0.6938480610617109,0.6938480610617109
76.56156839693722,0.7484407334289671,0.6925989885822976,0.6925989885822976
77.01245467193075,0.746809930684696,0.6913499161028843,0.6913499161028843
77.46334094692429,0.7451791279404247,0.6901008436234708,0.6901008436234708
77.91422722191783,0.7435483251961537,0.6888517711440575,0.6888517711440575
78.36511349691136,0.7419175224518824,0.6876026986646442,0.6876026986646442
78.8159997719049,0.7402867197076113,0.6863536261852307,0.6863536261852307
79.26688604689843,0.7386559169633401,0.6851045537058172,0.6851045537058172
79.71777232189197,0.7370251142190689,0.6838554812264038,0.6838554812264038
80.1686585968855,0.7353943114747977,0.6826064087469905,0.6826064087469905
80.61954487187904,0.7337635087305265,0.6813573362675771,0.6813573362675771
81.07043114687258,0.7321327059862555,0.6801082637881638,0.6801082637881638
81.52131742186612,0.7305019032419843,0.6788591913087503,0.6788591913087503
81.97220369685965,0.7288711004977131,0.6775995098351825,0.6775995098351825
82.42308997185319,0.727222711262252,0.6763036571845893,0.6763036571845893
82.87397624684672,0.7255397838850168,0.6747252315442903,0.6747252315442903
83.32486252184026,0.7237890694892024,0.6731192815052721,0.6731192815052721
83.7757487968338,0.7220383550933881,0.671513331466254,0.671513331466254
84.22663507182733,0.7202876406975737,0.6699073814272358,0.6699073814272358
84.67752134682087,0.7185369263017592,0.6683014313882177,0.6683014313882177
85.1284076218144,0.7167862119059449,0.6666954813491995,0.6666954813491995
85.57929389680794,0.7150354975101305,0.6650895313101813,0.6650895313101813
86.03018017180148,0.7132847831143161,0.6634835812711631,0.6634835812711631
86.48106644679501,0.7115340687185018,0.6618776312321449,0.6618776312321449
86.93195272178855,0.7097833543226874,0.6602716811931267,0.6602716811931267
87.38283899678208,0.7080326399268729,0.6586657311541086,0.6586657311541086
87.83372527177562,0.7062819255310586,0.6570597811150904,0.6570597811150904
88.28461154676916,0.7045312111352442,0.6554538310760722,0.6554538310760722
88.73549782176269,0.7027804967394298,0.6538478810370542,0.6538478810370542
89.18638409675623,0.7010297823436155,0.652241930998036,0.652241930998036
89.63727037174976,0.699279067947801,0.6506359809590178,0.6506359809590178
90.0881566467433,0.6975283535519866,0.6490300309199996,0.6490300309199996
90.53904292173684,0.6957776391561722,0.6474240808809814,0.6474240808809814
90.98992919673037,0.6940269247603579,0.6458181308419632,0.6458181308419632
91.44081547172391,0.6922762103645435,0.6442121808029451,0.6442121808029451
91.89170174671744,0.690525495968729,0.6426062307639269,0.6426062307639269
92.34258802171098,0.6887747815729147,0.6410002807249088,0.6410002807249088
92.79347429670452,0.6870240671771003,0.6393943306858906,0.6393943306858906
93.24436057169805,0.6852733527812859,0.6377883806468725,0.6377883806468725
93.69524684669159,0.6835226383854716,0.6361824306078542,0.6361824306078542
94.14613312168512,0.6817719239896571,0.634576480568836,0.634576480568836
94.59701939667866,0.6800212095938427,0.6329705305298179,0.6329705305298179
95.0479056716722,0.6782704951980284,0.6313645804907997,0.6313645804907997
95.49879194666573,0.676519780802214,0.6297586304517815,0.6297586304517815
95.94967822165927,0.6747690664063996,0.6281526804127634,0.6281526804127634
96.4005644966528,0.6730183520105851,0.6265467303737452,0.6265467303737452
96.85145077164634,0.6712676376147708,0.624940780334727,0.624940780334727
97.30233704663988,0.6695169232189564,0.6233348302957088,0.6233348302957088
97.75322332163341,0.667766208823142,0.6217288802566906,0.6217288802566906
98.20410959662695,0.6660154944273277,0.6201229302176724,0.6201229302176724
98.65499587162049,0.6642647800315132,0.6185169801786543,0.6185169801786543
99.10588214661402,0.6625140656356988,0.6169110301396361,0.6169110301396361
99.55676842160756,0.6607633512398844,0.6153050801006179,0.6153050801006179
100.0076546966011,0.6590126368440701,0.6136991300615997,0.6136991300615997
100.45854097159463,0.6572619224482557,0.6120931800225816,0.6120931800225816
100.90942724658817,0.6555112080524413,0.6104872299835634,0.6104872299835634
101.3603135215817,0.6537604936566269,0.6088812799445452,0.6088812799445452
101.81119979657524,0.6520097792608125,0.607275329905527,0.607275329905527
102.26208607156877,0.6502590648649981,0.6056693798665089,0.6056693798665089
102.71297234656231,0.6485083504691839,0.6040634298274907,0.6040634298274907
103.16385862155585,0.6467576360733694,0.6024574797884726,0.6024574797884726
103.61474489654938,0.6450069216775549,0.6008515297494544,0.6008515297494544
104.06563117154292,0.6432562072817406,0.5992455797104362,0.5992455797104362
104.51651744653645,0.6415054928859262,0.597639629671418,0.597639629671418
104.96740372152999,0.6397547784901118,0.5960336796323998,0.5960336796323998
105.41828999652353,0.6380040640942973,0.5944277295933816,0.5944277295933816
105.86917627151706,0.6362533496984831,0.5928217795543635,0.5928217795543635
106.3200625465106,0.6345026353026687,0.5912158295153453,0.5912158295153453
106.77094882150413,0.6327519209068543,0.5896098794763271,0.5896098794763271
107.22183509649767,0.6310012065110399,0.588003929437309,0.588003929437309
107.6727213714912,0.6292504921152254,0.5863979793982909,0.5863979793982909
108.12360764648474,0.627499777719411,0.5847920293592727,0.5847920293592727
108.57449392147828,0.6257490633235966,0.5831860793202543,0.5831860793202543
109.02538019647181,0.6239983489277824,0.5815801292812363,0.5815801292812363
109.47626647146535,0.622247634531968,0.5799741792422181,0.5799741792422181
109.92715274645889,0.6204969201361537,0.5783682292031999,0.5783682292031999
110.37803902145242,0.6187462057403391,0.5767622791641818,0.5767622791641818
110.82892529644596,0.6169954913445247,0.5751563291251636,0.5751563291251636
111.2798115714395,0.6152447769487103,0.5735503790861455,0.5735503790861455
111.73069784643303,0.6134940625528961,0.5719444290471273,0.5719444290471273
112.18158412142657,0.6117433481570816,0.5703384790081091,0.5703384790081091
112.6324703964201,0.6099926337612672,0.5687325289690909,0.5687325289690909
113.08335667141364,0.6082419193654529,0.5671265789300728,0.5671265789300728
113.53424294640718,0.6064912049696384,0.5655206288910546,0.5655206288910546
113.98512922140071,0.604740490573824,0.5639146788520364,0.5639146788520364
114.43601549639425,0.6029897761780095,0.5623087288130182,0.5623087288130182
114.88690177138778,0.6012390617821953,0.5607027787740001,0.5607027787740001
115.33778804638132,0.5994883473863809,0.5590968287349819,0.5590968287349819
115.78867432137486,0.5977376329905666,0.5574908786959637,0.5574908786959637
116.23956059636839,0.5959940577369799,0.5558849286569455,0.5558849286569455
