detuning_from_l0_peak_mhz,detuning_from_l0_peak_fsr,T_l0,T_l9,T_overlap_min
213.57233440876007,0.02153929478322777,0.3435843629255637,0.3945062558418987,0.3435843629255637
214.1903966665268,0.021601627880823388,0.34228207129866756,0.3929609664402876,0.34228207129866756
214.80845892429352,0.021663960978419005,0.34098589385047456,0.3914227923545611,0.34098589385047456
215.42652118206024,0.02172629407601462,0.3396958036523779,0.3898917084052505,0.3396958036523779
216.04458343982697,0.021788627173610235,0.3384117737856558,0.3883676892716315,0.3384117737856558
216.6626456975937,0.021850960271205852,0.33713377734418964,0.38685070949762523,0.33713377734418964
217.2807079553604,0.02191329336880147,0.3358617874371201,0.3853407434975877,0.3358617874371201
217.8987701535225,0.021975626460385807,0.3345957773132435,0.3838377657065973,0.3345957773132435
218.51683241128922,0.022037959557981424,0.33333571987575605,0.3823417500069234,0.33333571987575605
219.13489466905594,0.02210029265557704,0.33208158841727026,0.38085267060315026,0.33208158841727026
219.75295692682266,0.022162625753172658,0.3308333561332894,0.3793705014470861,0.3308333561332894
220.3710191845894,0.02222495885076827,0.3295909962469415,0.37789521638829826,0.3295909962469415
220.9890814423561,0.022287291948363888,0.3283544820112779,0.37642678917926176,0.3283544820112779
221.60714370012283,0.022349625045959505,0.3271237867115154,0.37496519348040847,0.3271237867115154
222.22520595788956,0.022411958143555122,0.3258988836672234,0.3735104028650759,0.3258988836672234
222.84326821565628,0.022474291241150735,0.32467974623445706,0.3720623908243571,0.32467974623445706
223.461330473423,0.022536624338746352,0.32346634780783706,0.3706211307718537,0.32346634780783706
224.07939273118973,0.02259895743634197,0.3222586618225775,0.36918659604833337,0.3222586618225775
224.69745498895645,0.022661290533937586,0.32105666175646175,0.3677587599262923,0.32105666175646175
225.31551724672318,0.0227236236315332,0.3198603211317689,0.3663375956144262,0.3198603211317689
225.9335795044899,0.022785956729128816,0.3186696135171499,0.36492307626200815,0.3186696135171499
226.55164176225662,0.022848289826724433,0.3174845125294553,0.3635151749631775,0.3174845125294553
227.16970402002335,0.022910622924320046,0.3163049918355154,0.3621138647611397,0.3163049918355154
227.78776627779007,0.022972956021915663,0.3151310251538729,0.36071911865227824,0.3151310251538729
228.4058285355568,0.02303528911951128,0.31396258625647017,0.3593309095901809,0.31396258625647017
229.02389079332352,0.023097622217106897,0.3127996489702909,0.3579492104895815,0.3127996489702909
229.64195305109024,0.02315995531470251,0.31164218717895725,0.35657399423021746,0.31164218717895725
230.26001524925232,0.023222288406286852,0.31049017493511927,0.35520523379229607,0.31049017493511927
230.87807750701904,0.02328462150388247,0.30934358601810086,0.35384290173280997,0.30934358601810086
231.49613976478577,0.023346954601478086,0.3082023946019509,0.3524869709811516,0.3082023946019509
232.1142020225525,0.0234092876990737,0.3070665748119576,0.3511374143140287,0.3070665748119576
232.7322642803192,0.023471620796669316,0.3059361008373948,0.34979420449123505,0.3059361008373948
233.35032653808594,0.023533953894264933,0.30481094693287003,0.34845731425903487,0.30481094693287003
233.96838879585266,0.02359628699186055,0.30369108741963197,0.34712671635347153,0.30369108741963197
234.58645105361938,0.023658620089456163,0.3025764966868407,0.34580238350360337,0.3025764966868407
235.2045133113861,0.02372095318705178,0.30146714919280004,0.344484288434667,0.30146714919280004
235.82257556915283,0.023783286284647397,0.3003630194661524,0.3431724038711697,0.3003630194661524
236.44063782691956,0.023845619382243013,0.29926408210703875,0.3418667025399117,0.29926408210703875
237.05870008468628,0.023907952479838627,0.298170311788222,0.3405671571729393,0.298170311788222
237.676762342453,0.023970285577434244,0.297081683256176,0.3392737405104314,0.297081683256176
238.29482460021973,0.02403261867502986,0.29599817133214007,0.337986425303518,0.29599817133214007
238.91288685798645,0.024094951772625477,0.294919750913141,0.33670518431703456,0.294919750913141
239.53094911575317,0.02415728487022109,0.29384639697298076,0.3354299903322109,0.29384639697298076
240.1490113735199,0.024219617967816708,0.29277808456319304,0.33416081614929777,0.29277808456319304
240.76707363128662,0.024281951065412324,0.2917147888139681,0.3328976345901311,0.2917147888139681
241.38513588905334,0.02434428416300794,0.29065648493504614,0.33164041850063397,0.29065648493504614
242.00319814682007,0.024406617260603555,0.2896031482165806,0.3303891407532601,0.2896031482165806
242.62126034498215,0.024468950352187897,0.28855475413083964,0.3291437743691933,0.28855475413083964
243.23932260274887,0.024531283449783513,0.287511277929067,0.32790429204084176,0.287511277929067
243.8573848605156,0.02459361654737913,0.28647269524888436,0.32667066685470564,0.28647269524888436
244.47544711828232,0.024655949644974744,0.2854389817101453,0.32544287181262044,0.2854389817101453
245.09350937604904,0.02471828274257036,0.28441011301699853,0.3242208799542995,0.28441011301699853
245.71157163381577,0.024780615840165977,0.28338606495858093,0.32300466435943676,0.28338606495858093
246.3296338915825,0.024842948937761594,0.2823668134096846,0.3217941981497572,0.2823668134096846
246.9476961493492,0.024905282035357208,0.2813523343313981,0.32058945449101456,0.2813523343313981
247.56575840711594,0.024967615132952824,0.280342603771722,0.31939040659493734,0.280342603771722
248.18382066488266,0.02502994823054844,0.2793375978661597,0.3181970277211254,0.2793375978661597
248.80188292264938,0.025092281328144058,0.27833729283828457,0.31700929117889565,0.27833729283828457
249.4199451804161,0.02515461442573967,0.2773416650002819,0.3158271703290807,0.2773416650002819
250.03800743818283,0.02521694752333529,0.2763506907534693,0.31465063858577835,0.2763506907534693
250.65606969594955,0.025279280620930905,0.2753643465887928,0.3134796694180551,0.2753643465887928
251.27413195371628,0.02534161371852652,0.27438260908730117,0.3123142363516032,0.27438260908730117
