k,L_over_R,best_subset_size,best_s_min,best_F_min,feasible_solution_count,near_optimal_solution_count,best_subset_signature,best_avg_ER_sum_dB,best_avg_efficiency
0.027359999999999995,0.007369909128311139,0,,,0,0,,,
0.02744,0.007412964052979333,0,,,0,0,,,
0.027519999999999996,0.007456143435607858,0,,,0,0,,,
0.0276,0.007499447265286941,0,,,0,0,,,
0.027679999999999996,0.007542875531075341,0,,,0,0,,,
0.02776,0.0075864282220004025,0,,,0,0,,,
0.027839999999999997,0.007630105327058012,0,,,0,0,,,
0.02792,0.0076739068352126415,0,,,0,0,,,
0.027999999999999997,0.007717832735397308,0,,,0,0,,,
0.02808,0.007761883016513621,0,,,0,0,,,
0.028159999999999998,0.007806057667431749,0,,,0,0,,,
0.02824,0.007850356676990449,0,,,0,0,,,
0.028319999999999998,0.007894780033997038,0,,,0,0,,,
0.0284,0.007939327727227444,0,,,0,0,,,
0.02848,0.00798399974542615,0,,,0,0,,,
0.028560000000000002,0.008028796077306244,0,,,0,0,,,
0.02864,0.008073716711549404,0,,,0,0,,,
0.028719999999999996,0.008118761636805895,0,,,0,0,,,
0.0288,0.008163930841694592,0,,,0,0,,,
0.028879999999999996,0.008209224314802945,0,,,0,0,,,
0.02896,0.008254642044687031,0,,,0,0,,,
0.029039999999999996,0.008300184019871513,0,,,0,0,,,
0.02912,0.008345850228849682,0,,,0,0,,,
0.029199999999999997,0.008391640660083416,0,,,0,0,,,
0.02928,0.008437555302003226,0,,,0,0,,,
0.029359999999999997,0.00848359414300823,0,,,0,0,,,
0.02944,0.008529757171466177,0,,,0,0,,,
0.029519999999999998,0.008576044375713415,0,,,0,0,,,
0.0296,0.008622455744054945,0,,,0,0,,,
0.029679999999999998,0.008668991264764376,0,,,0,0,,,
0.02976,0.008715650926083963,0,,,0,0,,,
0.02984,0.008762434716224583,0,,,0,0,,,
0.029919999999999995,0.008809342623365761,0,,,0,0,,,
0.03,0.008856374635655659,0,,,0,0,,,
0.030079999999999996,0.008903530741211071,0,,,0,0,,,
0.03016,0.008950810928117461,0,,,0,0,,,
0.030239999999999996,0.008998215184428917,0,,,0,0,,,
0.03032,0.009045743498168198,0,,,0,0,,,
0.030399999999999996,0.009093395857326709,0,,,0,0,,,
0.03048,0.009141172249864516,0,,,0,0,,,
0.030559999999999997,0.009189072663710341,0,,,0,0,,,
0.03064,0.00923709708676159,0,,,0,0,,,
0.030719999999999997,0.009285245506884308,0,,,0,0,,,
0.0308,0.009333517911913239,0,,,0,0,,,
0.030879999999999998,0.009381914289651773,0,,,0,0,,,
0.03096,0.009430434627871999,0,,,0,0,,,
0.031039999999999998,0.009479078914314674,0,,,0,0,,,
0.031120000000000002,0.00952784713668925,0,,,0,0,,,
0.0312,0.009576739282673842,0,,,0,0,,,
0.031279999999999995,0.00962575533991528,0,,,0,0,,,
0.03136,0.00967489529602908,0,,,0,0,,,
0.031439999999999996,0.009724159138599435,0,,,0,0,,,
0.03152,0.009773546855179263,0,,,0,0,,,
0.031599999999999996,0.00982305843329016,0,,,0,0,,,
0.03168,0.009872693860422449,0,,,0,0,,,
0.03176,0.009922453124035143,0,,,0,0,,,
0.03184,0.00997233621155598,0,,,0,0,,,
0.03192,0.010022343110381398,0,,,0,0,,,
0.032,0.010072473807876568,0,,,0,0,,,
0.03208,0.010122728291375366,0,,,0,0,,,
0.03216,0.010173106548180407,0,,,0,0,,,
0.03224,0.010223608565563026,0,,,0,0,,,
0.03232,0.010274234330763288,0,,,0,0,,,
0.0324,0.010324983830989991,0,,,0,0,,,
0.032479999999999995,0.010375857053420671,0,,,0,0,,,
0.03256,0.010426853985201613,0,,,0,0,,,
0.032639999999999995,0.010477974613447825,0,,,0,0,,,
0.03272,0.010529218925243083,0,,,0,0,,,
0.032799999999999996,0.010580586907639897,0,,,0,0,,,
0.03288,0.01063207854765954,0,,,0,0,,,
0.032959999999999996,0.010683693832292035,0,,,0,0,,,
0.03304,0.010735432748496176,0,,,0,0,,,
0.03312,0.0107872952831995,0,,,0,0,,,
0.0332,0.010839281423298337,0,,,0,0,,,
0.03328,0.01089139115565775,0,,,0,0,,,
0.03336,0.01094362446711162,0,,,0,0,,,
0.03344,0.010995981344462568,0,,,0,0,,,
0.03352,0.011048461774482009,0,,,0,0,,,
0.0336,0.011101065743910137,0,,,0,0,,,
0.03368,0.011153793239455947,0,,,0,0,,,
0.03376,0.011206644247797196,0,,,0,0,,,
0.033839999999999995,0.011259618755580458,0,,,0,0,,,
0.03392,0.011312716749421097,0,,,0,0,,,
0.033999999999999996,0.011365938215903267,0,,,0,0,,,
0.03408,0.01141928314157994,0,,,0,0,,,
0.034159999999999996,0.011472751512972883,0,,,0,0,,,
0.03424,0.011526343316572683,0,,,0,0,,,
0.034319999999999996,0.011580058538838724,0,,,0,0,,,
0.0344,0.011633897166199234,0,,,0,0,,,
0.03448,0.011687859185051228,0,,,0,0,,,
0.03456,0.011741944581760571,0,,,0,0,,,
0.03464,0.011796153342661948,0,,,0,0,,,
0.03472,0.011850485454058863,0,,,0,0,,,
0.0348,0.011904940902223667,0,,,0,0,,,
0.03488,0.01195951967339755,0,,,0,0,,,
0.03496,0.01201422175379053,0,,,0,0,,,
0.035039999999999995,0.01206904712958148,0,,,0,0,,,
0.03512,0.012123995786918128,0,,,0,0,,,
0.035199999999999995,0.012179067711917024,0,,,0,0,,,
0.03528,0.012234262890663612,0,,,0,0,,,
0.035359999999999996,0.012289581309212158,0,,,0,0,,,
0.03544,0.012345022953585824,0,,,0,0,,,
0.035519999999999996,0.012400587809776606,0,,,0,0,,,
0.0356,0.012456275863745397,0,,,0,0,,,
0.035679999999999996,0.012512087101421935,0,,,0,0,,,
0.03576,0.012568021508704858,0,,,0,0,,,
0.03584,0.012624079071461672,0,,,0,0,,,
0.03592,0.012680259775528767,0,,,0,0,,,
0.036,0.012736563606711422,0,,,0,0,,,
0.03608,0.012792990550783812,0,,,0,0,,,
0.03616,0.012849540593488988,0,,,0,0,,,
0.03624,0.012906213720538923,0,,,0,0,,,
0.03632,0.012963009917614466,0,,,0,0,,,
0.036399999999999995,0.013019929170365393,0,,,0,0,,,
0.03648,0.01307697146441038,0,,,0,0,,,
0.036559999999999995,0.013134136785337007,0,,,0,0,,,
0.03664,0.013191425118701791,0,,,0,0,,,
0.036719999999999996,0.013248836450030135,0,,,0,0,,,
0.0368,0.013306370764816406,0,,,0,0,,,
0.036879999999999996,0.013364028048523855,0,,,0,0,,,
0.03696,0.013421808286584708,0,,,0,0,,,
0.03704,0.01347971146440008,0,,,0,0,,,
0.03712,0.013537737567340058,0,,,0,0,,,
0.0372,0.013595886580743654,0,,,0,0,,,
0.03728,0.013654158489918841,0,,,0,0,,,
0.03736,0.013712553280142512,0,,,0,0,,,
0.03744,0.013771070936660548,0,,,0,0,,,
0.03752,0.013829711444687752,0,,,0,0,,,
0.037599999999999995,0.013888474789407912,0,,,0,0,,,
0.03768,0.013947360955973776,0,,,0,0,,,
0.037759999999999995,0.014006369929507044,0,,,0,0,,,
0.03784,0.014065501695098412,0,,,0,0,,,
0.037919999999999995,0.014124756237807526,0,,,0,0,,,
0.038,0.01418413354266303,0,,,0,0,,,
0.038079999999999996,0.014243633594662537,0,,,0,0,,,
0.03816,0.014303256378772665,0,,,0,0,,,
0.038239999999999996,0.014363001879928991,0,,,0,0,,,
0.03832,0.014422870083036117,0,,,0,0,,,
0.0384,0.014482860972967627,0,,,0,0,,,
0.03848,0.014542974534566124,0,,,0,0,,,
0.03856,0.01460321075264318,0,,,0,0,,,
0.03864,0.014663569611979422,0,,,0,0,,,
0.03872,0.01472405109732445,0,,,0,0,,,
0.0388,0.014784655193396912,0,,,0,0,,,
0.03888,0.014845381884884453,0,,,0,0,,,
0.038959999999999995,0.014906231156443765,0,,,0,0,,,
0.03904,0.014967202992700549,0,,,0,0,,,
0.039119999999999995,0.015028297378249551,0,,,0,0,,,
0.0392,0.01508951429765455,0,,,0,0,,,
0.039279999999999995,0.01515085373544836,0,,,0,0,,,
0.03936,0.015212315676132853,0,,,0,0,,,
0.039439999999999996,0.015273900104178928,0,,,0,0,,,
0.03952,0.015335607004026556,0,,,0,0,,,
0.039599999999999996,0.015397436360084756,0,,,0,0,,,
0.03968,0.015459388156731611,0,,,0,0,,,
0.03976,0.015521462378314258,0,,,0,0,,,
0.03984,0.01558365900914891,0,,,0,0,,,
0.03992,0.01564597803352085,0,,,0,0,,,
0.04,0.015708419435684445,0,,,0,0,,,
0.04008,0.01577098319986311,0,,,0,0,,,
0.040159999999999994,0.015833669310249394,0,,,0,0,,,
0.04024,0.0158964777510049,0,,,0,0,,,
0.040319999999999995,0.01595940850626032,0,,,0,0,,,
0.0404,0.01602246156011546,0,,,0,0,,,
0.040479999999999995,0.016085636896639215,0,,,0,0,,,
0.04056,0.016148934499869597,0,,,0,0,,,
0.040639999999999996,0.0162123543538137,0,,,0,0,,,
0.04072,0.016275896442447764,0,,,0,0,,,
0.040799999999999996,0.016339560749717097,0,,,0,0,,,
0.04088,0.016403347259536186,0,,,0,0,,,
0.040959999999999996,0.016467255955788587,0,,,0,0,,,
0.04104,0.016531286822327036,0,,,0,0,,,
0.04112,0.016595439842973347,0,,,0,0,,,
0.0412,0.016659715001518527,0,,,0,0,,,
0.04128,0.01672411228172267,0,,,0,0,,,
0.04136,0.016788631667315052,0,,,0,0,,,
0.04144,0.016853273141994078,0,,,0,0,,,
0.04152,0.01691803668942731,0,,,0,0,,,
0.0416,0.01698292229325148,0,,,0,0,,,
0.04168,0.017047929937072465,0,,,0,0,,,
0.04176,0.01711305960446531,0,,,0,0,,,
0.04184,0.017178311278974234,0,,,0,0,,,
0.04192,0.017243684944112627,0,,,0,0,,,
0.042,0.01730918058336306,0,,,0,0,,,
0.04208,0.01737479818017727,0,,,0,0,,,
0.042159999999999996,0.0174405377179762,0,,,0,0,,,
0.04224,0.017506399180149988,0,,,0,0,,,
0.042319999999999997,0.017572382550057934,0,,,0,0,,,
0.0424,0.01763848781102857,0,,,0,0,,,
0.04248,0.017704714946359612,0,,,0,0,,,
0.04256,0.017771063939317988,0,,,0,0,,,
0.04264,0.017837534773139832,0,,,0,0,,,
0.04272,0.01790412743103051,0,,,0,0,,,
0.0428,0.01797084189616459,0,,,0,0,,,
0.04288,0.018037678151685874,0,,,0,0,,,
0.04296,0.018104636180707387,0,,,0,0,,,
0.04304,0.018171715966311397,0,,,0,0,,,
0.04312,0.018238917491549385,0,,,0,0,,,
0.0432,0.0183062407394421,0,,,0,0,,,
0.04328,0.01837368569297951,0,,,0,0,,,
0.043359999999999996,0.018441252335120863,0,,,0,0,,,
0.04344,0.01850894064879464,0,,,0,0,,,
0.043519999999999996,0.01857675061689858,0,,,0,0,,,
0.0436,0.018644682222299702,0,,,0,0,,,
0.04368,0.018712735447834264,0,,,0,0,,,
0.04376,0.018780910276307825,0,,,0,0,,,
0.04384,0.01884920669049519,0,,,0,0,,,
0.04392,0.01891762467314047,0,,,0,0,,,
0.044,0.018986164206957052,0,,,0,0,,,
0.04408,0.019054825274627606,0,,,0,0,,,
0.04416,0.01912360785880409,0,,,0,0,,,
0.04424,0.01919251194210779,0,,,0,0,,,
0.04432,0.01926153750712925,0,,,0,0,,,
0.0444,0.019330684536428354,0,,,0,0,,,
0.04448,0.019399953012534273,0,,,0,0,,,
0.044559999999999995,0.019469342917945515,0,,,0,0,,,
0.04464,0.019538854235129893,0,,,0,0,,,
0.044719999999999996,0.019608486946524548,0,,,0,0,,,
0.0448,0.019678241034535957,0,,,0,0,,,
0.044879999999999996,0.0197481164815399,0,,,0,0,,,
0.04496,0.01981811326988154,0,,,0,0,,,
0.04504,0.019888231381875343,0,,,0,0,,,
0.04512,0.019958470799805138,0,,,0,0,,,
