rank,region_id,k,L_over_R,candidate_set_size,max_subset_size,subset_modes,s_min,F_min,F_eval_used,avg_ER_sum_dB,min_ER_sum_dB,avg_separation_efficiency,min_separation_efficiency,geometry_gap_to_target,feasible_under_budget,tau_min_at_budget,is_max_subset_for_k,max_subset_size_for_k,subset_size_gap_to_k_max,k_region_start,k_region_end,region_point_count
77,R248,0.2812533333333333,0.597555431746108,12,6,"[1,6,10,18,37,46]",0.12490666666666783,24.017933390264506,32.0,14.686234233146942,13.698039929853618,0.966722529100656,0.9590695870443081,0.09755543174610803,True,3.9970133333333706,True,6,0,0.2812533333333333,0.2823533333333333,75
78,R069,0.27085333333333333,0.5653253899124238,12,6,"[1,4,10,22,31,40]",0.12463999999999942,24.069319640564938,32.0,14.609499342052436,13.633570786762867,0.9661433912641145,0.9584828743092676,0.06532538991242376,True,3.9884799999999814,True,6,0,0.26988666666666666,0.27255999999999997,108
79,R071,0.27085333333333333,0.5653253899124238,12,6,"[1,4,10,22,40,46]",0.12463999999999942,24.069319640564938,32.0,15.028662714911073,13.64303644583929,0.9685042357465057,0.9585695194565407,0.06532538991242376,True,3.9884799999999814,True,6,0,0.26988666666666666,0.27255999999999997,108
80,R189,0.27085333333333333,0.5653253899124238,12,6,"[1,4,6,22,31,40]",0.12463999999999942,24.069319640564938,32.0,15.033226277785923,13.795995988188249,0.9689692057858025,0.9599458839334993,0.06532538991242376,True,3.9884799999999814,True,6,0,0.26982,0.27255999999999997,111
81,R302,0.2844466666666666,0.6073744820318533,12,6,"[4,10,22,27,37,40]",0.12003999999999904,24.99166944351903,32.0,14.857361523316861,13.525669633077193,0.9676169939648718,0.9574828598218592,0.10737448203185329,True,3.841279999999969,True,6,0,0.2835133333333333,0.2844466666666666,58
82,R316,0.2844466666666666,0.6073744820318533,12,6,"[4,6,10,22,37,40]",0.12003999999999904,24.99166944351903,32.0,14.794413516040608,13.534090108231156,0.9673964343827223,0.9575617207988586,0.10737448203185329,True,3.841279999999969,True,6,0,0.2835133333333333,0.2844466666666666,58
83,R016,0.27999999999999997,0.5936906572928622,12,6,"[1,10,18,22,27,31]",0.1200000000000001,24.99999999999998,32.0,14.489638691263638,13.67088541786571,0.9653690498345435,0.958823436448562,0.09369065729286219,True,3.8400000000000034,True,6,0,0.27902,0.2803533333333333,54
84,R033,0.27999999999999997,0.5936906572928622,12,6,"[1,18,22,27,31,46]",0.1200000000000001,24.99999999999998,32.0,14.744765754254948,13.56028221372169,0.967173440284781,0.9578061271737326,0.09369065729286219,True,3.8400000000000034,True,6,0,0.2796533333333333,0.2803533333333333,29
85,R244,0.27999999999999997,0.5936906572928622,12,6,"[1,6,10,18,22,27]",0.1200000000000001,24.99999999999998,32.0,14.489638691263641,13.67088541786571,0.9653690498345435,0.958823436448562,0.09369065729286219,True,3.8400000000000034,True,6,0,0.27626,0.2803533333333333,171
86,R266,0.27999999999999997,0.5936906572928622,12,6,"[1,6,18,22,27,46]",0.1200000000000001,24.99999999999998,32.0,14.744765754254951,13.560282213721713,0.967173440284781,0.9578061271737328,0.09369065729286219,True,3.8400000000000034,True,6,0,0.27902,0.2803533333333333,54
