Time_ms,Lambda_aligned,Power_uW,Scan_Direction
67928,794.9897166154616,9.24,Rising
182937,794.98976292955,9.58,Falling
68228,794.989788235186,10.3,Rising
182634,794.9898352654717,10.7,Falling
68528,794.9898598549104,11.5,Rising
182335,794.9899066464636,12.0,Falling
68828,794.9899314746348,13.0,Rising
182035,794.989978266188,13.6,Falling
69128,794.9900030943592,14.7,Rising
181735,794.9900498859124,15.5,Falling
69431,794.9900754302807,16.799999999999997,Rising
181434,794.9901217443693,17.8,Falling
69731,794.9901470500051,19.4,Rising
181135,794.9901931253612,20.6,Falling
70031,794.9902186697295,22.7,Rising
180834,794.990264983818,24.3,Falling
70331,794.9902902894539,26.6,Rising
180535,794.99033636481,28.9,Falling
70631,794.9903619091783,31.8,Rising
180234,794.9904082232667,34.6,Falling
70931,794.9904335289027,38.5,Rising
179935,794.9904796042588,42.2,Falling
71231,794.9905051486271,46.400000000000006,Rising
179634,794.9905514627155,52.0,Falling
71531,794.9905767683515,57.8,Rising
71831,794.9906483880759,72.7,Rising
179066,794.990687062727,78.7,Falling
178766,794.9907586824514,97.3,Falling
72293,794.9907586824514,101.0,Rising
72593,794.9908303021758,121.0,Rising
178466,794.9908303021758,118.0,Falling
72893,794.9909019219002,138.0,Rising
178166,794.9909019219002,135.0,Falling
73193,794.9909735416246,144.0,Rising
177866,794.9909735416246,142.0,Falling
177566,794.991045161349,137.0,Falling
73493,794.991045161349,138.0,Rising
177266,794.9911167810734,122.0,Falling
73793,794.9911167810734,120.0,Rising
74093,794.9911884007978,99.6,Rising
176966,794.9911884007978,101.0,Falling
74393,794.9912600205222,81.10000000000001,Rising
176508,794.9912977402437,72.8,Falling
176208,794.9913693599681,58.400000000000006,Falling
74995,794.9914037374358,52.5,Rising
175908,794.9914409796925,47.2,Falling
75295,794.9914753571602,42.8,Rising
175608,794.9915125994169,38.4,Falling
75595,794.9915469768846,35.0,Rising
175308,794.9915842191413,31.8,Falling
75895,794.991618596609,29.200000000000003,Rising
175008,794.9916558388657,26.8,Falling
76195,794.9916902163334,24.7,Rising
174705,794.9917281747873,22.9,Falling
76495,794.9917618360578,21.1,Rising
174405,794.9917997945117,19.6,Falling
76795,794.9918334557822,18.1,Rising
174105,794.9918714142361,17.0,Falling
77095,794.9919050755066,15.8,Rising
173805,794.9919430339605,14.9,Falling
77395,794.991976695231,14.0,Rising
173505,794.9920146536849,13.1,Falling
77698,794.9920490311525,12.4,Rising
173205,794.9920862734093,11.6,Falling
77998,794.9921206508769,11.0,Rising
172905,794.9921578931337,10.4,Falling
78298,794.9921922706013,9.92,Rising
172605,794.9922295128581,9.39,Falling
78598,794.9922638903257,8.950000000000001,Rising
78898,794.9923355100501,8.15,Rising
172121,794.9923450593467,8.02,Falling
79198,794.9924071297745,7.47,Rising
171821,794.9924166790711,7.33,Falling
171521,794.9924882987955,6.74,Falling
79750,794.9925389100674,6.4,Rising
171221,794.9925599185199,6.2700000000000005,Falling
80050,794.9926105297918,5.97,Rising
170921,794.9926315382443,5.9,Falling
80350,794.9926821495162,5.640000000000001,Rising
170621,794.9927031579687,5.53,Falling
80650,794.9927537692406,5.29,Rising
170321,794.9927747776931,5.19,Falling
80950,794.992825388965,5.0,Rising
170021,794.9928463974175,4.9,Falling
81250,794.9928970086894,4.7700000000000005,Rising
169721,794.9929180171418,4.68,Falling
81550,794.9929686284138,4.58,Rising
169421,794.9929896368662,4.5,Falling
81850,794.9930402481382,4.44,Rising
169121,794.9930612565906,4.37,Falling
82150,794.9931118678626,4.380000000000001,Rising
168821,794.993132876315,4.32,Falling
82450,794.993183487587,4.3100000000000005,Rising
168521,794.9932044960394,4.27,Falling
82750,794.9932551073114,4.26,Rising
168221,794.9932761157638,4.199999999999999,Falling
83050,794.9933267270358,4.199999999999999,Rising
167921,794.9933477354882,4.109999999999999,Falling
83350,794.9933983467602,4.01,Rising
167621,794.9934193552126,3.91,Falling
83650,794.9934699664846,3.73,Rising
167318,794.9934916911343,3.62,Falling
83950,794.9935415862088,3.47,Rising
167018,794.9935633108587,3.37,Falling
84250,794.9936132059332,3.19,Rising
166718,794.9936349305831,3.1,Falling
84550,794.9936848256576,2.94,Rising
166418,794.9937065503075,2.85,Falling
