scenario,N,tau0,rho,finesse,finesse_ceiling,delta,tau_eff,tau_margin,peak_headroom_ratio,platform_height_margin,math_optimal_branches,geometry_engineering_branches,geometry_warning_branches,w0_experimental_ok_branches,w0_high_risk_branches,final_engineering_branches,geometry_branch_list,geometry_warning_branch_list,w0_experimental_ok_branch_list,w0_high_risk_branch_list,final_branch_list,max_final_platform_width_L_mm,min_final_platform_width_L_mm,mean_final_platform_width_L_mm,pairwise_er_db,conservative_er_db,rho_is_boundary,final_exists
COMPARISON_RELAXED,20,3.000000000000,1.020000000000,61.200000000000,62,0.049019607843,3.060000000000,0.060000000000,0.019607843137,0.000980392157,4,3,3,0,4,0,"3,7,9","3,7,9",-,"1,3,7,9",-,0.000000000,0.000000000,0.000000000,15.849460,10.916057,no,no
COMPARISON_RELAXED,21,3.000000000000,1.020000000000,64.260000000000,65,0.046685340803,3.060000000000,0.060000000000,0.019607843137,0.000933706816,6,3,3,0,6,0,"4,5,8","4,5,8",-,"1,2,4,5,8,10",-,0.000000000,0.000000000,0.000000000,15.849460,10.901767,no,no
COMPARISON_RELAXED,22,3.000000000000,1.020000000000,67.320000000000,68,0.044563279857,3.060000000000,0.060000000000,0.019607843137,0.000891265597,5,4,4,0,5,0,"3,5,7,9","3,5,7,9",-,"1,3,5,7,9",-,0.000000000,0.000000000,0.000000000,15.849460,10.889991,no,no
COMPARISON_RELAXED,23,3.000000000000,1.020000000000,70.380000000000,71,0.042625745951,3.060000000000,0.060000000000,0.019607843137,0.000852514919,11,8,8,0,11,0,"3,4,5,6,7,8,9,10","3,4,5,6,7,8,9,10",-,"1,2,3,4,5,6,7,8,9,10,11",-,0.000000000,0.000000000,0.000000000,15.849460,10.878247,no,no
COMPARISON_RELAXED,24,3.000000000000,1.020000000000,73.440000000000,74,0.040849673203,3.060000000000,0.060000000000,0.019607843137,0.000816993464,4,3,3,0,4,0,"5,7,11","5,7,11",-,"1,5,7,11",-,0.000000000,0.000000000,0.000000000,15.849460,10.868403,no,no
COMPARISON_RELAXED,25,3.000000000000,1.020000000000,76.500000000000,77,0.039215686275,3.060000000000,0.060000000000,0.019607843137,0.000784313725,10,7,7,0,10,0,"3,4,6,7,8,9,11","3,4,6,7,8,9,11",-,"1,2,3,4,6,7,8,9,11,12",-,0.000000000,0.000000000,0.000000000,15.849460,10.858581,no,no
COMPARISON_RELAXED,26,3.000000000000,1.020000000000,79.560000000000,80,0.037707390649,3.060000000000,0.060000000000,0.019607843137,0.000754147813,6,5,5,0,6,0,"3,5,7,9,11","3,5,7,9,11",-,"1,3,5,7,9,11",-,0.000000000,0.000000000,0.000000000,15.849460,10.850230,no,no
COMPARISON_RELAXED,27,3.000000000000,1.020000000000,82.620000000000,83,0.036310820625,3.060000000000,0.060000000000,0.019607843137,0.000726216412,9,6,6,0,9,0,"4,5,7,8,10,11","4,5,7,8,10,11",-,"1,2,4,5,7,8,10,11,13",-,0.000000000,0.000000000,0.000000000,15.849460,10.841894,no,no
COMPARISON_RELAXED,28,3.000000000000,1.020000000000,85.680000000000,86,0.035014005602,3.060000000000,0.060000000000,0.019607843137,0.000700280112,6,5,5,0,6,0,"3,5,9,11,13","3,5,9,11,13",-,"1,3,5,9,11,13",-,0.000000000,0.000000000,0.000000000,15.849460,10.834720,no,no
COMPARISON_RELAXED,29,3.000000000000,1.020000000000,88.740000000000,89,0.033806626099,3.060000000000,0.060000000000,0.019607843137,0.000676132522,14,11,11,0,14,0,"3,4,5,6,7,8,9,10,11,12,13","3,4,5,6,7,8,9,10,11,12,13",-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",-,0.000000000,0.000000000,0.000000000,15.849460,10.827557,no,no
