family,N,parameter,k_star,lr_exact,lr_asymptotic,relative_error,L_exact_mm
fixed_m,27,8,0.296296296296,0.643401616356,0.866467327393,0.346697467596,16.085040409
fixed_m,28,1,0.035714285714,0.012536043909,0.012588781124,0.004206846684,0.313401098
fixed_m,28,2,0.071428571429,0.049515566049,0.050355124495,0.016955444794,1.237889151
fixed_m,28,4,0.142857142857,0.188255099071,0.201420497981,0.069933823709,4.706377477
fixed_m,28,8,0.285714285714,0.611260466978,0.805681991926,0.318066577917,15.281511674
fixed_r_to_half,28,1,0.464285714286,0.987463956091,0.987411218876,0.004206846684,24.686598902
fixed_r_to_half,28,2,0.428571428571,0.950484433951,0.949644875505,0.016955444794,23.762110849
fixed_r_to_half,28,4,0.357142857143,0.811744900929,0.798579502019,0.069933823709,20.293622523
fixed_r_to_half,28,8,0.214285714286,0.388739533022,0.194318008074,0.318066577917,9.718488326
fixed_m,29,1,0.034482758621,0.011689722145,0.011735558146,0.003921051402,0.292243054
fixed_m,29,2,0.068965517241,0.046212290165,0.046942232585,0.015795417590,1.155307254
fixed_m,29,4,0.137931034483,0.176306857609,0.187768930342,0.065012064126,4.407671440
fixed_m,29,8,0.275862068966,0.580890998276,0.751075721367,0.292971871824,14.522274957
fixed_m,30,1,0.033333333333,0.010926199633,0.010966227112,0.003663440223,0.273154991
fixed_m,30,2,0.066666666667,0.043227271179,0.043864908449,0.014750810153,1.080681779
fixed_m,30,4,0.133333333333,0.165434696821,0.175459633797,0.060597547971,4.135867421
fixed_m,30,8,0.266666666667,0.552264231634,0.701838535189,0.270838296212,13.806605791
fixed_r_to_half,30,1,0.466666666667,0.989073800367,0.989033772888,0.003663440223,24.726845009
fixed_r_to_half,30,2,0.433333333333,0.956772728821,0.956135091551,0.014750810153,23.919318221
fixed_r_to_half,30,4,0.366666666667,0.834565303179,0.824540366203,0.060597547971,20.864132579
fixed_r_to_half,30,8,0.233333333333,0.447735768366,0.298161464811,0.270838296212,11.193394209
fixed_m,31,1,0.032258064516,0.010235029374,0.010270139855,0.003430423149,0.255875734
fixed_m,31,2,0.064516129032,0.040521094190,0.041080559422,0.013806765170,1.013027355
fixed_m,31,4,0.129032258065,0.155516540462,0.164322237687,0.056622255092,3.887913512
