k,lr,mis_size,mis_set,prefix_size,best_consecutive_block_size,best_consecutive_block,gap_vs_prefix,gap_vs_best_consecutive
0.086111111111,0.071416349649,6,1 5 7 9 11 15,1,1,1-1,5,5
0.088888888889,0.075975951922,6,1 5 7 9 11 15,1,1,1-1,5,5
0.091666666667,0.080664716027,5,6 8 10 12 15,1,1,1-1,4,4
0.094444444444,0.085481213722,6,3 6 8 10 12 15,1,1,1-1,5,5
0.097222222222,0.090423977856,6,3 6 8 10 12 15,1,1,1-1,5,5
0.100000000000,0.095491502813,5,7 9 11 13 15,1,1,1-1,4,4
0.102777777778,0.100682244976,9,7 8 9 10 11 12 13 14 15,9,9,1-9,0,0
0.105555555556,0.105994623197,9,7 8 9 10 11 12 13 14 15,9,9,1-9,0,0
0.108333333333,0.111427019272,9,7 8 9 10 11 12 13 14 15,9,9,1-9,0,0
0.111111111111,0.116977778441,9,7 8 9 10 11 12 13 14 15,9,9,1-9,0,0
0.113888888889,0.122645209889,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.116666666667,0.128427587261,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.119444444444,0.134323149190,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.122222222222,0.140330099831,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.125000000000,0.146446609407,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.127777777778,0.152670814771,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.130555555556,0.159000819969,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.133333333333,0.165434696821,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.136111111111,0.171970485505,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.138888888889,0.178606195157,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.141666666667,0.185339804475,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.144444444444,0.192169262337,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.147222222222,0.199092488424,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.150000000000,0.206107373854,6,10 11 12 13 14 15,6,6,1-6,0,0
