q,m,k_fraction,has_zero_residue,exact_rho,predicted_rho_by_inverse_shell,inverse_pair,inverse_pair_hit,first_hit_inverse_shell_residues,first_hit_source_diffs,limiting_diffs_exact,prediction_matches_exact
37,9,9/37,False,1,1,"4,33",True,"4,33","4,33","4,33",True
37,10,10/37,False,1,1,"11,26",True,"11,26","11,26","11,26",True
37,11,11/37,False,1,1,"10,27",True,"10,27","10,27","10,27",True
38,9,9/38,False,1,1,"17,21",True,"17,21","17,21","17,21",True
38,11,11/38,False,1,1,"7,31",True,"7,31","7,31,45","7,31,45",True
39,8,8/39,True,0,0,"5,34",True,,,39,True
39,10,10/39,True,0,0,"4,35",True,,,39,True
39,11,11/39,True,0,0,"7,32",True,,,39,True
40,9,9/40,True,0,0,"9,31",True,,,40,True
40,11,11/40,True,0,0,"11,29",True,,,40,True
41,9,9/41,False,1,1,"9,32",True,9,9,9,True
41,10,10/41,False,1,1,"4,37",True,4,"4,45","4,45",True
41,11,11/41,False,1,1,"15,26",True,"15,26","15,26","15,26",True
41,12,12/41,False,1,1,"17,24",True,"17,24","17,24","17,24",True
42,11,11/42,True,0,0,"19,23",True,,,42,True
43,9,9/43,False,1,1,"19,24",True,"19,24","19,24","19,24",True
43,10,10/43,False,1,1,"13,30",True,"13,30","13,30","13,30",True
43,11,11/43,False,1,1,"4,39",True,"4,39","4,39","4,39",True
43,12,12/43,False,1,1,"18,25",True,"18,25","18,25","18,25",True
44,9,9/44,False,1,1,"5,39",True,"5,39","5,39","5,39",True
44,13,13/44,False,1,1,"17,27",True,"17,27","17,27","17,27",True
45,11,11/45,True,0,0,"4,41",True,,,45,True
45,13,13/45,True,0,0,"7,38",True,,,45,True
46,11,11/46,False,1,1,"21,25",True,"21,25","21,25","21,25",True
46,13,13/46,False,1,1,"7,39",True,"7,39","7,39","7,39",True
47,10,10/47,False,1,1,"14,33",True,"14,33","14,33","14,33",True
47,11,11/47,False,1,1,"17,30",True,"17,30","17,30","17,30",True
47,12,12/47,False,1,1,"4,43",True,4,4,4,True
47,13,13/47,False,1,1,"18,29",True,18,18,18,True
47,14,14/47,False,1,1,"10,37",True,10,10,10,True
48,11,11/48,False,1,1,"13,35",True,13,13,13,True
48,13,13/48,False,1,1,"11,37",True,11,11,11,True
49,10,10/49,False,1,1,"5,44",True,5,5,5,True
49,11,11/49,False,1,1,"9,40",True,"9,40","9,40","9,40",True
49,12,12/49,False,1,1,"4,45",True,"4,45","4,45","4,45",True
49,13,13/49,False,1,1,"15,34",True,"15,34","15,34","15,34",True
50,11,11/50,False,1,1,"9,41",True,9,9,9,True
50,13,13/50,False,1,1,"23,27",True,"23,27","23,27","23,27",True
51,11,11/51,False,1,1,"14,37",True,14,14,14,True
51,13,13/51,False,1,1,"4,47",True,4,4,4,True
51,14,14/51,False,1,1,"11,40",True,"11,40","11,40","11,40",True
52,11,11/52,False,1,1,"19,33",True,"19,33","19,33","19,33",True
52,15,15/52,False,1,1,"7,45",True,"7,45","7,45","7,45",True
53,11,11/53,False,1,1,"24,29",True,24,24,24,True
53,12,12/53,False,1,1,"22,31",True,"22,31","22,31","22,31",True
53,13,13/53,False,1,1,"4,49",True,4,4,4,True
53,14,14/53,False,1,1,"19,34",True,"19,34","19,34","19,34",True
53,15,15/53,False,1,1,"7,46",True,7,7,7,True
54,11,11/54,False,1,1,"5,49",True,5,5,5,True
54,13,13/54,False,1,1,"25,29",True,25,25,25,True
55,12,12/55,False,1,1,"23,32",True,23,23,23,True
55,13,13/55,False,1,1,"17,38",True,17,17,17,True
55,14,14/55,False,1,1,"4,51",True,4,4,4,True
55,16,16/55,False,1,1,"24,31",True,"24,31","24,31","24,31",True
56,13,13/56,False,1,1,"13,43",True,13,13,13,True
56,15,15/56,False,1,1,"15,41",True,15,15,15,True
57,13,13/57,False,1,1,"22,35",True,22,22,22,True
57,14,14/57,False,1,1,"4,53",True,4,4,4,True
57,16,16/57,False,1,1,"25,32",True,25,25,25,True
57,17,17/57,False,1,1,"10,47",True,10,10,10,True
58,13,13/58,False,1,1,"9,49",True,9,9,9,True
58,15,15/58,False,1,1,"27,31",True,"27,31","27,31","27,31",True
58,17,17/58,False,1,1,"17,41",True,17,17,17,True
59,12,12/59,False,1,1,"5,54",True,5,5,5,True
59,13,13/59,False,1,1,"9,50",True,9,9,9,True
59,14,14/59,False,1,1,"21,38",True,21,21,21,True
59,15,15/59,False,1,1,"4,55",True,4,4,4,True
59,16,16/59,False,1,1,"11,48",True,11,11,11,True
59,17,17/59,False,1,1,"7,52",True,7,7,7,True
60,13,13/60,False,1,1,"23,37",True,23,23,23,True
60,17,17/60,False,1,1,"7,53",True,7,7,7,True
61,13,13/61,False,1,1,"14,47",True,14,14,14,True
61,14,14/61,False,1,1,"13,48",True,13,13,13,True
61,15,15/61,False,1,1,"4,57",True,4,4,4,True
61,16,16/61,False,1,1,"19,42",True,"19,42","19,42","19,42",True
61,17,17/61,False,1,1,"18,43",True,18,18,18,True
61,18,18/61,False,1,1,"17,44",True,17,17,17,True
62,13,13/62,False,1,1,"19,43",True,19,19,19,True
62,15,15/62,False,1,1,"29,33",True,33,33,33,True
62,17,17/62,False,1,1,"11,51",True,11,11,11,True
63,13,13/63,False,1,1,"29,34",True,34,34,34,True
63,16,16/63,False,1,1,"4,59",True,4,4,4,True
63,17,17/63,False,1,1,"26,37",True,26,26,26,True
64,13,13/64,False,1,1,"5,59",True,5,5,5,True
64,15,15/64,False,1,1,"17,47",True,17,17,17,True
64,17,17/64,False,1,1,"15,49",True,15,15,15,True
64,19,19/64,False,1,1,"27,37",True,27,27,27,True
65,14,14/65,False,1,1,"14,51",True,14,14,14,True
65,16,16/65,False,1,1,"4,61",True,4,4,4,True
65,17,17/65,False,1,1,"23,42",True,"23,42","23,42","23,42",True
65,18,18/65,False,1,1,"18,47",True,18,18,18,True
65,19,19/65,False,1,1,"24,41",True,24,24,24,True
66,17,17/66,False,1,1,"31,35",True,31,31,31,True
66,19,19/66,False,1,1,"7,59",True,7,7,7,True
67,14,14/67,False,1,1,"24,43",True,24,24,24,True
67,15,15/67,False,1,1,"9,58",True,9,9,9,True
67,16,16/67,False,1,1,"21,46",True,21,21,21,True
67,17,17/67,False,1,1,"4,63",True,4,4,4,True
67,18,18/67,False,1,1,"26,41",True,26,26,26,True
67,19,19/67,False,1,1,"7,60",True,7,7,7,True
67,20,20/67,False,1,1,"10,57",True,10,10,10,True
68,15,15/68,False,1,1,"9,59",True,9,9,9,True
68,19,19/68,False,1,1,"25,43",True,25,25,25,True
69,14,14/69,False,1,1,"5,64",True,5,5,5,True
69,16,16/69,False,1,1,"13,56",True,13,13,13,True
69,17,17/69,False,1,1,"4,65",True,4,4,4,True
69,19,19/69,False,1,1,"29,40",True,40,40,40,True
69,20,20/69,False,1,1,"31,38",True,31,31,31,True
70,17,17/70,False,1,1,"33,37",True,33,33,33,True
70,19,19/70,False,1,1,"11,59",True,11,11,11,True
71,15,15/71,False,1,1,"19,52",True,19,19,19,True
71,16,16/71,False,1,1,"31,40",True,"31,40","31,40","31,40",True
71,17,17/71,False,1,1,"25,46",True,25,25,25,True
71,18,18/71,False,1,1,"4,67",True,4,4,4,True
71,19,19/71,False,1,1,"15,56",True,15,15,15,True
71,20,20/71,False,1,1,"32,39",True,39,39,39,True
71,21,21/71,False,1,1,"27,44",True,27,27,27,True
72,17,17/72,False,1,1,"17,55",True,17,17,17,True
72,19,19/72,False,1,1,"19,53",True,19,19,19,True
73,15,15/73,False,1,1,"34,39",True,"34,39","34,39","34,39",True
73,16,16/73,False,2,2,"32,41",False,9,9,9,True
73,17,17/73,False,1,1,"30,43",True,30,30,30,True
73,18,18/73,False,1,1,"4,69",True,4,4,4,True
73,19,19/73,False,1,1,"23,50",True,23,23,23,True
73,20,20/73,False,1,1,"11,62",True,11,11,11,True
73,21,21/73,False,1,1,"7,66",True,7,7,7,True
74,15,15/74,False,1,1,"5,69",True,5,5,5,True
74,17,17/74,False,1,1,"13,61",True,13,13,13,True
