q,m,k_fraction,shell1_projection,shell1_hits_in_D,shell1_is_vacancy,shell2_projection,shell2_hits_in_D,shell3_projection,shell3_hits_in_D,exact_rho,exact_s_min,limiting_diffs
85,18,18/85,33,33,False,19,19,14,14,1,0.011764705882352941,33
85,19,19/85,9,9,False,18,18,27,27,1,0.011764705882352941,9
85,21,21/85,4,4,False,8,8,12,12,1,0.011764705882352941,4
85,22,22/85,27,27,False,31,31,4,4,1,0.011764705882352941,27
85,23,23/85,37,,True,11,11,26,26,2,0.023529411764705882,11
85,24,24/85,39,39,False,7,7,32,,1,0.011764705882352941,39
86,19,19/86,9,9,False,18,18,27,27,1,0.011627906976744186,9
86,21,21/86,"41,45",45,False,4,4,37,,1,0.011627906976744186,45
86,23,23/86,15,15,False,30,30,"41,45",45,1,0.011627906976744186,15
86,25,25/86,31,31,False,24,24,7,7,1,0.011627906976744186,31
87,19,19/87,32,,True,23,23,9,9,2,0.022988505747126436,23
87,20,20/87,13,13,False,26,26,39,39,1,0.011494252873563218,13
87,22,22/87,4,4,False,8,8,12,12,1,0.011494252873563218,4
87,23,23/87,34,34,False,19,19,15,15,1,0.011494252873563218,34
87,25,25/87,7,7,False,14,14,21,21,1,0.011494252873563218,7
87,26,26/87,10,10,False,20,,30,30,1,0.011494252873563218,10
88,19,19/88,37,,True,14,14,23,23,2,0.022727272727272728,14
88,21,21/88,21,21,False,42,42,25,25,1,0.011363636363636364,21
88,23,23/88,23,23,False,42,42,19,19,1,0.011363636363636364,23
88,25,25/88,7,7,False,14,14,21,21,1,0.011363636363636364,7
89,18,18/89,5,5,False,10,10,15,15,1,0.011235955056179775,5
89,19,19/89,14,14,False,28,28,42,42,1,0.011235955056179775,14
89,20,20/89,40,40,False,9,9,31,31,1,0.011235955056179775,40
89,21,21/89,17,17,False,34,34,38,,1,0.011235955056179775,17
89,22,22/89,4,4,False,8,8,12,12,1,0.011235955056179775,4
89,23,23/89,31,31,False,27,27,4,4,1,0.011235955056179775,31
89,24,24/89,26,26,False,37,,11,11,1,0.011235955056179775,26
89,25,25/89,32,,True,25,25,7,7,2,0.02247191011235955,25
89,26,26/89,24,24,False,41,,17,17,1,0.011235955056179775,24
90,19,19/90,19,19,False,38,,33,33,1,0.011111111111111112,19
90,23,23/90,43,,True,4,4,39,39,2,0.022222222222222223,4
