Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_rank,selected_peak_label,is_active_selected_peak
157896,794.9958128864017,53.50000000499545,Falling,51.43399804374715,0,,0
93467,794.995813602599,47.10000000439157,Rising,49.00336711806157,0,,0
157596,794.9958845061261,45.4000000036734,Falling,45.206113112830856,0,,0
93767,794.9958852223234,38.60000000311873,Rising,41.34275907492804,0,,0
157296,794.9959561258505,37.40000000262226,Falling,37.578489705351174,0,,0
94067,794.9959568420478,31.00000000217042,Rising,33.69816933869794,0,,0
156996,794.9960277455749,30.100000001828786,Falling,30.159006213108597,0,,0
94367,794.9960284617722,25.00000000151676,Rising,26.90446878221013,0,,0
156696,794.9960993652993,24.2000000012741,Falling,23.90052304803859,0,,0
94667,794.9961000814966,20.300000001067243,Rising,21.375344884998498,0,,0
156396,794.9961709850237,19.600000000894205,Falling,19.104037267954723,0,,0
94981,794.9961750434748,16.40000000074216,Rising,17.24052958555433,0,,0
156096,794.9962426047481,16.1000000006365,Falling,15.49056227586143,0,,0
95281,794.9962466631991,13.700000000537235,Rising,14.145452762851239,0,,0
155796,794.9963142244725,13.300000000455634,Falling,12.76350768268087,0,,0
95581,794.9963182829235,11.500000000390784,Rising,11.744311866989923,0,,0
155496,794.9963858441969,11.100000000329516,Falling,10.6385975812198,0,,0
95881,794.9963899026479,9.730000000286513,Rising,9.823903236616642,0,,0
155196,794.9964574639213,9.520000000244895,Falling,8.940706113334075,0,,0
96181,794.9964615223723,8.370000000213572,Rising,8.279081399341795,0,,0
96481,794.9965331420967,7.230000000159864,Rising,7.571899313664573,0,,0
154664,794.9965844695658,7.320000000146064,Falling,7.03644328225747,0,,0
154364,794.9966560892902,6.400000000110663,Falling,6.451569140359542,0,,0
97014,794.9966603864738,5.740000000098402,Rising,6.018152991273453,0,,0
154050,794.9967310512684,5.620000000083648,Falling,5.557933965432955,0,,0
97314,794.9967320061982,5.070000000075317,Rising,5.208715266498953,0,,0
153750,794.9968026709928,4.98000000006423,Falling,4.849630598296405,0,,0
97614,794.9968036259226,4.550000000058571,Rising,4.577172278575278,0,,0
153450,794.9968742907172,4.450000000049734,Falling,4.302713305047849,0,,0
97914,794.996875245647,4.110000000045846,Rising,4.109859431227678,0,,0
153150,794.9969459104416,4.020000000038932,Falling,3.9202974828751262,0,,0
98214,794.9969468653713,3.710000000035862,Rising,3.7136253678005886,0,,0
152850,794.997017530166,3.630000000030464,Falling,3.570957829386556,0,,0
98514,794.9970184850956,3.370000000028228,Rising,3.421847008853535,0,,0
152550,794.9970891498904,3.310000000024072,Falling,3.263788819900055,0,,0
98814,794.99709010482,3.1100000000225734,Rising,3.1355508336273217,0,,0
152250,794.9971607696148,3.0400000000191576,Falling,2.9989539065247404,0,,0
99114,794.9971617245444,2.850000000017926,Rising,2.8861915658884096,0,,0
151948,794.997232866804,2.800000000015276,Falling,2.770013076184178,0,,0
99414,794.9972333442688,2.660000000014498,Rising,2.6735632559798206,0,,0
151648,794.9973044865284,2.5900000000122447,Falling,2.576240601516253,0,,0
99714,794.9973049639932,2.4900000000117606,Rising,2.495076822502197,0,,0
151348,794.9973761062528,2.440000000009996,Falling,2.413609022566541,0,,0
100014,794.9973765837176,2.330000000009536,Rising,2.3432526969689014,0,,0
151048,794.9974477259772,2.290000000008129,Falling,2.2747335730713827,0,,0
100314,794.997448203442,2.2000000000078024,Rising,2.2179241582291094,0,,0
150748,794.9975193457016,2.1700000000066755,Falling,2.164812030082025,0,,0
100614,794.9975198231664,2.120000000006516,Rising,2.1219352729712138,0,,0
150448,794.997590965426,2.090000000005571,Falling,2.0823864007902633,0,,0
100918,794.9975923978204,2.0400000000054224,Rising,2.051078783921491,0,,0
150148,794.9976625851504,2.020000000004666,Falling,2.0260117685566077,0,,0
101218,794.9976640175448,2.0000000000046065,Rising,2.010974174571238,0,,0
149848,794.9977342048747,1.970000000003944,Falling,1.999588100690583,0,,0
101518,794.9977356372692,2.000000000003992,Rising,1.9980222294905263,0,,0
149548,794.9978058245991,1.9700000000034168,Falling,1.995256619813916,0,,0
101818,794.9978072569936,1.9900000000034417,Rising,1.9975776397548082,0,,0
149248,794.9978774443235,1.980000000002976,Falling,1.9942759071622471,0,,0
102118,794.997878876718,2.0000000000029976,Rising,1.9914547237687492,0,,0
148948,794.9979490640479,1.980000000002579,Falling,1.9815201046119768,0,,0
102418,794.9979504964424,2.020000000002624,Rising,1.9690944753211501,0,,0
148648,794.9980206837723,1.990000000002246,Falling,1.9453514220355874,0,,0
102718,794.9980221161668,1.940000000002183,Rising,1.9152370055594192,0,,0
148348,794.9980923034967,1.920000000001878,Falling,1.8743510951310092,0,,0
103018,794.9980937358912,1.8300000000017849,Rising,1.8261588754511902,0,,0
148048,794.9981639232211,1.790000000001517,Falling,1.771493952273529,0,,0
103318,794.9981653556156,1.690000000001428,Rising,1.7102353710376628,0,,0
147748,794.9982355429455,1.6500000000012116,Falling,1.644380516509902,0,,0
103618,794.99823697534,1.5500000000011351,Rising,1.5758417783600336,0,,0
