dataset_key,l,scan_direction,source,candidate_rank,fit_model,selected,branch_role,lambda_center_nm,lambda_center_err_nm,nu_center_ghz,nu_center_err_ghz,fwhm_nm,fwhm_err_nm,fwhm_ghz,fwhm_err_ghz,finesse_with_final_fsr,peak_power_uw,baseline_uw,amplitude_uw,prominence_uw,r_squared,residual_rms_uw,window_lambda_min_nm,window_lambda_max_nm,peak_index
0p98mm_raw,2,Rising,raw,2,lorentz,True,selected,794.9860807049523,5.172486597412194e-08,377104.0339903305,2.4535845456758142e-05,0.0006441356659955911,2.446283828879508e-07,0.3055476869086676,0.00011604020781568219,32.46426969974853,3.4124232434121438,-0.0030837495537035585,3.4155070101574667,3.372132278193993,0.999207773373977,0.02817891900281698,794.9848845829116,794.9872844166365,163207
0p98mm_raw,2,Rising,raw,1,lorentz,False,candidate,794.9768585293147,1.371290866140476e-08,377108.4086077773,6.504910309279733e-06,0.0006719511534915001,6.654619075822724e-08,0.31874944212101974,3.156711774248366e-05,31.119685882214693,0.41956708307671225,-0.0038526753933523948,0.4234197629841386,0.3834833533401776,0.999946696808875,0.0009065594586065736,794.9756589119874,794.9780588412052,66594
0p98mm_raw,2,Rising,raw,2,lorentz,False,candidate,794.9860807049523,5.172486597412194e-08,377104.0339903305,2.4535845456758142e-05,0.0006441356659955911,2.446283828879508e-07,0.3055476869086676,0.00011604020781568219,32.46426969974853,3.4124232434121438,-0.0030837495537035585,3.4155070101574667,3.372132278193993,0.999207773373977,0.02817891900281698,794.9848845829116,794.9872844166365,163207
0p98mm_raw,2,Rising,raw,3,lorentz,False,candidate,794.9977524985325,6.390321596544574e-08,377098.4975212913,3.0311792268107915e-05,0.00066088618702728,3.06957685976312e-07,0.31348414178192596,0.0001456020244340166,31.64237418056601,0.4950677453823987,-0.0016655051948928625,0.4967332608352393,0.4553470309235432,0.9988236593413059,0.004998020057958803,794.9965504810853,794.9989503148101,285376
0p98mm_raw,3,Falling,final,1,lorentz,True,final_validation,794.9814593258849,4.222187520798472e-08,377106.22616810835,2.0028306112856165e-05,0.0006493962447152151,2.0065403147535105e-07,0.30804663965365314,9.518194882085685e-05,32.20091128112935,3.465539002617665,-0.0027132283767967564,3.468252419301393,3.2155060043257677,0.9994765740299217,0.023261150717135557,794.9802610999839,794.9826610292017,12562
0p98mm_raw,3,Falling,raw,2,lorentz,True,selected,794.9814593258849,4.222187520783772e-08,377106.22616810835,2.0028306112786434e-05,0.000649396244715197,2.0065403147394352e-07,0.30804663965364454,9.518194882018917e-05,32.20091128113025,3.4655390026182316,-0.0027132283770640382,3.468252419302227,3.4068931334175363,0.9994765740299217,0.023261150717135564,794.9802610999839,794.9826610292017,147763
0p98mm_raw,3,Falling,raw,1,lorentz,False,candidate,794.9721674588671,2.5013253732428664e-07,377110.6338958862,0.00011865527319008784,0.0006725625672855826,1.2145244254805366e-06,0.3190432400852999,0.0005761334732498041,31.09102863701248,0.5964602797543623,-0.0007829898317146817,0.5972432754904531,0.5273315425370195,0.9657711823461863,0.03297247424445584,794.9709612251585,794.9733611543763,34578
0p98mm_raw,3,Falling,raw,2,lorentz,False,candidate,794.9814593258849,4.222187520783772e-08,377106.22616810835,2.0028306112786434e-05,0.000649396244715197,2.0065403147394352e-07,0.30804663965364454,9.518194882018917e-05,32.20091128113025,3.4655390026182316,-0.0027132283770640382,3.468252419302227,3.4068931334175363,0.9994765740299217,0.023261150717135564,794.9802610999839,794.9826610292017,147763
0p98mm_raw,3,Falling,raw,3,lorentz,False,candidate,794.9930205280817,1.0392688280241518e-07,377100.7420931318,4.929716817159448e-05,0.0006553604974344904,4.966224864725645e-07,0.31086679195863537,0.00023557025452190772,31.90878784909648,0.7162400469735574,0.005451379500331742,0.7107886780500575,0.6572599849851792,0.9968674732093251,0.011680132156813315,794.9918101147673,794.9942100439852,268707
0p98mm_raw,3,Rising,final,1,lorentz,True,final_validation,794.981469558987,3.700061978153018e-08,377106.2213139493,1.755155867950919e-05,0.0006486002342439899,1.757150991343327e-07,0.30766903738621665,8.335195171167135e-05,32.24043146559956,3.5200566585069435,0.002347272298773448,3.5177093868793925,3.2563320383511023,0.9995974626915664,0.020688106007889923,794.980268739421,794.982668286667,12570
0p98mm_raw,3,Rising,raw,2,lorentz,True,selected,794.981469558987,3.700061978147766e-08,377106.2213139493,1.755155867948428e-05,0.0006486002342443512,1.7571509913505006e-07,0.307669037386388,8.335195171201163e-05,32.24043146558161,3.520056658503409,0.0023472723000295837,3.517709386874602,3.4582503119827623,0.9995974626915662,0.020688106007890925,794.980268739421,794.982668286667,114860
0p98mm_raw,3,Rising,raw,1,lorentz,False,candidate,794.9721982681715,9.426718547013272e-08,377110.61928088916,4.471748416856741e-05,0.0006713545878748533,4.572063636693273e-07,0.318470186683368,0.00021688478580522775,31.146973653139582,0.6077246392999351,-0.003594348060608092,0.6113189898142619,0.5575092441601818,0.9974849919793044,0.009001628852407706,794.9709877780696,794.9733877072874,17664
0p98mm_raw,3,Rising,raw,2,lorentz,False,candidate,794.981469558987,3.700061978147766e-08,377106.2213139493,1.755155867948428e-05,0.0006486002342443512,1.7571509913505006e-07,0.307669037386388,8.335195171201163e-05,32.24043146558161,3.520056658503409,0.0023472723000295837,3.517709386874602,3.4582503119827623,0.9995974626915662,0.020688106007890925,794.980268739421,794.982668286667,114860
0p98mm_raw,3,Rising,raw,3,lorentz,False,candidate,794.9930935060471,9.281642544060141e-08,377100.70747642237,4.4026973296991506e-05,0.0006390349046086812,4.367569337266366e-07,0.3031227775417507,0.00020717330760345126,32.72397605478875,0.7356516247539909,0.007891337479798267,0.7277602956028816,0.6718659452023122,0.997432195438837,0.010817376067212954,794.9919155390015,794.9943150862475,236822
0p98mm_raw,4,Falling,final,1,lorentz,True,final_validation,794.9768102778286,7.069089917421406e-08,377108.431496547,3.353322230789591e-05,0.000645314167554544,3.3469111213035885e-07,0.30611385187946155,0.0001587654365505391,32.40422624796235,3.8224899323747596,0.006953199453246212,3.8155370189427233,3.5597196264638122,0.9970526355247801,0.06078819580831843,794.9756181306243,794.9780180598422,25133
0p98mm_raw,4,Falling,raw,2,lorentz,True,selected,794.9768102778286,7.069089918899867e-08,377108.431496547,3.35332223149092e-05,0.0006453141675420677,3.346911121951095e-07,0.30611385187354323,0.00015876543658125447,32.40422624858885,3.39026247209508,0.0061669676138806345,3.384095758160605,3.293539004559079,0.997052635523512,0.053914579941213195,794.9756181306243,794.9780180598422,132054
0p98mm_raw,4,Falling,raw,2,lorentz,False,candidate,794.9768102778286,7.069089918899867e-08,377108.431496547,3.35332223149092e-05,0.0006453141675420677,3.346911121951095e-07,0.30611385187354323,0.00015876543658125447,32.40422624858885,3.39026247209508,0.0061669676138806345,3.384095758160605,3.293539004559079,0.997052635523512,0.053914579941213195,794.9756181306243,794.9780180598422,132054
0p98mm_raw,4,Falling,raw,3,lorentz,False,candidate,794.9883752087643,1.2711502663572946e-07,377102.94558870036,6.029704643207118e-05,0.0006548421008060202,6.069765048961369e-07,0.3106245233392193,0.0002879194652869737,31.933674802310403,0.920095059770313,-0.0003418229769522867,0.9204371220957671,0.8100672596470029,0.9953177796096181,0.01850706510010658,794.9871517769069,794.9895513241529,267248
0p98mm_raw,4,Falling,raw,5,lorentz,False,candidate,794.9976850892494,3.8973252077616854e-08,377098.52949615085,1.8486539424957205e-05,0.0006430248636719728,1.8414014633432928e-07,0.3050118699313466,8.734488125721538e-05,32.52129996176872,3.932655501489787,0.0037893876463979477,3.9288662340456595,3.819108947784047,0.9995492767974351,0.02444412399612466,794.9964854503755,794.9988850931145,364996
0p98mm_raw,4,Rising,final,1,lorentz,True,final_validation,794.976804972648,5.565807312873491e-08,377108.43401313404,2.640219018526946e-05,0.0006423993779108903,2.6277875935253e-07,0.30473118448194514,0.00012465280220943844,32.551255070270024,3.907435067683628,0.006790135158143354,3.9006456885531584,3.630048403189483,0.9990801708867555,0.03467580786856782,794.9756073457858,794.9780072750036,12566
0p98mm_raw,4,Rising,raw,1,lorentz,True,selected,794.976804972648,5.565807324863392e-08,377108.43401313404,2.640219024214524e-05,0.000642399377922956,2.6277875992225956e-07,0.3047311844876687,0.00012465280247969768,32.55125506965864,3.465602449262404,0.006022341763372,3.4595807780389927,3.377572424455495,0.9990801708828284,0.030754846300028862,794.9756073457858,794.9780072750036,66053
0p98mm_raw,4,Rising,raw,1,lorentz,False,candidate,794.976804972648,5.565807324863392e-08,377108.43401313404,2.640219024214524e-05,0.000642399377922956,2.6277875992225956e-07,0.3047311844876687,0.00012465280247969768,32.55125506965864,3.465602449262404,0.006022341763372,3.4595807780389927,3.377572424455495,0.9990801708828284,0.030754846300028862,794.9756073457858,794.9780072750036,66053
0p98mm_raw,4,Rising,raw,2,lorentz,False,candidate,794.9884287502238,1.2018235360771307e-07,377102.92019129667,5.7008523472699494e-05,0.0006634551041526027,5.786413363617632e-07,0.31471006135911256,0.00027447863364307343,31.519114676852983,0.9347688302061353,-0.0039321711119824805,0.9387010159227922,0.8326492746310129,0.9958684104498392,0.017727774887596005,794.9872313225475,794.9896312517653,187781
0p98mm_raw,4,Rising,raw,3,lorentz,False,candidate,794.9976970125415,5.18976113474125e-08,377098.5238404667,2.4617068330509607e-05,0.0006454506295655556,2.4574528902159214e-07,0.3061624964898876,0.00011656660903425149,32.39907770436194,3.927617719318557,0.007005774645146314,3.9206120139788294,3.815209773327095,0.999204276982617,0.032420024249015064,794.9964932807987,794.9988930190307,284771
0p98mm_raw,5,Falling,final,1,lorentz,True,final_validation,794.97217355833,7.614291532242478e-08,377110.6310024864,3.6119884190514524e-05,0.0006553621491703904,3.6375616740877486e-07,0.3108838797496069,0.00017255486718303862,31.90703397656581,3.68545470619721,-0.001276843931732946,3.6867316169146935,3.4053752085566686,0.996637736164357,0.06277505443659102,794.9709944625772,794.9733942963021,25133
0p98mm_raw,5,Falling,raw,1,lorentz,True,selected,794.97217355833,7.614291533663373e-08,377110.6310024864,3.6119884197254826e-05,0.0006553621491511049,3.6375616746755535e-07,0.3108838797404585,0.0001725548672109223,31.907033977504742,3.169155149464253,-0.0010979692750775533,3.1702531761689894,3.019982952267396,0.9966377361629674,0.05398082541144326,794.9709944625772,794.9733942963021,35004
0p98mm_raw,5,Falling,raw,1,lorentz,False,candidate,794.97217355833,7.614291533663373e-08,377110.6310024864,3.6119884197254826e-05,0.0006553621491511049,3.6375616746755535e-07,0.3108838797404585,0.0001725548672109223,31.907033977504742,3.169155149464253,-0.0010979692750775533,3.1702531761689894,3.019982952267396,0.9966377361629674,0.05398082541144326,794.9709944625772,794.9733942963021,35004
0p98mm_raw,5,Falling,raw,3,lorentz,False,candidate,794.9837909206004,3.041302009649518e-08,377105.12015954044,1.4426590490130883e-05,0.0006347826008961642,1.425892601809654e-07,0.3011127669772097,6.763803326321323e-05,32.94241759828163,1.0764473773112948,0.003511856497634683,1.0729356595228592,0.9306907252903993,0.9997216713660508,0.005243089461518333,794.9825778548284,794.9849776885533,176382
0p98mm_raw,5,Falling,raw,5,lorentz,False,candidate,794.993058208329,2.7931517317785308e-08,377100.7242197063,1.3249166518296718e-05,0.0006507645212978614,1.3290886769458211e-07,0.3086866856812297,6.304461371751251e-05,32.134144341362095,3.727499322411992,0.014523751994378485,3.712975570426309,3.597228182498871,0.9997713695428525,0.01645660875748942,794.9918593891376,794.9942592228625,273575
0p98mm_raw,5,Rising,final,1,lorentz,True,final_validation,794.9721642130586,2.6642926267414544e-08,377110.63543559914,1.263859454062061e-05,0.0006464799240860759,1.2628039532848848e-07,0.3066704294103047,5.990358187261256e-05,32.34541567314216,3.750198757898188,-0.0069202268295155914,3.757119037613967,3.4699397516633215,0.9997905148585625,0.0159370603334914,794.9709582707432,794.973358199961,12566
0p98mm_raw,5,Rising,raw,2,lorentz,True,selected,794.9721642130587,2.6642926366504372e-08,377110.6354355991,1.263859458762581e-05,0.0006464799240940108,1.2628039579944877e-07,0.3066704294140687,5.990358209602179e-05,32.34541567274517,3.2248291329865424,-0.0059507642532256565,3.2307799427168646,3.096847277769916,0.9997905148570098,0.0137044194094032,794.9709582707432,794.973358199961,17368
0p98mm_raw,5,Rising,raw,1,lorentz,False,candidate,794.9705000000001,1.9310212403941787e-07,377111.4248893512,9.160216277920387e-05,1.0191253744491816e-05,3.9369036410041287e-07,0.004834441304418521,0.0001867555263637005,2051.815688582529,3.2039775488270816,0.3544534379403977,2.8495241108866853,3.3279150291759394,0.3422769630104481,0.23662573247370042,794.9705,794.9716999646089,0
0p98mm_raw,5,Rising,raw,2,lorentz,False,candidate,794.9721642130587,2.6642926366504372e-08,377110.6354355991,1.263859458762581e-05,0.0006464799240940108,1.2628039579944877e-07,0.3066704294140687,5.990358209602179e-05,32.34541567274517,3.2248291329865424,-0.0059507642532256565,3.2307799427168646,3.096847277769916,0.9997905148570098,0.0137044194094032,794.9709582707432,794.973358199961,17368
0p98mm_raw,5,Rising,raw,6,lorentz,False,candidate,794.9930572657556,4.625992039317626e-08,377100.72466681094,2.194314697953927e-05,0.0006469435022957493,2.193168059839684e-07,0.30687420639028073,0.00010403175941260811,32.32393699886884,3.6872898583852023,0.027242629142724874,3.6600472350222906,3.6150941172575344,0.9993692103444769,0.026947008638972182,794.9918719942092,794.994271923427,236381
0p98mm_raw,6,Falling,final,1,lorentz,True,final_validation,794.988415276058,3.7377230802474996e-08,377102.92658277,1.772989750835362e-05,0.0006472366292776948,1.7722695961584596e-07,0.3070168349653643,8.406764659242781e-05,32.30892050286542,3.4383984154535447,-0.011212404728979485,3.44961095414365,3.1751292941566995,0.9995883129610079,0.0205161632550269,794.9872325639561,794.989632493174,12570
0p98mm_raw,6,Falling,raw,4,lorentz,True,selected,794.988415276058,3.737723080237957e-08,377102.92658277,1.7729897508308357e-05,0.0006472366292775172,1.7722695961641808e-07,0.30701683496528004,8.40676465926992e-05,32.30892050287429,3.438398415458598,-0.011212404731316999,3.4496109541510407,3.3360833206148466,0.9995883129610079,0.02051616325502684,794.9872325639561,794.989632493174,202341
0p98mm_raw,6,Falling,raw,2,lorentz,False,candidate,794.9791588215847,7.724653809741319e-08,377107.3174350746,3.664276533518461e-05,0.0006474518729390986,3.662026382249523e-07,0.3071260878515361,0.00017371234579704475,32.297427363878995,1.2105221859857005,0.006762672812069264,1.2037596112392859,1.106999867865214,0.9982453594877201,0.014792243299346159,794.9779244826024,794.9803243163273,104868
0p98mm_raw,6,Falling,raw,4,lorentz,False,candidate,794.988415276058,3.737723080237957e-08,377102.92658277,1.7729897508308357e-05,0.0006472366292775172,1.7722695961641808e-07,0.30701683496528004,8.40676465926992e-05,32.30892050287429,3.438398415458598,-0.011212404731316999,3.4496109541510407,3.3360833206148466,0.9995883129610079,0.02051616325502684,794.9872325639561,794.989632493174,202341
0p98mm_raw,6,Falling,raw,6,lorentz,False,candidate,795.0000606847855,6.151342347171831e-08,377097.4026615409,2.9178050879673813e-05,0.0006313084216633,3.0721403645992755e-07,0.2994525131011016,0.000145722775304467,33.125060168015054,1.4306847157742895,0.021444289091469733,1.4092404336732969,1.3492426619500413,0.9990444519936884,0.013454774350814111,794.9988865255091,795.00052862255,324383
0p98mm_raw,6,Rising,final,1,lorentz,True,final_validation,794.9884215565254,4.0739067217859246e-08,377102.92360362894,1.932458503315089e-05,0.0006371445273122629,1.9143234473474594e-07,0.30222963944189085,9.080597265860635e-05,32.820680765310875,3.4364182459455086,0.015657414604466766,3.4207612039721895,3.1646611958844444,0.9995026689757356,0.022350265699746255,794.9872236831102,794.989623612328,12570
0p98mm_raw,6,Rising,raw,4,lorentz,True,selected,794.9884215565254,4.073906721760156e-08,377102.92360362894,1.9324585033028654e-05,0.0006371445273125546,1.914323447322713e-07,0.3022296394420292,9.08059726574325e-05,32.82068076529585,3.436418245945198,0.01565741460407956,3.4207612039722664,3.333439668046394,0.9995026689757356,0.022350265699746245,794.9872236831102,794.989623612328,187700
0p98mm_raw,6,Rising,raw,2,lorentz,False,candidate,794.9791709417111,7.921523746938166e-08,377107.3116857563,3.757663890896786e-05,0.00064970756563665,3.7654240583394163e-07,0.30819609168992745,0.00017861712556760327,32.18529624936673,1.2532783786695716,0.006889390426793477,1.2463889895634492,1.1514034814053455,0.9981609798017859,0.01567953508765813,794.977978340635,794.980377887881,90878
0p98mm_raw,6,Rising,raw,4,lorentz,False,candidate,794.9884215565254,4.073906721760156e-08,377102.92360362894,1.9324585033028654e-05,0.0006371445273125546,1.914323447322713e-07,0.3022296394420292,9.08059726574325e-05,32.82068076529585,3.436418245945198,0.01565741460407956,3.4207612039722664,3.333439668046394,0.9995026689757356,0.022350265699746245,794.9872236831102,794.989623612328,187700
0p98mm_raw,6,Rising,raw,6,lorentz,False,candidate,795.0000730020419,5.2631804425775386e-08,377097.3968190189,2.496517561803625e-05,0.0006309419184769569,2.5890613637128153e-07,0.2992786580549748,0.00012280857997585293,33.14430296635187,1.421819557264423,-0.00432288629429017,1.4261434340753902,1.3142337765168624,0.9993366906646224,0.01150957478680553,794.9988722970571,795.0004999746602,309686
0p98mm_raw,7,Falling,final,1,lorentz,True,final_validation,794.9838077359088,4.1721112722567004e-08,377105.1121831026,1.979064823779912e-05,0.0006395302170584985,1.9644339847378642e-07,0.3033648130962247,9.318404865385161e-05,32.697867668624326,3.0571785196212673,0.004838299250610003,3.052341021431455,2.827886445061597,0.999480565577986,0.020385211395890595,794.9825897914491,794.9849897206669,12566
0p98mm_raw,7,Falling,raw,3,lorentz,True,selected,794.9838077359088,4.1721112722490255e-08,377105.1121831026,1.9790648237762712e-05,0.0006395302170583273,1.9644339847213852e-07,0.3033648130961435,9.318404865306993e-05,32.69786766863308,3.0571785196222745,0.0048382992505153835,3.052341021432557,2.9541341894493556,0.999480565577986,0.020385211395890362,794.9825897914491,794.9849897206669,147181
0p98mm_raw,7,Falling,raw,1,lorentz,False,candidate,794.9745159044148,5.928520920515776e-08,377109.5198679879,2.812293517760813e-05,0.0006562087264839365,2.835090447958041e-07,0.3112836359238655,0.00013448727930548223,31.866058376301588,1.2984933577454592,0.006274541413455099,1.2922188387635625,1.2357962098791684,0.9989799159027138,0.012105258579568335,794.9733008086885,794.9757007379063,49906
