rank_by_ERmin_F87,k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87
93,17/64,0.265625,64,17,1/64,0.015625,192.0,0.5490085701647803,0.04900857016478033,True,1.0590069217784683,4.831877384389042,31,0.5606610578828364,0.7330988716326542,7.835345443573843,12.540732968740022,31,0.8586539635871516,0.9320391817236918
94,11/50,0.22,50,11,1/50,0.02,150.0,0.4063093427071376,0.09369065729286241,True,0.6388688424173029,2.7660578567311735,31,0.5367100705684336,0.652581911047002,7.734646283284496,10.128974456925143,31,0.8558163683425927,0.9093519793893138
95,16/63,0.25396825396825395,63,16,1/63,0.015873015873015872,189.0,0.5124653458690365,0.01246534586903647,True,0.8155045108057314,6.009252311735481,18,0.5468067595698419,0.74937441980919,7.717513896141383,13.662257781708142,18,0.8553289076741187,0.9283341164989118
96,17/66,0.25757575757575757,66,17,1/66,0.015151515151515152,198.0,0.5237909579118712,0.023790957911871247,True,1.0247037496093714,4.537625030353724,6,0.558714551010235,0.7258452568295995,7.6875882494315135,12.12292602352691,6,0.8544741616880146,0.9294752051853831
97,22/75,0.29333333333333333,75,22,1/75,0.013333333333333334,224.99999999999997,0.6344599103076328,0.13445991030763282,True,1.7264066667793583,5.535151751564652,27,0.5980916259650972,0.7594441277414116,7.686773492124212,13.012387020190488,27,0.85445083184169,0.9322521965924472
98,19/66,0.2878787878787879,66,19,1/66,0.015151515151515152,198.0,0.6178794677547137,0.1178794677547137,True,0.9419844248604047,6.219072322740646,15,0.554013390610091,0.7837412864340477,7.632242989765779,14.238640868315983,15,0.8528823358514507,0.9500304686670357
99,14/67,0.208955223880597,67,14,1/67,0.014925373134328358,201.0,0.3724786157191618,0.1275213842808382,True,0.9874525418438295,6.477204337370764,46,0.5565987162581483,0.7935088683342326,7.59863985528559,14.493468432938725,46,0.8519088387478065,0.9519309211607235
100,20/71,0.28169014084507044,71,20,1/71,0.014084507042253521,213.0,0.5989009604927585,0.09890096049275854,True,1.1934167366758726,7.041645728396201,40,0.5682695323147978,0.8043609551458212,7.5957161289330255,15.083530618632485,40,0.8518238859751023,0.9529904087354536
101,14/65,0.2153846153846154,65,14,1/65,0.015384615384615385,195.0,0.39210790161609693,0.10789209838390307,True,0.7884269816956591,5.456746940970391,18,0.5452612654015568,0.7546605703137542,7.589409709273507,13.288266986958314,18,0.8516405074707059,0.9369443765324427
102,11/52,0.21153846153846154,52,11,1/52,0.019230769230769232,156.0,0.38034216785622116,0.11965783214377884,True,0.643689220199979,5.73269636270074,37,0.5369860467676629,0.760438033352585,7.588080580813889,13.646367225360002,37,0.8516018350790087,0.9416390296790369
103,15/64,0.234375,64,15,1/64,0.015625,192.0,0.4509914298352196,0.049008570164780385,True,0.684209289588134,5.959568462270885,10,0.5393049891486861,0.7440346149429725,7.580511468296373,13.830538472937397,10,0.8513814450855445,0.9317521895584675
104,19/72,0.2638888888888889,72,19,1/72,0.013888888888888888,216.0,0.5435778713738292,0.04357787137382918,True,1.2351271254319451,5.36012311300873,46,0.5706242508323385,0.7489211810925234,7.5588342510506195,12.981755552152238,46,0.8507487741312865,0.9311726418897167
105,19/67,0.2835820895522388,67,19,1/67,0.014925373134328358,201.0,0.6047201313830721,0.10472013138307212,True,0.896784293788489,6.344790039664542,15,0.5514404026646719,0.7890111259376275,7.539329087709569,14.35514810503605,15,0.8501776000805623,0.950842791635667
106,11/49,0.22448979591836735,49,11,1/49,0.02040816326530612,147.0,0.42020005248331027,0.07979994751668973,True,0.27377278030178787,2.1907396526463123,46,0.5157544112710372,0.6199293732213448,7.504505573816203,9.634662989900475,46,0.8491533794687006,0.896918961089634
107,16/65,0.24615384615384617,65,16,1/65,0.015384615384615385,195.0,0.48791812738193385,0.012081872618066147,True,0.6304612914219192,5.911135475503088,18,0.5362286678561953,0.743105580285122,7.464585045935031,13.52416411720557,18,0.8479721705866567,0.9247228616364352
108,23/77,0.2987012987012987,77,23,1/77,0.012987012987012988,230.99999999999997,0.650623094768617,0.15062309476861702,True,1.514837045124804,7.184906287718767,37,0.5863275510864956,0.8179268561359119,7.4385685363621,15.174476188605988,37,0.8471982892753079,0.9555479603997877
109,14/69,0.2028985507246377,69,14,1/69,0.014492753623188406,207.0,0.35417703027258746,0.14582296972741254,True,0.9379648112579266,5.139495938860626,27,0.5537846918774413,0.7267624848347687,7.435116832583203,12.498927695303237,27,0.8470953734100759,0.9193381734927543
110,21/82,0.25609756097560976,82,21,1/82,0.012195121951219513,246.0,0.5191513668450177,0.019151366845017725,True,1.8424606760182032,5.12318640392221,1,0.6044979357490495,0.7458090078486331,7.287975709838682,12.71753709525106,1,0.8426552184912057,0.9338819767222953
111,19/70,0.2714285714285714,70,19,1/70,0.014285714285714285,210.0,0.5671166329088276,0.06711663290882763,True,0.8066217587546622,6.954286697861989,15,0.5462998599630546,0.8046984446770375,7.287243878760475,14.970834122546746,15,0.8426328748539644,0.9527626201821745
112,19/68,0.27941176470588236,68,19,1/68,0.014705882352941176,204.0,0.5918747589082852,0.09187475890828523,True,0.6061990032421796,5.852280681879617,40,0.5348390731479092,0.7582905093772311,7.278942028028465,13.57010249591695,40,0.8423792291981269,0.9343262457282259
113,17/67,0.2537313432835821,67,17,1/67,0.014925373134328358,201.0,0.5117212868016303,0.011721286801630315,True,0.49249243409323856,5.851322973350356,18,0.5283198012757471,0.7402155345526203,7.24623851208996,13.42065776570845,18,0.8413768078195843,0.9219152836735968
114,20/69,0.2898550724637681,69,20,1/69,0.014492753623188406,207.0,0.6239038929964499,0.12390389299644988,True,0.6261073955371138,6.076703628219412,15,0.535979344253603,0.7673262119446699,7.2285055448701865,13.829521798784711,15,0.8408311008473248,0.9365892145851288
115,21/71,0.29577464788732394,71,21,1/71,0.014084507042253521,213.0,0.6418308891671484,0.14183088916714837,True,0.8032651197713099,5.779389885304852,10,0.546108286281595,0.7603534736268625,7.22031500751995,13.364593806547227,10,0.8405785352559922,0.9334447065555082
116,17/72,0.2361111111111111,72,17,1/72,0.013888888888888888,216.0,0.45642212862617076,0.043577871373829236,True,0.685773025579258,5.648064823427577,27,0.5393944475055321,0.7399591558660402,7.208102095585829,13.363877201164401,27,0.8402013316260529,0.9271591694413001
117,16/55,0.2909090909090909,55,16,1/55,0.01818181818181818,165.0,0.6271091670967435,0.12710916709674347,True,0.41603052217445335,6.1696711882550845,46,0.5239303448309782,0.7725629370112826,7.192311104300082,14.032902094333979,46,0.8397125457262711,0.9421057234198084
118,16/67,0.23880597014925373,67,16,1/67,0.014925373134328358,201.0,0.46486190552735357,0.03513809447264643,True,0.40047071211963375,3.9881485670203225,31,0.5230366262141235,0.6893543483061828,7.185473419545289,11.354087770882375,31,0.8395005206670548,0.9102987612288128
119,15/71,0.2112676056338028,71,15,1/71,0.014084507042253521,213.0,0.3795161487716929,0.12048385122830713,True,0.68310750543441,5.665964108506317,37,0.5392419566554507,0.7556615765284572,7.145746849828458,13.372428280387346,37,0.8382641772154235,0.9327542148018968
120,19/71,0.2676056338028169,71,19,1/71,0.014084507042253521,213.0,0.5551969977076349,0.055196997707634865,True,0.6800296352295383,5.083765814527541,31,0.5390658666724386,0.739818366538762,7.140593116156636,12.672906542554458,31,0.8381032242041365,0.9288556529584836
121,16/77,0.2077922077922078,77,16,1/77,0.012987012987012988,230.99999999999997,0.36894915853044896,0.13105084146955104,True,1.0345274578281076,6.705952299910229,22,0.5592721768264624,0.8033720439048913,7.12581611502651,14.694240079273508,22,0.8376410164897402,0.9521468776815545
122,23/78,0.2948717948717949,78,23,1/78,0.01282051282051282,234.0,0.6391087319582264,0.13910873195822637,True,1.0758853217973852,5.304233005694457,10,0.5616181288358969,0.7492024778236629,7.086535863864412,12.715496576994989,10,0.8364072029680686,0.9271765268851739
123,17/69,0.2463768115942029,69,17,1/69,0.014492753623188406,207.0,0.4886184010719472,0.011381598928052794,True,0.32413897711284456,5.765957028299753,18,0.5186502826117453,0.7346417826764872,7.011157435239087,13.297145088578356,18,0.8340184185326218,0.9183498098560824
124,12/53,0.22641509433962265,53,12,1/53,0.018867924528301886,159.0,0.42617671799875934,0.07382328200124066,True,-0.012553047689668943,3.5638722365176503,37,0.4992773889910516,0.6771437979288469,6.997482925881324,11.31636608800847,37,0.8335820839689696,0.9154622490310592
125,16/69,0.2318840579710145,69,16,1/69,0.014492753623188406,207.0,0.4432099069747626,0.05679009302523741,True,0.26099633233478414,6.125775888992114,27,0.51501963646052,0.7544350654121318,6.987964547827621,13.983078988339637,27,0.8332778241880449,0.9317254283633116
126,17/78,0.21794871794871795,78,17,1/78,0.01282051282051282,234.0,0.39998715311197786,0.10001284688802214,True,0.8465651611898066,5.051633511108732,27,0.5485784846012393,0.753509538302493,6.956533500164293,12.932267653114783,27,0.8322699539245667,0.9409910027104788
127,20/73,0.273972602739726,73,20,1/73,0.0136986301369863,219.0,0.5750276991723262,0.07502769917232621,True,0.5330278764335363,6.738125947638493,15,0.5306450917148514,0.7935786136238313,6.92561350951827,14.707826488486553,15,0.8312737301958927,0.9486420595083249
128,21/73,0.2876712328767123,73,21,1/73,0.0136986301369863,219.0,0.6172456947852049,0.11724569478520486,True,0.5315181131394723,5.935758765586187,15,0.5305585083042975,0.7718941953144767,6.924628801404672,13.853021612238345,15,0.8312419261342416,0.9441614235786432
129,15/74,0.20270270270270271,74,15,1/74,0.013513513513513514,222.0,0.3535886143617248,0.14641138563827522,True,0.6304951211610137,4.900836942370774,27,0.5362306050280138,0.7149967345515565,6.9221872971814165,12.131997176189524,27,0.8311630499237315,0.9111964868262182
130,19/73,0.2602739726027397,73,19,1/73,0.0136986301369863,219.0,0.5322542247246581,0.03225422472465811,True,0.4998509084318644,6.03234642556021,4,0.5287420098599446,0.7679189392141543,6.902693434943678,13.995309143262077,4,0.8305322195115818,0.94287984947514
131,22/83,0.26506024096385544,83,22,1/83,0.012048192771084338,249.0,0.5472425659440157,0.04724256594401566,True,1.214155074348989,5.030671293192582,40,0.5694406871591697,0.7417021648739497,6.888891621708203,12.722702140871812,40,0.8300844530822233,0.9330265414946027
132,21/86,0.2441860465116279,86,21,1/86,0.011627906976744186,258.0,0.4817389884711704,0.018261011528829585,True,1.538160049909501,5.3529125920171055,1,0.5876295024201762,0.7451993448530821,6.886020686701725,12.890673157572115,1,0.8299911944145241,0.9306901006546852
133,21/74,0.28378378378378377,74,21,1/74,0.013513513513513514,222.0,0.605339634997863,0.10533963499786303,True,0.48399903543649025,5.989487358195216,15,0.5278324235845709,0.7747696173824065,6.833794529215238,13.89020400890948,15,0.828287584122756,0.9443277012170247
134,18/71,0.2535211267605634,71,18,1/71,0.014084507042253521,213.0,0.5110610435765934,0.011061043576593432,True,0.1970493162544414,5.683619588731609,18,0.5113411249100335,0.7313121902947444,6.8058210080077695,13.17031700797314,18,0.8273695401589289,0.9153796484863649
135,17/71,0.23943661971830985,71,17,1/71,0.014084507042253521,213.0,0.466838521782448,0.033161478217552,True,0.14525045470140271,4.686570744207453,31,0.5083605089845397,0.7164163186375866,6.7732197090870425,12.270490533289033,31,0.8262947242539527,0.9214278768825809
136,15/58,0.25862068965517243,58,15,1/58,0.017241379310344827,174.0,0.5270694542927088,0.027069454292708794,True,0.13993525416870375,4.352850668826787,37,0.5080546239012396,0.7017465935343251,6.772193994218809,11.825124840230883,37,0.8262608223728671,0.9175849250462775
137,17/81,0.20987654320987653,81,17,1/81,0.012345679012345678,243.0,0.3752794279710093,0.12472057202899067,True,0.794496127813647,5.898241429192151,46,0.5456077487267936,0.7637871343632402,6.746412741571791,13.460050857801427,46,0.8254069847152993,0.9289065463100424
138,17/73,0.2328767123287671,73,17,1/73,0.0136986301369863,219.0,0.4463093266679185,0.053690673332081496,True,0.2237245246823236,5.966638156543284,31,0.5128757715989097,0.7420203166532108,6.731173790947443,13.73715718404629,31,0.8249007388618826,0.9245530229218876
139,19/79,0.24050632911392406,79,19,1/79,0.012658227848101266,237.0,0.47019243741509004,0.029807562584909963,True,0.4887243016264854,5.370145910331996,6,0.5281035806958936,0.7436647882127891,6.676566313577288,12.932349768683698,6,0.82307715433365,0.9253226350272757
140,23/87,0.26436781609195403,87,23,1/87,0.011494252873563218,261.0,0.5450765405560327,0.04507654055603272,True,1.2371171389502398,5.147916772274474,6,0.5707365160933651,0.7430461094934263,6.670848756456561,12.780839513012182,6,0.8228853601812001,0.9310498708255882
141,26/87,0.2988505747126437,87,26,1/87,0.011494252873563218,261.0,0.6510702077847864,0.15107020778478641,True,1.2005903412655021,6.887103420518124,37,0.5686747338889625,0.8068518650907327,6.657803045833433,14.751640137615224,37,0.8224471339900016,0.9493498727764242
142,18/79,0.22784810126582278,79,18,1/79,0.012658227848101266,237.0,0.43063223400546585,0.06936776599453415,True,0.4249244340293131,4.800495571213681,18,0.524441121589602,0.7262262745982246,6.638538858818071,12.43774182063269,18,0.8217984652749768,0.9214007185445455
143,17/74,0.22972972972972974,74,17,1/74,0.013513513513513514,222.0,0.4364910901265607,0.06350890987343932,True,0.1455894568411848,5.625236222428689,27,0.5083800180475213,0.7473869261837783,6.621482793066936,13.372012000019032,27,0.8212226012267865,0.927736076012874
144,24/89,0.2696629213483146,89,24,1/89,0.011235955056179775,267.0,0.5616158634485793,0.06161586344857928,True,1.308504145017406,6.705134959569032,27,0.5747588676200522,0.8052262554344956,6.593185784992423,14.564666139634134,27,0.820263999755105,0.9489153511737894
145,18/73,0.2465753424657534,73,18,1/73,0.0136986301369863,219.0,0.4892419512818888,0.010758048718111202,True,0.04319649053671963,5.605658269431397,18,0.5024865693798151,0.7262407592134169,6.586637041322415,13.055468935214913,18,0.8200415806414928,0.9118448738019665
146,20/77,0.2597402597402597,77,20,1/77,0.012987012987012988,230.99999999999997,0.5305808304109212,0.03058083041092119,True,0.38203396675898255,5.369972561089475,4,0.5219774727267029,0.7372071551833018,6.585955925437715,12.968721994274267,4,0.8200184351429483,0.9235123749554913
147,24/85,0.2823529411764706,85,24,1/85,0.011764705882352941,255.0,0.6009412045785051,0.10094120457850508,True,0.8483727692170837,6.848182124536959,1,0.5486815545802277,0.7965855682714486,6.576349669303012,14.739047856152643,1,0.8196917504092217,0.9456508443692404
148,23/82,0.2804878048780488,82,23,1/82,0.012195121951219513,246.0,0.5951955545823343,0.09519555458233431,True,0.5488934607574177,6.370406263346624,15,0.5315548545161389,0.7712845661042865,6.54795103208471,13.949837144150587,15,0.818723279387041,0.9293425215528189
149,19/80,0.2375,80,19,1/80,0.0125,240.0,0.4607704521360774,0.039229547863922576,True,0.3506829149654668,4.05040575564099,10,0.5201759698952441,0.6838405004313329,6.53807701865862,11.158077848158632,10,0.8183856010410108,0.8962903484049843
150,18/83,0.21686746987951808,83,18,1/83,0.012048192771084338,249.0,0.39666129365752356,0.10333870634247644,True,0.6088684637917139,5.551852786569438,4,0.5349919903125206,0.7687578307235143,6.526032963513425,13.473406925611153,4,0.8179730477673777,0.9426683486843109
151,16/75,0.21333333333333335,75,16,1/75,0.013333333333333334,224.99999999999997,0.3858245649446722,0.11417543505532779,True,0.09767641635199611,5.372925258619623,18,0.5056224695031827,0.7427936201000059,6.524800735092782,13.046123491487982,18,0.8179307983444082,0.9262709741956566
152,13/58,0.22413793103448276,58,13,1/58,0.017241379310344827,174.0,0.41910900172361754,0.08089099827638246,True,-0.2245617125286946,1.7315106094517334,31,0.4870760680728065,0.5964874891886892,6.520828718781332,8.841429919916843,31,0.817794557906141,0.8806955279879936
153,19/81,0.2345679012345679,81,19,1/81,0.012345679012345678,243.0,0.45159456464841047,0.04840543535158953,True,0.33029203337141405,5.736428028561245,10,0.5190039787894739,0.7322260185470454,6.4768531398401885,13.319132212094976,10,0.8162808960550229,0.9177470263024903
154,13/59,0.22033898305084745,59,13,1/59,0.01694915254237288,177.0,0.4073556379564428,0.0926443620435572,True,-0.20012352353015195,1.9974111860987358,31,0.48848200196718455,0.6117448259687993,6.462030707923219,8.972705732530228,31,0.8157685094822759,0.8845757462298606
155,16/79,0.20253164556962025,79,16,1/79,0.012658227848101266,237.0,0.3530748628310395,0.1469251371689605,True,0.3561047087511446,4.674348066294352,27,0.520487557353574,0.7037951518635509,6.448335251698727,11.780390486620947,27,0.8152940978712307,0.9029538115709711
156,24/83,0.2891566265060241,83,24,1/83,0.012048192771084338,249.0,0.6217769138554959,0.12177691385549594,True,0.46147959002956845,6.310797292609426,46,0.5265399332226264,0.7801897446552664,6.438345478321311,14.193787333058156,46,0.8149474557842546,0.9421578412999093
157,17/75,0.22666666666666666,75,17,1/75,0.013333333333333334,224.99999999999997,0.42695848571879413,0.07304151428120587,True,-0.030484055471119657,3.7568840868338502,37,0.49824520391225474,0.6846343300249486,6.420800903868722,11.372270657338094,37,0.8143374478013332,0.9109332128925343
158,23/79,0.2911392405063291,79,23,1/79,0.012658227848101266,237.0,0.6278083162202374,0.12780831622023736,True,0.30246840940125586,6.3613837360602785,46,0.5174044467313956,0.7830229737965279,6.417311061331652,14.24957191253503,46,0.814215924395511,0.9437514670646175
159,19/75,0.25333333333333335,75,19,1/75,0.013333333333333334,224.99999999999997,0.5104712099416785,0.010471209941678494,True,-0.0741809055819745,5.512030315257405,18,0.49572990763281083,0.722731524084797,6.39327106466493,12.917645919871392,18,0.813377134690318,0.9087803191290277
160,26/89,0.29213483146067415,89,26,1/89,0.011235955056179775,267.0,0.6308296279842204,0.13082962798422038,True,0.9194586001806595,6.553836404109508,22,0.5527314757490168,0.7972234026854053,6.383870124340987,14.404006554146113,22,0.8130483297521375,0.9465512216205235
161,18/77,0.23376623376623376,77,18,1/77,0.012987012987012988,230.99999999999997,0.44908850664808225,0.05091149335191775,True,0.007341269032211413,5.830717417861217,10,0.5004225973153027,0.7342089947955867,6.359227749254455,13.528163746100326,10,0.812184327433199,0.9193660507552259
162,16/61,0.26229508196721313,61,16,1/61,0.01639344262295082,183.0,0.5385877310633232,0.03858773106332325,True,-0.16340622679578576,5.72257640499856,46,0.4905946910103159,0.7501622743767408,6.342590053011143,13.491330154166556,46,0.8115992484524309,0.9311441596033235
163,21/79,0.26582278481012656,79,21,1/79,0.012658227848101266,237.0,0.5496268994540308,0.04962689945403076,True,0.17379030262691658,4.504607116429555,31,0.5100028392135041,0.7145815115430453,6.338502826019105,11.945855136135895,31,0.8114553036268313,0.9161776718852753
164,23/80,0.2875,80,23,1/80,0.0125,240.0,0.6167226819279525,0.11672268192795254,True,0.17301081406684143,5.633126334176549,15,0.5099579861232136,0.7588651102240601,6.282291787345015,13.439975148312,15,0.8094670838189987,0.9375699632286602
165,17/80,0.2125,80,17,1/80,0.0125,240.0,0.3832773180720473,0.11672268192795271,True,0.10848846336724499,5.681211978849994,4,0.5062447732275548,0.7587738310415905,6.243980201681435,13.556757869184347,4,0.808102816617196,0.9374601451877093
166,17/79,0.21518987341772153,79,17,1/79,0.012658227848101266,237.0,0.39151059594684107,0.10848940405315893,True,0.004151942097436402,5.22070698613531,18,0.5002390049813096,0.7400204899665249,6.239166488921892,12.828169616487997,18,0.8079308756465875,0.9230651823197533
167,22/81,0.2716049382716049,81,22,1/81,0.012345679012345678,243.0,0.5676656498750654,0.0676656498750654,True,0.18759124986120013,6.749687896742782,15,0.5107969417284501,0.7922719739267103,6.230899904452887,14.638612161134011,15,0.8076353276258149,0.944386546427828
168,21/80,0.2625,80,21,1/80,0.0125,240.0,0.5392295478639225,0.03922954786392252,True,0.07853275923051502,5.6631744459975835,46,0.504520585836763,0.748202137550744,6.22366950620775,13.25049883237571,46,0.8073765415403424,0.9237603679900658
169,17/61,0.2786885245901639,61,17,1/61,0.01639344262295082,183.0,0.5896403794053677,0.08964037940536773,True,-0.3736108122891745,5.352325534144431,22,0.47850648670049795,0.7471681759101033,6.199008422486517,13.198009001547726,22,0.8064918932015327,0.9351964435232181
170,23/81,0.2839506172839506,81,23,1/81,0.012345679012345678,243.0,0.6058519361147052,0.10585193611470523,True,0.12758791987540397,5.64602226966785,15,0.5073440228604572,0.7604448832178267,6.1970721032322285,13.43338804708867,15,0.8064223025077148,0.937396630186338
171,19/77,0.24675324675324675,77,19,1/77,0.012987012987012988,230.99999999999997,0.4898007313042973,0.010199268695702701,True,-0.21536591825745546,5.438719214392932,18,0.48760508115514595,0.7180514495482102,6.188328068478094,12.808501846953115,18,0.8061078078399467,0.9052751205727702
172,17/83,0.20481927710843373,83,17,1/83,0.012048192771084338,249.0,0.35995932288754645,0.14004067711245355,True,0.1071293481145065,5.776994322985977,1,0.5061665483163914,0.7567153607441558,6.067066250543974,13.491534649309983,1,0.8017063897129991,0.9340738829016747
173,21/89,0.23595505617977527,89,21,1/89,0.011235955056179775,267.0,0.45593375421819904,0.04406624578180096,True,0.2610704953541252,5.455973569189042,27,0.5150239017736793,0.7270456154706059,6.036293536079521,12.872479458115409,27,0.8005775476959495,0.9113574127217546
174,19/90,0.2111111111111111,90,19,1/90,0.011111111111111112,270.0,0.37903905220016615,0.12096094779983385,True,0.39790165420659873,5.567263692442084,37,0.5228890512720801,0.7491128210394183,6.017722238358426,13.00546020228631,37,0.7998939614632321,0.9189347142817974
175,17/84,0.20238095238095238,84,17,1/84,0.011904761904761904,252.0,0.35262241279454787,0.14737758720545213,True,0.11022213977586419,4.460845624580261,27,0.5063445558464127,0.6931755786389928,6.00946340161919,11.445343590627424,27,0.7995894001056887,0.8946786166285506
176,20/79,0.25316455696202533,79,20,1/79,0.012658227848101266,237.0,0.509941093832535,0.009941093832535053,True,-0.3240619454947602,5.33995839242523,18,0.4813541455165275,0.7144942010625615,6.00598016901642,12.666363455772993,18,0.7994608447350562,0.9021579931834904
177,23/84,0.27380952380952384,84,23,1/84,0.011904761904761904,252.0,0.5745211330880873,0.07452113308808728,True,-0.023710975353566536,6.600870672294398,15,0.4986350899306777,0.784105468580739,5.935090430372156,14.453231147344978,15,0.796831098580401,0.9408211818028177
178,21/88,0.23863636363636365,88,21,1/88,0.011363636363636364,264.0,0.4643304084003838,0.03566959159961619,True,-0.0046867530269407804,3.5320347729313455,31,0.4997302088348237,0.6651157369891403,5.894045832069613,10.380789245174801,31,0.7952967924944047,0.882956709475056
179,18/85,0.21176470588235294,85,18,1/85,0.011764705882352941,255.0,0.3810324024786906,0.11896759752130942,True,-0.05128942673466022,5.659462758368027,37,0.497047577579259,0.756369501756362,5.862379758397893,13.463233137512823,37,0.7941072007158962,0.9342438260579957
180,17/65,0.26153846153846155,65,17,1/65,0.015384615384615385,195.0,0.5362174000808811,0.036217400080881146,True,-0.45111448596458537,6.0219965371569595,4,0.47405508645470557,0.7627063665664338,5.8618149701105695,13.957513395293875,4,0.7940859370434687,0.9371043404092446
181,19/82,0.23170731707317074,82,19,1/82,0.012195121951219513,246.0,0.44265828730079976,0.05734171269920024,True,-0.35289394992406176,5.92382717450744,27,0.47969696125245903,0.7438183224257114,5.855056962801314,13.577058412605496,27,0.7938313791549617,0.9195318667786618
182,22/85,0.25882352941176473,85,22,1/85,0.011764705882352941,255.0,0.527705737457985,0.02770573745798499,True,-0.06486466849459227,4.432513645555299,37,0.49626615894135184,0.7022144352752998,5.854213793812488,11.73211016738604,37,0.7937996026655402,0.9074560808586632
183,18/65,0.27692307692307694,65,18,1/65,0.015384615384615385,195.0,0.5841785206735193,0.08417852067351927,True,-0.506016432691032,5.856153451707353,22,0.47090426131600444,0.7614887191380321,5.8289151564222035,13.72557670083919,22,0.7928444872084861,0.9364761902840186
184,20/81,0.24691358024691357,81,20,1/81,0.012345679012345678,243.0,0.49030433411408775,0.009695665885912252,True,-0.4541204347646003,5.2698120901445575,18,0.47388251914773666,0.7101339450035077,5.813861565728527,12.561367476616475,18,0.7922746104795342,0.8986864487275953
185,25/86,0.29069767441860467,86,25,1/86,0.011627906976744186,258.0,0.6264666911958404,0.12646669119584042,True,-0.09551995028770208,5.8560443211183895,46,0.4945016513092674,0.754060829254866,5.780031573221819,13.326145309630753,46,0.7909897067137796,0.9206682968211304
186,23/86,0.26744186046511625,86,23,1/86,0.011627906976744186,258.0,0.5546856041889371,0.05468560418893709,True,-0.09999783297510276,4.6618887266209645,31,0.494243916316303,0.7175053276186198,5.775919454819299,11.962459708610682,31,0.7908331255744318,0.9109345622501955
187,25/87,0.28735632183908044,87,25,1/87,0.011494252873563218,261.0,0.6162837277871551,0.11628372778715512,True,-0.1394219741907012,5.333484541385278,15,0.4919749152298735,0.7456344817124875,5.700016354300397,13.026486310367732,15,0.7879273973211343,0.9305747586039
188,21/83,0.25301204819277107,83,21,1/83,0.012048192771084338,249.0,0.5094620636205094,0.009462063620509387,True,-0.5550403712356754,5.16940340453224,18,0.468092725976429,0.7065982080855564,5.641665255068162,12.418662607010752,18,0.7856736133485172,0.8955451579436584
189,25/88,0.2840909090909091,88,25,1/88,0.011363636363636364,264.0,0.6062826447764884,0.10628264477648841,True,-0.181316699071151,5.32191427091487,15,0.4895640875959403,0.7464372803457756,5.62129784319003,12.994094653425636,15,0.7848828422632292,0.9301958497826547
190,18/89,0.20224719101123595,89,18,1/89,0.011235955056179775,267.0,0.3522209105171579,0.14777908948284207,True,-0.11098712476063616,4.2601802961459105,27,0.49361141521775354,0.6831229244729555,5.602011931498431,11.126979471837751,27,0.7841321104763929,0.8864236124926634
191,19/84,0.2261904761904762,84,19,1/84,0.011904761904761904,252.0,0.4254788669119128,0.07452113308808722,True,-0.5731486029506285,3.2126095879074175,37,0.467054716902458,0.6594831178973205,5.576050533830993,10.653853657026339,37,0.7831185305032095,0.8963068237203244
192,23/89,0.25842696629213485,89,23,1/89,0.011235955056179775,267.0,0.5264617270600815,0.02646172706008154,True,-0.20749745570963307,4.148496382059899,37,0.48805775796010553,0.6925369743005252,5.550686655282464,11.325184315626423,37,0.7821249598448132,0.9017852318911221
193,23/88,0.26136363636363635,88,23,1/88,0.011363636363636364,264.0,0.5356695915996162,0.035669591599616246,True,-0.3293929319592628,6.119547855808945,4,0.4810477030837916,0.7678453066715951,5.5351229643308795,14.02212681039839,4,0.7815136649618598,0.9366580756419944
194,20/87,0.22988505747126436,87,20,1/87,0.011494252873563218,261.0,0.43697514438985535,0.06302485561014465,True,-0.45028342590467946,5.475382289025944,27,0.47410279754318585,0.7366562696172139,5.526831665108121,13.023039920666001,27,0.7811875036273792,0.9149370777012328
195,21/85,0.24705882352941178,85,21,1/85,0.011764705882352941,255.0,0.4907605475204351,0.009239452479564925,True,-0.6752748804620536,5.101589533158573,18,0.4612061797671729,0.7025075388228709,5.46115031989515,12.316961792767458,18,0.7785913664383163,0.8921130699630266
196,15/67,0.22388059701492538,67,15,1/67,0.014925373134328358,201.0,0.41831131909073493,0.08168868090926507,True,-0.8583144986678664,1.2216389941567645,31,0.45075164196569245,0.5687498509929453,5.45718100584212,7.938041744677349,31,0.7784337701984727,0.8574182379651694
197,15/68,0.22058823529411764,68,15,1/68,0.014705882352941176,204.0,0.4081252410917148,0.09187475890828523,True,-0.8441175048659897,1.3726355428648773,31,0.4515610876330621,0.5774831435411246,5.3943859243230285,7.966135783755785,31,0.7759299051802713,0.8586739482327564
198,19/89,0.21348314606741572,89,19,1/89,0.011235955056179775,267.0,0.38628283093944665,0.11371716906055335,True,-0.5024089147202516,5.170654896853416,18,0.4711112285271446,0.7311711969607742,5.385410644686294,12.630411071365977,18,0.7755703896660631,0.9125936177485937
199,22/87,0.25287356321839083,87,22,1/87,0.011494252873563218,261.0,0.5090270746252803,0.009027074625280296,True,-0.7692115239221898,5.001542579448313,18,0.4558360192175097,0.6990305498488153,5.298319748771876,12.175833850594591,18,0.7720605941825184,0.8889682562541873
