rank_by_ERmin_F87,k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87
24,19/87,0.21839080459770116,87,19,2/87,0.022988505747126436,130.5,0.40134832548679994,0.09865167451320006,True,2.4519329049817027,4.947541234617903,27,0.6375112340542685,0.7543224125085043,10.087501564855764,13.012260370725587,27,0.9107423636542803,0.9503072229462116
25,8/35,0.22857142857142856,35,8,1/35,0.02857142857142857,105.0,0.43288336709117226,0.06711663290882774,True,2.139037495046147,5.765344706008445,40,0.6207026274639318,0.7712418846232502,10.002799182032378,13.985114695971134,40,0.9091441624427715,0.9533457526701313
26,8/37,0.21621621621621623,37,8,1/37,0.02702702702702703,111.0,0.3946603650021369,0.10533963499786309,True,2.249853451162428,5.897588472462133,4,0.6266911872865059,0.7838931712388265,9.978243704414183,14.095495526798288,4,0.9086760455188441,0.9569358668505146
27,12/47,0.2553191489361702,47,12,1/47,0.02127659574468085,141.0,0.5167074885038372,0.016707488503837187,True,2.437457841545583,6.118812111352217,10,0.6367406549110696,0.7785917973815913,9.959594569833992,14.066708861791232,10,0.9083190766800974,0.9499105852936905
28,19/83,0.2289156626506024,83,19,2/83,0.024096385542168676,124.5,0.4339551791791488,0.06604482082085122,True,2.1435726521372462,5.923906171330169,40,0.6209484471530947,0.7753077995804389,9.935678939239697,14.134708459421118,40,0.9078594645738733,0.9535197177246132
29,10/49,0.20408163265306123,49,10,1/49,0.02040816326530612,147.0,0.3577362066844838,0.1422637933155162,True,2.5485157151279285,6.038632356205885,1,0.6426345835203493,0.7722837241379777,9.925489219964078,13.91585584563162,1,0.9076630096753772,0.9475045425652318
30,19/88,0.2159090909090909,88,19,1/44,0.022727272727272728,132.0,0.3937173552235117,0.1062826447764883,True,2.2016287084144333,5.8483534134426565,4,0.6240897439857442,0.7794672064992622,9.845115020867222,13.99305098518385,4,0.9061001888472308,0.9543052015822271
31,25/89,0.2808988764044944,89,25,2/89,0.02247191011235955,133.5,0.5964630327047484,0.09646303270474843,True,2.130213060416825,7.038846031386861,15,0.6202241380060124,0.806897554571168,9.75351537794048,15.201611217198689,15,0.9042902243495629,0.9593286221109149
32,21/76,0.27631578947368424,76,21,1/38,0.02631578947368421,114.0,0.582297295140367,0.08229729514036699,True,2.0364924180706256,7.1250095427833005,22,0.6151280340033968,0.8169543614144313,9.723957875828,15.422532360245908,22,0.9036995576334393,0.9639121380986276
33,13/49,0.2653061224489796,49,13,1/49,0.02040816326530612,147.0,0.5480115129538409,0.048011512953840874,True,2.3007309094110435,5.072942694738759,46,0.6294278033450743,0.7459267232628962,9.72149473650261,12.934344973022887,46,0.903650188391911,0.9414643359726128
34,12/49,0.24489795918367346,49,12,1/49,0.02040816326530612,147.0,0.4839742112141724,0.01602578878582761,True,2.1793847375311186,5.617555866579025,10,0.622887384345925,0.7503458680313688,9.628472291803007,13.345487047461845,10,0.9017691005279638,0.9389703883320868
35,11/38,0.2894736842105263,38,11,1/38,0.02631578947368421,114.0,0.6227427435703995,0.12274274357039949,True,1.8855172207002877,6.473795671119325,46,0.6068657366814237,0.7903763091785231,9.5836634194701,14.614364617101478,46,0.9008513527767719,0.9555373741988348
36,14/51,0.27450980392156865,51,14,1/51,0.0196078431372549,153.0,0.5766958274393428,0.07669582743934278,True,2.1718314054566603,6.73478310183878,15,0.6224787568515298,0.7979727159239124,9.500303914561322,14.764763787496696,15,0.8991237189260248,0.9551532265520396
37,17/58,0.29310344827586204,58,17,1/58,0.017241379310344827,174.0,0.6337641692646104,0.13376416926461043,True,2.6651274610182907,5.962780016401016,27,0.648777130685772,0.7804673428221812,9.460580714381774,13.76270168568312,27,0.8982910856863356,0.9483017266428065
38,11/48,0.22916666666666666,48,11,1/48,0.020833333333333332,144.0,0.43473690388997416,0.06526309611002584,True,1.8648325270409845,5.926776108676314,40,0.6057288463327551,0.7720680699228318,9.431961908481515,14.068725886720976,40,0.897687438625257,0.9502702047822565
