Time_ms,Lambda_aligned,Power_uW,Scan_Direction
55639,794.9867828328181,29.200000000000003,Rising
194527,794.9868310567658,28.4,Falling
55939,794.9868544525425,24.1,Rising
194227,794.9869026764902,23.4,Falling
56239,794.9869260722669,20.1,Rising
193924,794.9869750124119,19.5,Falling
56539,794.9869976919913,16.900000000000002,Rising
193624,794.9870466321363,16.5,Falling
56839,794.9870693117157,14.5,Rising
193324,794.9871182518607,14.0,Falling
57139,794.9871409314401,12.6,Rising
193024,794.9871898715851,12.2,Falling
57439,794.9872125511645,11.0,Rising
192724,794.9872614913095,10.7,Falling
57739,794.9872841708889,9.71,Rising
192424,794.9873331110339,9.5,Falling
58039,794.9873557906133,8.68,Rising
58339,794.9874274103375,7.829999999999999,Rising
191815,794.9874784990743,7.64,Falling
58639,794.9874990300619,7.140000000000001,Rising
191515,794.9875501187987,6.98,Falling
59074,794.9876028786624,6.319999999999999,Rising
191215,794.9876217385231,6.409999999999999,Falling
59374,794.9876744983867,5.87,Rising
190915,794.9876933582475,5.95,Falling
59674,794.9877461181111,5.49,Rising
190615,794.9877649779719,5.55,Falling
59974,794.9878177378355,5.180000000000001,Rising
190315,794.9878365976963,5.22,Falling
60274,794.9878893575599,4.94,Rising
190015,794.9879082174207,4.96,Falling
60574,794.9879609772843,4.74,Rising
189715,794.9879798371451,4.76,Falling
60874,794.9880325970087,4.61,Rising
189415,794.9880514568695,4.61,Falling
61174,794.9881042167331,4.52,Rising
189115,794.9881230765939,4.5,Falling
61474,794.9881758364575,4.5,Rising
188815,794.9881946963183,4.46,Falling
61774,794.9882474561819,4.5600000000000005,Rising
188502,794.9882694195641,4.5,Falling
62074,794.9883190759062,4.68,Rising
188202,794.9883410392885,4.6,Falling
62374,794.9883906956306,4.88,Rising
187902,794.9884126590129,4.79,Falling
62674,794.988462315355,5.19,Rising
187602,794.9884842787372,5.090000000000001,Falling
62977,794.9885346512767,5.52,Rising
187302,794.9885558984616,5.4,Falling
63277,794.9886062710011,5.74,Rising
187002,794.988627518186,5.65,Falling
63577,794.9886778907255,5.77,Rising
186702,794.9886991379104,5.75,Falling
63877,794.9887495104499,5.57,Rising
186402,794.9887707576348,5.59,Falling
64177,794.9888211301743,5.180000000000001,Rising
186099,794.9888430935564,5.2,Falling
64477,794.9888927498987,4.71,Rising
185799,794.9889147132808,4.74,Falling
64790,794.9889674731444,4.279999999999999,Rising
185499,794.9889863330052,4.32,Falling
65090,794.9890390928688,3.9600000000000004,Rising
185199,794.9890579527296,3.95,Falling
65390,794.9891107125932,3.69,Rising
184899,794.989129572454,3.66,Falling
65690,794.9891823323176,3.4699999999999998,Rising
184599,794.9892011921784,3.45,Falling
65990,794.989253952042,3.32,Rising
184299,794.9892728119028,3.3000000000000003,Falling
66290,794.9893255717664,3.21,Rising
183999,794.9893444316272,3.19,Falling
66590,794.9893971914908,3.14,Rising
183699,794.9894160513516,3.12,Falling
66890,794.9894688112151,3.11,Rising
183399,794.989487671076,3.07,Falling
67190,794.9895404309395,3.11,Rising
183099,794.9895592908003,3.04,Falling
67490,794.9896120506639,3.15,Rising
182799,794.9896309105247,3.04,Falling
67790,794.9896836703883,3.21,Rising
182499,794.9897025302491,3.06,Falling
68090,794.9897552901127,3.29,Rising
182199,794.9897741499735,3.11,Falling
68390,794.9898269098371,3.41,Rising
181899,794.9898457696979,3.19,Falling
68690,794.9898985295615,3.5700000000000003,Rising
181599,794.9899173894223,3.28,Falling
68990,794.9899701492859,3.7199999999999998,Rising
181299,794.9899890091467,3.39,Falling
69290,794.9900417690103,3.8500000000000005,Rising
180999,794.9900606288711,3.55,Falling
69590,794.9901133887347,4.0600000000000005,Rising
180699,794.9901322485955,3.79,Falling
69890,794.9901850084591,4.43,Rising
180399,794.9902038683199,4.05,Falling
70190,794.9902566281835,4.88,Rising
180099,794.9902754880442,4.470000000000001,Falling
70490,794.9903282479079,5.43,Rising
179799,794.9903471077686,4.97,Falling
70793,794.9904005838295,6.15,Rising
179499,794.990418727493,5.6,Falling
71093,794.9904722035538,7.109999999999999,Rising
179080,794.9905187563747,6.97,Falling
178777,794.9905910922964,8.209999999999999,Falling
71660,794.990607564833,9.79,Rising
178477,794.9906627120208,9.75,Falling
71960,794.9906791845574,11.8,Rising
178177,794.9907343317452,11.9,Falling
72260,794.9907508042818,14.1,Rising
177877,794.9908059514696,14.3,Falling
72560,794.9908224240062,16.4,Rising
177577,794.9908775711939,16.4,Falling
72860,794.9908940437306,18.0,Rising
177277,794.9909491909183,17.7,Falling
73160,794.990965663455,18.5,Rising
176977,794.9910208106427,17.5,Falling
73460,794.9910372831794,17.3,Rising
176677,794.9910924303671,15.9,Falling
73760,794.9911089029038,15.2,Rising
176377,794.9911640500915,13.8,Falling
74060,794.9911805226282,12.799999999999999,Rising
176077,794.9912356698159,11.5,Falling
74360,794.9912521423526,10.8,Rising
175777,794.9913072895403,9.71,Falling
74660,794.991323762077,9.07,Rising
74960,794.9913953818013,7.710000000000001,Rising
175367,794.9914051698303,7.78,Falling
75260,794.9914670015257,6.69,Rising
175067,794.9914767895547,6.66,Falling
174767,794.9915484092791,5.99,Falling
174467,794.9916200290035,5.35,Falling
75907,794.9916214613979,5.33,Rising
174167,794.9916916487279,4.83,Falling
76207,794.9916930811223,4.88,Rising
173867,794.9917632684522,4.51,Falling
76507,794.9917647008467,4.51,Rising
173567,794.9918348881766,4.52,Falling
76807,794.9918363205711,4.27,Rising
173267,794.991906507901,4.26,Falling
77107,794.9919079402955,4.1,Rising
172967,794.9919781276254,3.87,Falling
77407,794.9919795600199,3.9600000000000004,Rising
172667,794.9920497473498,3.73,Falling
77707,794.9920511797443,3.8600000000000003,Rising
172367,794.9921213670742,3.7,Falling
78007,794.9921227994687,3.8,Rising
172067,794.9921929867986,3.78,Falling
78307,794.9921944191931,3.76,Rising
171767,794.992264606523,3.6799999999999997,Falling
78607,794.9922660389175,3.73,Rising
171467,794.9923362262474,3.66,Falling
78907,794.9923376586419,3.74,Rising
171166,794.9924080847042,3.7199999999999998,Falling
79210,794.9924099945636,3.76,Rising
170864,794.9924801818934,3.8600000000000003,Falling
79510,794.992481614288,3.8,Rising
170567,794.9925510854206,3.76,Falling
79810,794.9925532340122,3.8600000000000003,Rising
170264,794.9926234213422,3.8500000000000005,Falling
80110,794.9926248537366,3.9299999999999997,Rising
169966,794.9926945636017,3.9400000000000004,Falling
80410,794.992696473461,4.03,Rising
169664,794.992766660791,4.0600000000000005,Falling
80710,794.9927680931854,4.16,Rising
169366,794.9928378030505,4.21,Falling
81010,794.9928397129098,4.3100000000000005,Rising
169064,794.9929099002397,4.380000000000001,Falling
81310,794.9929113326342,4.49,Rising
168766,794.9929810424993,4.59,Falling
81610,794.9929829523586,4.71,Rising
168465,794.9930529009562,4.819999999999999,Falling
81910,794.993054572083,4.97,Rising
168166,794.9931242819481,5.1000000000000005,Falling
82210,794.9931261918074,5.26,Rising
167864,794.9931963791373,5.41,Falling
82510,794.9931978115318,5.58,Rising
167566,794.9932675213969,5.74,Falling
82810,794.9932694312562,5.88,Rising
167264,794.9933396185861,6.04,Falling
83110,794.9933410509806,6.15,Rising
166966,794.9934107608457,6.28,Falling
83410,794.993412670705,6.37,Rising
166664,794.9934828580349,6.45,Falling
83710,794.9934842904294,6.569999999999999,Rising
166366,794.9935540002945,6.63,Falling
84010,794.9935559101538,6.78,Rising
166064,794.9936260974837,6.83,Falling
84310,794.9936275298782,7.01,Rising
165766,794.9936972397433,7.08,Falling
84610,794.9936991496025,7.29,Rising
84910,794.9937707693269,7.63,Rising
85210,794.9938423890513,8.049999999999999,Rising
165096,794.9938571904611,7.920000000000001,Falling
164796,794.9939288101855,8.42,Falling
85778,794.9939779890628,9.13,Rising
164496,794.9940004299099,8.96,Falling
86078,794.9940496087872,9.809999999999999,Rising
164196,794.9940720496343,9.61,Falling
86378,794.9941212285116,10.6,Rising
163896,794.9941436693587,10.299999999999999,Falling
86678,794.994192848236,11.5,Rising
163593,794.9942160052802,11.2,Falling
86981,794.9942651841577,12.6,Rising
163293,794.9942876250046,12.3,Falling
87281,794.9943368038821,13.8,Rising
162993,794.994359244729,13.5,Falling
