Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_role,is_highest_peak,is_second_highest_peak
38095,794.9825945113357,10.8,Rising,10.925642366786414,,0,0
211926,794.9826541944393,11.5,Falling,11.41889833278837,,0,0
38395,794.9826661310601,11.9,Rising,11.993527296501997,,0,0
211626,794.9827258141637,12.7,Falling,12.566763648250928,,0,0
38695,794.9827377507845,13.1,Rising,13.212118339326437,,0,0
211326,794.9827974338881,14.1,Falling,13.85808434128786,,0,0
38995,794.9828093705089,14.5,Rising,14.645894083033525,,0,0
211026,794.9828690536125,15.7,Falling,15.406149068322833,,0,0
39295,794.9828809902332,16.2,Rising,16.35680287675695,,0,0
210726,794.9829406733369,17.6,Falling,17.235501797973036,,0,0
39598,794.9829533261549,18.2,Rising,18.400751879699076,,0,0
210426,794.9830122930613,19.9,Falling,19.454266100032523,,0,0
39898,794.9830249458793,20.6,Rising,20.845210853219832,,0,0
210126,794.9830839127857,22.8,Falling,22.163975155279328,,0,0
40198,794.9830965656037,23.6,Rising,23.896796338672583,,0,0
209826,794.9831555325101,26.2,Falling,25.406047728015515,,0,0
40498,794.983168185328,27.3,Rising,26.941484145145317,,0,0
209526,794.9832271522345,30.800000000000004,Falling,28.310232101994004,,0,0
40798,794.9832398050524,31.8,Rising,31.244753187316,,0,0
209226,794.9832987719589,36.8,Falling,33.900588427590634,,0,0
41098,794.9833114247768,37.5,Rising,38.415658711997274,,0,0
208926,794.9833703916833,44.1,Falling,42.700130761686715,,0,0
41398,794.9833830445012,45.6,Rising,49.043184047074064,,0,0
208626,794.9834420114076,53.3,Falling,55.461981039555226,,0,0
41698,794.9834546642256,55.5,Rising,63.96845374305303,,0,0
41998,794.98352628395,67.8,Rising,73.07211507028408,,0,0
208019,794.9835869219834,81.19999999999999,Falling,84.17466492317705,,0,0
42555,794.983659257905,102.0,Rising,96.3977116704799,,0,0
207716,794.983659257905,101.0,Falling,109.2139261196461,,0,0
42855,794.9837308776293,127.0,Rising,123.49303694017546,,0,0
207416,794.9837308776293,126.0,Falling,137.0241909120614,,0,0
43155,794.9838024973537,155.0,Rising,151.03269042170476,,0,0
207116,794.9838024973537,155.0,Falling,163.32562929061592,,0,0
206816,794.9838741170781,182.0,Falling,174.6046747303018,,0,0
43455,794.9838741170781,183.0,Rising,182.46796338672522,,0,0
43755,794.9839457368025,201.0,Rising,188.24713958809804,,0,0
206516,794.9839457368025,198.0,Falling,190.53638443935642,,0,0
206216,794.9840173565269,198.0,Falling,190.58787185354387,highest_peak,1,0
44055,794.9840173565269,202.0,Rising,188.62458319712013,,0,0
205916,794.9840889762513,181.0,Falling,183.00058842758756,,0,0
44355,794.9840889762513,185.0,Rising,175.29225237005244,,0,0
44655,794.9841605959757,157.0,Rising,164.22602157567516,,0,0
205616,794.9841605959757,154.0,Falling,152.31657404380215,,0,0
205316,794.9842322157001,126.0,Falling,138.36407322654168,,0,0
44955,794.9842322157001,130.0,Rising,124.79277541680015,,0,0
45255,794.9843038354245,104.0,Rising,110.7556064073201,,0,0
205016,794.9843038354245,102.0,Falling,97.97329192546347,,0,0
45555,794.9843754551489,83.7,Rising,85.82703497874905,,0,0
204497,794.9844277375477,70.2,Falling,74.75380843412682,,0,0
204197,794.984499357272,57.3,Falling,65.7511605099688,,0,0
46203,794.9845301537536,53.8,Rising,57.06211180124063,,0,0
203897,794.9845709769965,47.6,Falling,50.78453743053144,,0,0
46503,794.984601773478,45.0,Rising,44.54168028767445,,0,0
203597,794.9846425967208,39.7,Falling,40.108826413859624,,0,0
46803,794.9846733932023,38.1,Rising,35.432265446223255,,0,0
203297,794.9847142164452,33.7,Falling,32.837495913696394,,0,0
47103,794.9847450129267,32.6,Rising,29.98653154625615,,0,0
202997,794.9847858361696,28.9,Falling,28.48761033017255,,0,0
47403,794.9848166326511,28.0,Rising,26.97397842432104,,0,0
202697,794.984857455894,25.1,Falling,25.508270676691147,,0,0
47706,794.9848889685727,24.3,Rising,23.781497221313607,,0,0
202397,794.9849290756184,22.1,Falling,22.36377901274876,,0,0
48006,794.9849605882971,21.4,Rising,20.959986923830847,,0,0
202097,794.9850006953428,19.6,Falling,19.813533834586035,,0,0
48306,794.9850322080215,19.1,Rising,18.632853873814568,,0,0
201797,794.9850723150672,17.4,Falling,17.696436744033623,,0,0
48606,794.9851038277459,17.099999999999998,Rising,16.712814645308573,,0,0
