k,k_rational_hint,L_over_R,s_min,limiting_mode_i,limiting_mode_j
0.2001475,,0.3459322743475874,0.0007374999999999743,1,6
0.20014800000000002,,0.34593376871364506,0.0007399999999995188,22,27
0.2001485,,0.34593526308122324,0.0007424999999994242,22,27
0.20014900000000002,,0.3459367574503222,0.0007449999999997736,10,15
0.2001495,,0.3459382518209414,0.000747499999999679,10,15
0.20015000000000002,,0.3459397461930813,0.0007500000000000284,22,27
0.2001505,,0.3459412405667417,0.0007524999999999338,22,27
0.20015100000000002,,0.3459427349419227,0.0007550000000002277,1,6
0.2001515,,0.34594422931862395,0.0007574999999999943,1,6
0.20015200000000002,,0.3459457236968458,0.0007599999999996498,22,27
0.2001525,,0.34594721807658807,0.0007624999999995552,22,27
0.200153,,0.3459487124578507,0.0007649999999994606,22,27
0.2001535,,0.34595020684063393,0.0007675000000001153,1,6
0.200154,,0.3459517012249374,0.0007700000000001039,1,6
0.2001545,,0.3459531956107615,0.0007725000000000648,1,6
0.200155,,0.3459546899981058,0.0007749999999999702,10,15
0.20015550000000001,,0.3459561843869705,0.0007774999999998755,10,15
0.200156,,0.34595767877735556,0.0007799999999997809,22,27
0.20015650000000001,,0.34595917316926106,0.0007824999999999638,1,6
0.200157,,0.34596066756268673,0.0007849999999999524,1,6
0.20015750000000002,,0.34596216195763274,0.0007874999999994969,22,27
0.200158,,0.34596365635409904,0.0007899999999994023,22,27
0.20015850000000002,,0.3459651507520857,0.0007924999999997517,10,15
0.200159,,0.3459666451515925,0.0007949999999996571,10,15
0.20015950000000002,,0.34596813955261974,0.0007975000000000065,22,27
0.20016,,0.345969633955167,0.0007999999999999119,22,27
0.20016050000000002,,0.3459711283592346,0.0008025000000002058,1,6
0.200161,,0.3459726227648222,0.0008049999999999724,1,6
0.20016150000000002,,0.34597411717193033,0.000807499999999628,22,27
0.200162,,0.3459756115805585,0.0008099999999995333,22,27
0.20016250000000002,,0.34597710599070675,0.0008124999999998828,10,15
0.200163,,0.34597860040237516,0.0008150000000000934,1,6
0.20016350000000002,,0.34598009481556374,0.0008175000000000543,1,6
0.200164,,0.3459815892302724,0.0008200000000000429,1,6
0.20016450000000002,,0.34598308364650115,0.0008224999999999483,10,15
0.200165,,0.34598457806425,0.0008249999999998536,10,15
0.20016550000000002,,0.34598607248351904,0.000827499999999759,10,15
0.200166,,0.345987566904308,0.0008299999999999419,1,6
0.2001665,,0.3459890613266169,0.0008324999999999305,1,6
0.200167,,0.34599055575044607,0.000834999999999475,22,27
0.2001675,,0.34599205017579504,0.0008374999999993804,22,27
